,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2023
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,1840,9477,551,8926,17,11334,,550,0,8,1,8,,1,34
,CANADA,56217,20708,3409,17299,977,77902,,26689,3963,103,999,43,,945,33
,FRANCE,22600,1740,0,1740,1366,25706,,5876,683,112,184,12,,83,331
,GERMANY,51250,20759,13,20746,437,72446,,4213,127,12,11,12,,11,113
,ITALY,1306,2012,0,2012,0,3318,,1122,150,0,3,0,,3,63
,JAPAN,31633,15639,3003,12636,391,47663,,1352,146,26,1040,26,,1040,126
,LUXEMBOURG,7777,4753,54,4699,174,12704,,4138,175,2,13,2,,12,12
,NETHERLANDS,5133,591,19,572,29,5753,,2645,65,26,80,9,,63,50
,SWEDEN,3245,109,0,109,1,3355,,1556,111,0,1,0,,1,9
,SWITZERLAND,33559,277,0,277,217,34053,,1102,187,5,467,4,,467,52
,UNITED KINGDOM,68946,59412,14014,45398,2339,130697,,52401,1141,279,1238,73,,1000,553
,Total,283506,135477,21063,114414,5948,424931,,101644,6748,573,4037,189,,3626,1376
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,7362,9236,48,9188,852,17450,,5940,186,6,1,6,,1,51
,AUSTRIA,1463,96,0,96,12,1571,,8,9,0,0,0,,0,22
,CYPRUS,182,0,0,0,3,185,,19,0,0,0,0,,0,3
,DENMARK,964,11,0,11,18,993,,77,6,0,1,0,,1,0
,FINLAND,1473,80,0,80,0,1553,,2,10,0,1,0,,1,25
