,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2023
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,9470,69,80,9619,9507,1,9563,43,154,9760,9526,0,3168,29,348,3545,,3191,7
,CANADA,25181,6165,2764,34110,22526,1712,13514,22001,734,36249,13213,17,37659,12027,3609,53295,,37910,2398
,FRANCE,41193,888,4010,46091,38692,38,26106,12126,5870,44102,23892,0,101455,13655,4570,119680,,102921,203
,GERMANY,14677,8610,3165,26452,14239,1129,22702,192479,10019,225200,17205,0,19373,11653,13654,44680,,22569,346
,ITALY,18383,155,500,19038,18015,34,33084,335,2064,35483,32616,0,7122,3386,1284,11792,,7252,89
,JAPAN,54386,34615,7646,96647,44890,27799,22632,133880,4773,161285,22602,3,14543,146648,6623,167814,,13456,610
,LUXEMBOURG,1333,132,28,1493,3604,84,49,1250,17,1316,49,1,57248,3676,7479,68403,,61332,2223
,NETHERLANDS,9174,271,1723,11168,5096,85,4108,9848,3411,17367,3953,0,14843,327,5259,20429,,16523,4
,SWEDEN,7015,51,150,7216,9058,0,637,123,59,819,518,0,2888,1,326,3215,,2809,0
,SWITZERLAND,10806,111,1752,12669,10054,45,1529,19351,30,20910,1350,11,7178,4757,1789,13724,,6738,4839
,UNITED KINGDOM,9891,20611,3484,33986,7314,17055,4886,148999,16368,170253,4301,9802,33879,83675,28224,145778,,33032,30238
,Total,201509,71678,25302,298489,182995,47982,138810,540435,43499,722744,129225,9834,299356,279834,73165,652355,,307733,40957
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,5866,9121,1812,16799,5968,309,2249,19091,510,21850,2246,32,11787,29035,2351,43173,,11704,2490
,AUSTRIA,4019,0,227,4246,3982,0,5040,2,818,5860,4886,0,277,1,102,380,,284,0
,CYPRUS,43,0,0,43,43,0,209,0,0,209,209,0,406,0,3,409,,390,0
,DENMARK,4299,5,906,5210,4187,0,866,413,292,1571,375,2,1791,0,2326,4117,,1784,0
,FINLAND,6342,6,287,6635,4171,0,3796,10,1886,5692,3429,0,582,0,727,1309,,642,0
,GREECE,1476,0,145,1621,1514,0,2269,1,16,2286,2269,0,387,44,0,431,,387,0
,IRELAND,1255,678,14,1947,1133,196,2354,14613,11,16978,2350,49,61760,10911,5541,78212,,63451,1809
,ISRAEL,7831,15,456,8302,7855,7,3373,3508,20,6901,3544,7,3130,130,1065,4325,,3225,0
,NEW ZEALAND,595,492,5,1092,657,0,895,1332,186,2413,897,0,941,0,222,1163,,975,0
,NORWAY,5669,0,160,5829,5310,0,12239,56,284,12579,12112,0,791,0,142,933,,781,0
,PORTUGAL,2285,0,3,2288,2267,0,2589,2,61,2652,2579,0,111,0,36,147,,111,0
,SLOVAKIA,199,5,0,204,199,0,1525,72,58,1655,1525,0,110,12,0,122,,110,0
,SPAIN,10049,135,1705,11889,9899,2,14493,373,282,15148,13765,0,5610,24,279,5913,,5693,0
,OTHER NON G-10 DEV.,427,1,60,488,865,0,20610,0,4,20614,20610,0,472,1,64,537,,537,0
,Total,50355,10458,5780,66593,48050,514,72507,39473,4428,116408,70796,90,88155,40158,12858,141171,,90074,4299
