,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2023
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,8353,981,51,9385,8484,307,5355,8661,161,14177,5156,0,3169,59,266,3494,,3209,46
,CANADA,60597,14177,4402,79176,54214,2937,16448,21347,458,38253,16290,1100,52883,12676,1550,67109,,53600,1659
,FRANCE,54267,476,6077,60820,41684,19,23478,12465,4804,40747,20712,0,89968,14602,3846,108416,,91591,158
,GERMANY,62552,7359,3320,73231,22005,756,30549,198965,7319,236833,22472,0,23079,6159,10754,39992,,26132,510
,ITALY,17579,386,809,18774,17343,24,23678,520,3896,28094,23042,0,8824,3560,1350,13734,,8901,86
,JAPAN,67421,40555,4920,112896,52479,33028,44831,141166,3583,189580,44819,3,15470,117782,4007,137259,,13880,627
,LUXEMBOURG,2456,298,23,2777,5012,131,265,7869,10,8144,258,96,68616,2682,5387,76685,,69137,1807
,NETHERLANDS,5958,414,2141,8513,3046,125,4635,13270,1692,19597,4128,13,15025,221,3618,18864,,17385,10
,SWEDEN,6104,55,216,6375,8101,0,2371,90,70,2531,2488,0,3202,8,167,3377,,2985,0
,SWITZERLAND,33465,204,1686,35355,14543,151,2844,18309,8,21161,1291,0,8790,5035,567,14392,,5558,4885
,UNITED KINGDOM,55893,25755,5186,86834,97129,23802,8581,188865,12506,209952,6744,9596,58420,101426,27788,187634,,57067,31768
,Total,374645,90660,28831,494136,324040,61280,163035,611527,34507,809069,147400,10808,347446,264210,59300,670956,,349445,41556
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,8381,11268,2500,22149,8952,255,1376,23491,199,25066,1372,37,12143,31672,1699,45514,,12482,2669
,AUSTRIA,4369,1,244,4614,4314,0,5897,3,633,6533,5734,0,379,6,75,460,,371,0
,CYPRUS,52,0,1,53,53,0,209,0,0,209,209,0,669,0,22,691,,636,0
,DENMARK,4367,5,414,4786,4706,0,1137,373,194,1704,361,1,1620,2,1897,3519,,1599,0
,FINLAND,6573,12,361,6946,3970,0,3450,1,1341,4792,3242,0,941,2,432,1375,,953,0
,GREECE,1969,0,210,2179,1985,0,1681,2,58,1741,1681,0,516,41,0,557,,516,0
,IRELAND,1360,991,44,2395,1193,261,2589,19598,4,22191,2587,162,74763,6937,3331,85031,,81154,2114
,ISRAEL,8126,53,333,8512,8178,12,1768,3260,22,5050,1919,19,3181,145,187,3513,,3267,1
,NEW ZEALAND,378,567,31,976,502,1,300,1555,169,2024,301,0,864,0,92,956,,932,0
,NORWAY,5098,6,120,5224,5057,1,18296,52,263,18611,17783,0,1118,9,75,1202,,1101,4
,PORTUGAL,2593,0,1,2594,2599,0,2456,1,10,2467,2470,0,74,0,5,79,,83,0
,SLOVAKIA,267,5,0,272,267,0,1524,83,61,1668,1524,0,6,15,0,21,,6,0
,SPAIN,10861,324,2427,13612,10346,2,11653,425,348,12426,10911,0,4907,7,314,5228,,5117,0
,OTHER NON G-10 DEV.,394,1,60,455,734,1,17177,0,841,18018,17177,0,399,1,32,432,,430,0
