,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2024
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,1603,1241,0,2844,1794,391,190,8468,5,8663,64,0,53,23,0,76,,52,4
,CANADA,36879,4889,785,42553,35030,763,1788,1381,4,3173,1741,754,14263,1235,124,15622,,13966,52
,FRANCE,21391,33,897,22321,10170,1,2996,169,2,3167,2517,0,1163,5,692,1860,,1112,0
,GERMANY,43185,77,583,43845,8142,22,6313,16185,20,22518,4459,0,725,10,0,735,,289,3
,ITALY,63,147,0,210,90,0,224,175,0,399,226,0,811,0,0,811,,810,0
,JAPAN,11680,2395,218,14293,6255,2003,3789,7861,59,11709,3789,0,4579,226,61,4866,,4478,0
,LUXEMBOURG,710,122,0,832,1473,69,122,6296,0,6418,115,0,4393,125,98,4616,,3456,112
,NETHERLANDS,1019,51,5,1075,1083,5,1294,3318,2,4614,953,0,405,172,2,579,,366,47
,SWEDEN,1488,5,0,1493,1035,0,1010,1,0,1011,1141,0,54,0,0,54,,56,0
,SWITZERLAND,18285,32,83,18400,1203,3,1968,22,0,1990,238,0,1706,237,3,1946,,657,0
,UNITED KINGDOM,36227,7401,1043,44671,75267,8861,1663,22969,2,24634,524,6,18986,13309,1145,33440,,18829,2148
,Total,172530,16393,3614,192537,141542,12118,21357,66845,94,88296,15767,760,47138,15342,2125,64605,,44071,2366
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,4758,1159,30,5947,4879,4,0,1769,0,1769,0,0,482,63,173,718,,461,2
,AUSTRIA,401,0,0,401,412,0,692,1,1,694,692,0,157,3,0,160,,149,0
,CYPRUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,DENMARK,144,0,21,165,637,0,326,0,0,326,46,0,192,0,1,193,,169,0
,FINLAND,83,4,0,87,97,0,859,1,0,860,779,0,532,21,0,553,,429,0
,GREECE,5,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,,0,0
,IRELAND,249,321,0,570,197,124,84,4165,0,4249,83,0,10711,277,236,11224,,17114,186
,ISRAEL,389,3,0,392,403,0,252,1,0,253,250,0,101,0,0,101,,13,0
,NEW ZEALAND,170,35,0,205,252,1,2,4,0,6,2,0,10,0,51,61,,18,0
,NORWAY,1102,6,8,1116,835,2,1127,1,0,1128,744,0,622,7,1,630,,622,4
,PORTUGAL,7,0,0,7,23,0,161,0,0,161,161,0,0,0,1,1,,0,0
,SLOVAKIA,175,0,0,175,175,0,269,0,0,269,269,0,0,0,0,0,,0,0
,SPAIN,830,332,918,2080,517,0,798,21,1,820,789,0,88,0,0,88,,70,0
,OTHER NON G-10 DEV.,6,0,0,6,10,0,3,0,0,3,0,0,31,0,3,34,,6,0
