,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  March 31, 2024
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,29224,34,24990,168,29426,906,887,29407
,CANADA,113349,18567,114170,52890,184806,9878,15221,190144
,FRANCE,169138,992,141444,26487,196617,3951,8210,200765
,GERMANY,86359,1804,63074,218789,306952,8223,16795,315528
,ITALY,67713,208,60215,6656,74577,819,1889,75648
,JAPAN,101171,32253,104356,339647,473071,1818,14695,485949
,LUXEMBOURG,100459,2457,66098,3327,106243,20878,4101,89465
,NETHERLANDS,51084,369,38308,10287,61740,7710,7880,61907
,SWEDEN,21018,12,18741,160,21190,2713,1231,19710
,SWITZERLAND,35472,7011,37675,17440,59923,2049,4647,62515
,UNITED KINGDOM,78722,80195,108798,270393,429310,23393,22190,428105
,Total,853709,143902,777869,946244,1943855,82338,97746,1959143
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,27723,5687,27072,69662,103072,5322,4464,102223
,AUSTRIA,9163,0,6677,3,9166,745,269,8690
,CYPRUS,2065,0,1394,0,2065,221,238,2082
,DENMARK,14118,0,13257,420,14538,302,1678,15910
,FINLAND,10703,0,9415,6,10709,291,2141,12560
