,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2024
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,26476,10004,497,9507,552,37032,,7334,273,14263,15359,6316,,7411,192
,CANADA,184442,93543,20790,72753,6505,284490,,79016,18892,31385,30405,17061,,16078,370
,FRANCE,199664,28425,638,27787,16200,244289,,228427,6246,233008,230437,90635,,88026,409
,GERMANY,128538,228224,1068,227156,24093,380855,,71190,4586,177386,176431,71919,,70965,1208
,ITALY,71029,9334,245,9089,5243,85606,,16509,847,147100,139330,48325,,40554,166
,JAPAN,122629,356866,30162,326704,21919,501414,,62490,6082,68411,71975,24707,,28269,149
,LUXEMBOURG,94296,11664,1906,9758,7530,113490,,40108,4560,27361,26916,13086,,12642,300
,NETHERLANDS,53644,15804,274,15530,10254,79702,,32160,3694,128289,128900,51745,,52355,762
,SWEDEN,18928,353,7,346,710,19991,,11447,336,36961,36186,16870,,16098,172
,SWITZERLAND,53524,25558,7209,18349,3943,83025,,19859,4744,58339,58238,23573,,23473,756
,UNITED KINGDOM,156266,403601,88891,314710,48530,608397,,171364,12973,343431,363218,120329,,139880,1402
,Total,1109436,1183376,151687,1031689,145479,2438291,,739904,63233,1265934,1277395,484566,,495751,5886
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,39794,73710,4458,69252,3134,116638,,31734,2447,12565,12376,6752,,6561,311
,AUSTRIA,9948,104,0,104,902,10954,,1766,41,6439,7380,2656,,3596,112
,CYPRUS,2263,0,0,0,27,2290,,179,207,3,3,3,,3,53
,DENMARK,12892,409,1,408,4357,17658,,6210,194,15600,16349,5884,,6631,44
,FINLAND,10971,102,0,102,2046,13119,,2507,294,15030,15807,6212,,6989,55
,GREECE,6951,143,0,143,269,7363,,44,841,4084,3651,1816,,1383,208
,IRELAND,108679,35076,3390,31686,4836,148591,,35765,3236,12616,12810,6105,,6298,276
,ISRAEL,15514,3379,163,3216,1227,20120,,2801,1040,2369,2854,1204,,1687,121
,NEW ZEALAND,3309,3441,4,3437,400,7150,,1110,87,1,14,1,,14,0
,NORWAY,33212,82,5,77,581,33875,,5196,221,11887,11897,5327,,5341,7
,PORTUGAL,4879,1,0,1,263,5143,,1154,47,6281,5855,3215,,2791,17
,SLOVAKIA,2451,475,0,475,42,2968,,68,64,172,149,135,,112,30
,SPAIN,45275,1763,46,1717,4007,51045,,9893,1816,59301,58016,24734,,23443,711
,OTHER NON G-10 DEV.,17185,2,2,0,107,17294,,696,18,2,19,2,,19,0
,Total,313323,118687,8069,110618,22198,454208,,99123,10553,146350,147180,64046,,64868,1945
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,153,393,52,341,42,588,,22,218,1,3,1,,3,0
,CZECH REPUBLIC,4530,5198,532,4666,250,9978,,1728,254,970,890,455,,375,2
,HUNGARY,1738,1927,179,1748,204,3869,,428,240,381,410,202,,231,205
,KOSOVO,1,0,0,0,0,1,,0,0,0,0,0,,0,0
,POLAND,4929,14890,1437,13453,1354,21173,,4599,703,777,994,394,,610,6
,ROMANIA,1647,3578,398,3180,7,5232,,52,183,434,409,315,,290,1
,RUSSIA,2218,11245,18,11227,22,13485,,95,27,104,165,88,,148,1
,TURKEY,17428,2688,613,2075,307,20423,,409,84,21039,23897,7039,,9882,412
,OTHER E. EUROPE,4963,1466,1,1465,92,6521,,242,212,245,369,229,,353,121
,Total,37607,41385,3230,38155,2278,81270,,7575,1921,23951,27137,8723,,11892,748
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,124,0,0,0,16,140,,1,4,0,0,0,,0,2
,ARGENTINA,1511,4768,1319,3449,18,6297,,732,203,2438,2426,970,,961,167
,BRAZIL,58451,55725,3748,51977,4699,118875,,6686,1190,23246,26436,8304,,11474,4962
,CHILE,9131,3133,13,3120,917,13181,,1424,295,8124,8562,2863,,3309,1986
,COLOMBIA,3819,4645,0,4645,381,8845,,879,161,11365,12418,4285,,5339,225
,COSTA RICA,405,1166,232,934,65,1636,,92,98,7,11,7,,11,38
,DOMINICAN REPUBLIC,2330,382,52,330,7,2719,,188,152,573,565,343,,336,474
,ECUADOR,758,507,505,2,25,1290,,89,159,28,36,28,,36,262
,EL SALVADOR,372,199,199,0,0,571,,41,46,2,10,2,,10,49
,FRENCH GUIANA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,GUATEMALA,1687,359,22,337,3,2049,,100,217,24,28,4,,8,682
,HONDURAS,623,347,25,322,8,978,,29,276,19,0,19,,0,200
,MEXICO,28738,93367,6665,86702,5898,128003,,36219,1743,25618,27876,10243,,12496,796
