,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2024
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,26786,497,23922,9504,36787,989,686,36480
,CANADA,174704,51417,156536,74199,300320,14040,21564,277985
,FRANCE,183373,3085,141042,27872,214330,4444,20663,228089
,GERMANY,86847,7102,66905,226648,320597,11732,53876,356762
,ITALY,69263,5933,60399,9218,84414,695,2358,80363
,JAPAN,103676,30673,110937,326402,460751,2629,21372,479495
,LUXEMBOURG,114886,2462,73735,9871,127219,26695,5439,105960
,NETHERLANDS,54415,2643,38167,15586,72644,9893,9044,69448
,SWEDEN,19512,8,16073,346,19866,2289,1702,19281
,SWITZERLAND,38557,7303,39883,18356,64216,2924,17808,79082
,UNITED KINGDOM,184171,140133,200339,315138,639442,68950,38009,559867
,Total,1056190,251256,927938,1033140,2340586,145280,192521,2292812
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,37499,4806,29741,71741,114046,5545,5013,113504
,AUSTRIA,10335,719,6674,115,11169,859,463,10052
,CYPRUS,2212,0,1745,0,2212,206,261,2263
,DENMARK,11282,1,9835,410,11693,599,2203,13301
,FINLAND,9304,360,6694,101,9765,133,1802,11073
,GREECE,6956,0,6219,205,7161,109,42,7094
,IRELAND,114107,3639,79207,31844,149590,13132,7297,143755
,ISRAEL,14902,129,11631,3230,18261,306,945,18893
,NEW ZEALAND,3363,4,2602,3467,6834,319,237,6750
,NORWAY,32002,7,28875,122,32131,727,1890,33294
,PORTUGAL,4920,0,4488,22,4942,146,82,4880
,SLOVAKIA,2484,0,2011,490,2974,64,15,2926
,SPAIN,43669,54,32773,1714,45437,1868,3473,47038
,OTHER NON G-10 DEV.,18001,283,16955,2,18286,1273,456,17187
,Total,311036,10002,239450,113463,434501,25286,24179,432010
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,171,77,129,349,597,65,13,546
,CZECH REPUBLIC,4644,621,4474,4674,9939,358,146,9728
,HUNGARY,2082,409,2193,1750,4241,661,86,3665
,KOSOVO,1,0,0,0,1,0,0,1
,POLAND,5104,1525,5691,13656,20285,735,267,19819
,ROMANIA,1843,501,2017,3247,5591,380,15,5225
,RUSSIA,2258,18,1245,11227,13503,42,2,13463
,TURKEY,16699,2765,13121,2106,21570,2609,3306,20116
,OTHER E. EUROPE,5624,538,4517,1515,7677,855,147,6429
,Total,38426,6454,33387,38524,83404,5705,3982,78992
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,130,0,128,0,130,29,23,124
,ARGENTINA,2180,10738,2742,3752,16670,1274,299,6279
,BRAZIL,51290,8497,44377,52501,112288,4105,10350,114176
,CHILE,9328,10313,7831,3120,22761,811,615,12264
,COLOMBIA,4417,760,2368,4897,10074,1301,451,8464
,COSTA RICA,503,349,647,936,1788,129,26,1571
,DOMINICAN REPUBLIC,2632,950,2272,341,3923,441,130,2712
,ECUADOR,1271,561,1493,2,1834,682,119,1265
,EL SALVADOR,419,213,565,0,632,122,60,571
,FRENCH GUIANA,1,0,1,0,1,1,0,0
,GUATEMALA,1692,22,1617,338,2052,262,257,2046
,HONDURAS,684,570,621,342,1596,177,99,970
,MEXICO,30883,11904,29487,88612,131399,9299,4097,122105
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,5575,1291,4323,1845,8711,1576,621,6782
,URUGUAY,1675,169,1566,338,2182,283,264,2164
,VENEZUELA,1335,26942,1057,0,28277,322,82,1095
,OTHER LAT. AM. & CAR.,43456,2368,37213,747,46571,8872,2615,38829
,Total,157471,75647,138308,157771,390889,29686,20108,321417
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,106496,2634,102997,39263,148393,3144,4734,149987
,INDIA,33396,2300,30033,67443,103139,5416,3990,101708
,INDONESIA,9414,3286,10569,5630,18330,1339,591,17584
,"KOREA, SOUTH",60162,3160,56665,34776,98098,1545,10434,106983
,KUWAIT,20174,1,19173,232,20407,291,174,20287
,MALAYSIA,3107,1716,4059,12503,17326,927,545,16943
,PAKISTAN,229,25,174,1182,1436,112,2,1326
,PHILIPPINES,3127,1203,3943,4502,8832,800,333,8363
,QATAR,9293,0,6661,33,9326,111,766,9983
,SAUDI ARABIA,29142,196,22198,2911,32249,2461,1657,31446
,TAIWAN,63229,3058,64502,12541,78828,908,2324,80238
,THAILAND,2475,251,2509,8598,11324,466,139,10997
,UNITED ARAB EMIRATES,28440,2089,24499,7033,37562,2027,1361,36898
,WEST BANK AND GAZA,6,0,2,0,6,2,0,4
,OTHER ASIA AND PACIFIC,11585,1254,9434,4344,17183,4267,502,13347
,Total,380275,21173,357418,200991,602439,23816,27552,606094
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,29,108,134,1120,1257,159,0,1097
,EGYPT,13437,135,12832,1387,14959,730,49,14279
,GHANA,199,0,169,0,199,54,0,144
,KENYA,466,335,572,729,1530,183,63,1238
,MOROCCO,258,907,210,670,1835,28,0,911
,NIGERIA,9739,83,8683,1131,10953,288,75,10740
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,5421,1242,3855,8416,15079,621,740,14163
,SOUTH SUDAN,3,0,3,0,3,0,0,3
,OTHER AFRICA,6158,564,4917,2325,9047,2547,276,6780
,Total,35710,3374,31375,15778,54862,4610,1203,49355
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,11461,378,10981,138,11977,7365,464,5075
,BAHRAIN,7607,4,5619,119,7730,2556,18,5193
,BERMUDA,31100,58,20569,13,31171,6724,4159,28605
,CAYMAN ISLANDS,748621,629,541327,93,749343,88963,18227,678604
,HONG KONG,31260,15389,40573,45519,92168,9650,5194,87472
,LEBANON,184,13,106,28,225,10,2,217
,MAURITIUS,3003,142,2231,77,3222,730,33,2523
,PANAMA,6918,17702,5332,12,24632,2450,1025,6207
,SINGAPORE,63765,16976,73762,43013,123754,7997,2585,118339
,OTHER BANKING CENTERS,40697,441,22341,250,41388,2702,3324,42013
,Total,944616,51732,722841,89262,1085610,129147,35031,974248
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
,AFRICAN,2104,0,676,0,2104,157,348,2295
,ASIAN,7588,0,2618,0,7588,0,313,7901
,CARIBBEAN,0,0,0,0,0,0,0,0
,EUROPEAN,38635,0,11817,0,38635,31,393,38998
,INTERNATIONAL,17782,0,5146,0,17782,47,3073,20808
,LATIN AMERICAN,8446,0,2076,0,8446,61,96,8481
,MIDDLE EASTERN,63,0,61,0,63,0,3,66
,Total,74618,0,22394,0,74618,296,4226,78549
,,,,,,,,,
,UNITED STATES,283138,54527,241564,17314364,17652029,783758,838834,17712489
,,,,,,,,,
,Grand Total,3281480,474165,2714675,18963293,22718938,1147584,1147636,22545966
