,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2024
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,3746,3996,7742,26189,15901,,2270,7107,1795,5596,0,1332,,5596
,CANADA,11896,38329,50225,62604,31998,,21750,42025,13094,73104,594,13980,,72900
,FRANCE,4171,43885,48056,103318,19865,,6650,56184,13991,97507,0,31247,,97497
,GERMANY,27252,185013,212265,152625,276693,,16825,49281,15169,54800,0,11381,,54800
,ITALY,1250,19601,20851,70164,-10681,,2701,41918,13605,15836,0,3252,,15835
,JAPAN,10456,117150,127606,164811,252179,,13021,122583,37139,171632,2,76822,,171623
,LUXEMBOURG,82598,69667,152265,108747,-122772,,3628,11776,492,11041,0,1122,,11041
,NETHERLANDS,29400,20627,50027,77639,-46522,,4059,21998,3234,2184,0,623,,2152
,SWEDEN,27,838,865,21474,-450,,1174,5707,485,2147,0,485,,2147
,SWITZERLAND,5175,3777,8952,50624,19705,,898,13282,719,8910,0,2227,,8910
,UNITED KINGDOM,1246123,324277,1570400,385834,110755,,34000,82712,16658,75773,138,21263,,75699
,Total,1422094,827160,2249254,1224029,546671,,106976,454573,116381,518530,734,163734,,518200
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,9551,55647,65198,87377,23276,,9836,21391,2119,16514,0,11275,,16495
,AUSTRIA,27,315,342,10373,-219,,2798,4881,1195,1006,0,39,,1006
,CYPRUS,0,0,0,4809,-2,,0,376,23,12,0,12,,12
,DENMARK,23,532,555,15853,36,,506,6513,633,2323,0,835,,2323
,FINLAND,0,187,187,10260,-107,,2012,4231,649,1175,0,90,,1175
,GREECE,40,1615,1655,6191,-1244,,0,3888,355,1818,0,450,,1818
,IRELAND,23496,53714,77210,156475,53607,,13734,20879,1207,26973,0,752,,26715
,ISRAEL,1122,2665,3787,10240,-191,,1044,4632,251,6577,0,6256,,6576
,NEW ZEALAND,207,1302,1509,5077,2000,,351,754,119,684,0,522,,684
,NORWAY,0,614,614,9580,-393,,1925,3017,446,21268,0,894,,21268
,PORTUGAL,13,218,231,3308,-192,,19,2462,743,1617,0,30,,1617
,SLOVAKIA,139,733,872,1139,-383,,600,736,186,1177,0,148,,1177
,SPAIN,679,2742,3421,40830,-812,,2309,23008,6404,5156,0,744,,5154
,OTHER NON G-10 DEV.,10,5,15,17152,27,,0,625,7,3275,0,0,,3275
,Total,35307,120289,155596,378664,75403,,35134,97393,14337,89575,0,22047,,89295
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,453,523,976,1130,-550,,70,80,10,0,0,0,,0
,CZECH REPUBLIC,2490,2586,5076,5668,384,,915,615,214,6381,0,5442,,6381
,HUNGARY,1020,1200,2220,7350,160,,980,1108,236,216,0,153,,216
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,4415,10632,15047,18445,2256,,9058,3121,291,625,0,625,,625
,ROMANIA,1214,2127,3341,4002,478,,1732,1262,426,239,0,239,,239
,RUSSIA,322,6111,6433,6406,3620,,253,74,8,860,0,860,,860
,TURKEY,860,1188,2048,8404,706,,105,8671,340,3647,0,3597,,3647
,OTHER E. EUROPE,446,1230,1676,5751,-120,,313,1428,377,2742,0,23,,2742
,Total,11220,25597,36817,57156,6934,,13426,16359,1902,14710,0,10939,,14710
,,,,,,,,,,,,,,,
