,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2024
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,12166,1213,25,13404,12308,446,7359,8583,132,16074,7208,0,4107,39,237,4383,,4115,48
,CANADA,59197,14661,2317,76175,53388,4239,22086,25792,552,48430,21827,782,68618,13957,2583,85158,,69584,2574
,FRANCE,67578,522,5930,74030,53656,10,33543,13221,3917,50681,30595,0,70389,9547,4074,84010,,72249,200
,GERMANY,54266,8233,2678,65177,21159,694,28386,203360,5826,237572,19632,0,18262,10127,12981,41370,,22211,376
,ITALY,20682,403,829,21914,20452,2,28367,431,2655,31453,27515,0,10808,4003,1466,16277,,10949,97
,JAPAN,54626,35681,9196,99503,41909,28513,25280,168740,5235,199255,24958,0,20445,121182,6613,148240,,18105,646
,LUXEMBOURG,1975,279,18,2272,4565,205,260,7915,30,8205,253,30,72125,3144,6641,81910,,75300,2094
,NETHERLANDS,6899,110,1935,8944,4236,17,5218,14675,2863,22756,4709,54,14776,382,3595,18753,,17046,38
,SWEDEN,6051,37,25,6113,6733,0,1920,201,25,2146,1812,1,3378,7,337,3722,,3207,0
,SWITZERLAND,20699,271,1702,22672,11416,155,2869,17487,30,20386,1217,0,10464,6026,556,17046,,7980,5843
,UNITED KINGDOM,49225,28153,4443,81821,82706,27503,8008,200906,13044,221958,6605,10025,60014,113024,24289,197327,,58544,36583
,Total,353364,89563,29098,472025,312528,61784,163296,661311,34309,858916,146331,10892,353386,281438,63372,698196,,359290,48499
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,11686,7182,1386,20254,11164,362,1576,19792,144,21512,1569,27,17817,29331,856,48004,,17806,3052
,AUSTRIA,2225,0,152,2377,2187,0,5172,2,583,5757,5070,0,1012,2,88,1102,,962,0
,CYPRUS,85,0,0,85,85,0,156,0,0,156,156,0,1104,0,25,1129,,1189,0
,DENMARK,4709,4,348,5061,4474,0,1027,392,211,1630,279,1,2230,3,3371,5604,,2164,0
,FINLAND,2930,7,157,3094,2238,0,4294,1,1283,5578,3633,0,1234,23,515,1772,,1188,0
,GREECE,2381,0,165,2546,2405,0,1878,1,77,1956,1878,0,602,70,0,672,,602,0
,IRELAND,1929,1100,22,3051,1958,345,1858,19211,0,21069,1857,119,81921,12775,4363,99059,,88459,1887
,ISRAEL,7259,46,384,7689,7269,9,1552,3027,300,4879,1614,10,1759,142,295,2196,,1758,0
,NEW ZEALAND,530,535,22,1087,640,2,780,2335,134,3249,780,0,759,1,165,925,,804,0
,NORWAY,4644,7,134,4785,4219,2,23362,50,184,23596,22494,0,1745,10,88,1843,,1744,5
,PORTUGAL,1157,0,0,1157,1167,0,2654,1,32,2687,2652,0,143,0,23,166,,151,0
,SLOVAKIA,378,5,0,383,378,0,1975,370,41,2386,1975,0,10,15,0,25,,10,0
,SPAIN,12058,459,2592,15109,11466,3,14764,471,375,15610,13675,0,5527,14,419,5960,,5984,0
,OTHER NON G-10 DEV.,251,1,43,295,1320,1,15071,0,10,15081,15069,0,348,1,51,400,,356,1
,Total,52222,9346,5405,66973,50970,724,76119,45653,3374,125146,72701,157,116211,42387,10259,168857,,123177,4945
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,13,0,1,14,14,0,70,317,0,387,70,34,2,0,6,8,,2,0
,CZECH REPUBLIC,3326,378,32,3736,3448,166,544,4258,25,4827,544,0,128,31,100,259,,128,2
,HUNGARY,479,168,24,671,528,81,659,1602,109,2370,658,4,69,20,19,108,,63,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,1195,496,84,1775,1170,123,1348,9817,0,11165,1341,818,997,1018,149,2164,,991,15
,ROMANIA,583,170,1,754,628,0,912,3091,5,4008,912,214,20,20,0,40,,20,0
,RUSSIA,2038,76,0,2114,2080,0,39,4946,0,4985,39,0,3,854,0,857,,3,0
,TURKEY,11062,47,279,11388,8856,15,2216,1949,0,4165,2479,219,768,73,0,841,,755,0
,OTHER E. EUROPE,337,1,4,342,423,1,3969,1414,68,5451,4409,0,179,0,1,180,,179,0
,Total,19033,1336,425,20794,17147,386,9757,27394,207,37358,10452,1289,2166,2016,275,4457,,2141,17
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,67,0,0,67,66,0,0,0,2,2,0,0,30,0,7,37,,24,0
,ARGENTINA,88,285,0,373,64,157,421,3383,0,3804,406,896,41,94,0,135,,24,0
,BRAZIL,11973,5333,276,17582,5434,0,23005,34162,20,57187,22990,998,3496,5843,3046,12385,,3526,5
,CHILE,5032,12,119,5163,5043,1,580,792,9,1381,554,0,753,2288,373,3414,,739,0
,COLOMBIA,1138,125,100,1363,1529,0,238,2889,5,3132,232,0,545,946,93,1584,,655,0
,COSTA RICA,67,172,1,240,73,59,99,963,37,1099,96,171,40,0,6,46,,42,0
,DOMINICAN REPUBLIC,1085,3,0,1088,1116,0,706,267,2,975,753,24,101,15,0,116,,86,7
,ECUADOR,107,42,22,171,111,40,104,90,0,194,104,90,25,13,0,38,,28,13
,EL SALVADOR,126,7,0,133,129,7,97,159,0,256,96,159,3,0,0,3,,2,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,1104,6,0,1110,1125,0,76,342,0,418,69,22,5,0,2,7,,8,0
,HONDURAS,334,1,0,335,424,0,50,303,0,353,49,24,7,0,0,7,,6,0
,MEXICO,3736,7451,573,11760,3653,548,5099,38562,543,44204,5059,487,3158,12990,725,16873,,3315,840
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1751,30,33,1814,1883,0,1076,1227,22,2325,1058,143,94,350,73,517,,574,0
,URUGUAY,74,16,3,93,69,0,588,396,13,997,586,116,521,13,8,542,,498,0
,VENEZUELA,1,0,0,1,0,0,79,0,0,79,75,0,15,0,0,15,,9,0
,OTHER LAT. AM. & CAR.,309,41,15,365,370,6,913,725,2,1640,875,107,27461,2,523,27986,,31288,2
,Total,26992,13524,1142,41658,21089,818,33131,84260,655,118046,33002,3237,36295,22554,4856,63705,,40824,867
,,,,,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,,,,,
,CHINA-MAINLAND,27499,7664,1158,36321,26171,887,20939,18506,573,40018,20897,1554,9139,6711,296,16146,,8589,102
,INDIA,7803,5476,314,13593,7812,173,2591,37008,32,39631,2571,7,4589,12290,416,17295,,4608,6
,INDONESIA,1612,1424,48,3084,1496,1355,5788,4723,40,10551,5779,825,200,907,9,1116,,231,267
,"KOREA, SOUTH",10956,2984,1385,15325,8656,569,22963,21300,1900,46163,19671,740,8085,4088,1911,14084,,8076,11
,KUWAIT,1183,20,4,1207,1067,0,11828,180,16,12024,11827,0,6631,0,6,6637,,6611,0
,MALAYSIA,1417,4362,83,5862,1309,5,167,7996,4,8167,167,567,470,179,12,661,,487,82
,PAKISTAN,15,3,3,21,19,0,100,935,0,1035,100,18,5,0,0,5,,5,0
,PHILIPPINES,1392,1669,23,3084,1751,935,648,3270,21,3939,626,50,71,69,0,140,,70,0
,QATAR,4201,32,9,4242,3887,0,202,0,9,211,156,0,957,0,5,962,,618,0
,SAUDI ARABIA,4801,1620,53,6474,4663,83,12413,1071,93,13577,12154,0,5227,195,86,5508,,6100,0
,TAIWAN,3135,1435,432,5002,2895,108,8125,8304,11,16440,8124,10,15084,1610,807,17501,,15075,834
,THAILAND,437,2301,249,2987,428,172,235,5076,133,5444,235,11,284,115,183,582,,284,0
,UNITED ARAB EMIRATES,7733,571,56,8360,8038,504,2023,6517,15,8555,1983,88,12575,144,26,12745,,12677,219
,WEST BANK AND GAZA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,3445,132,33,3610,4132,1,1045,3532,70,4647,1797,828,560,138,4,702,,625,0
,Total,75629,29693,3850,109172,72326,4792,89067,118418,2917,210402,86087,4698,63877,26446,3761,94084,,64056,1521
,,,,,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,,,,,
,ALGERIA,8,39,0,47,8,0,0,841,0,841,0,69,0,0,0,0,,0,0
,EGYPT,1722,78,0,1800,1742,64,10840,1279,0,12119,10834,37,28,15,0,43,,28,0
,GHANA,27,0,0,27,27,0,109,0,0,109,164,0,2,0,0,2,,2,0
,KENYA,220,14,4,238,222,0,180,418,0,598,195,28,19,0,0,19,,19,0
,MOROCCO,38,5,0,43,44,0,53,528,0,581,53,0,1,0,0,1,,1,0
,NIGERIA,716,89,0,805,802,1,8555,913,705,10173,8550,0,183,0,0,183,,183,0
,SAINT HELENA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,SOUTH AFRICA,2013,852,71,2936,1990,3,1441,4342,1,5784,1405,0,1071,1061,23,2155,,1069,0
,SOUTH SUDAN,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,0,0
,OTHER AFRICA,136,105,0,241,155,0,2464,1720,23,4207,2980,317,184,40,3,227,,205,0
,Total,4883,1182,75,6140,4993,68,23642,10041,729,34412,24181,451,1488,1116,26,2630,,1507,0
,,,,,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,,,,,
,BAHAMAS,257,4,2,263,2867,3,118,463,6,587,106,368,3003,26,354,3383,,6960,0
,BAHRAIN,4665,0,5,4670,7115,0,80,111,0,191,80,0,276,0,0,276,,273,0
,BERMUDA,65,22,0,87,55,40,38,0,0,38,35,0,18508,17,1524,20049,,23121,18
,CAYMAN ISLANDS,2286,10,17,2313,8917,9,83,6,3,92,32,1,630678,488,13802,644968,,693142,464
,HONG KONG,9029,6402,289,15720,10530,6068,94,19233,21,19348,128,27,9486,8305,689,18480,,9159,4001
,LEBANON,3,13,0,16,4,0,56,27,0,83,56,13,1,0,0,1,,0,0
,MAURITIUS,264,22,3,289,273,77,430,35,0,465,430,0,1029,9,359,1397,,1122,10
,PANAMA,1331,9,6,1346,1350,0,289,528,453,1270,260,526,1791,1,14,1806,,1723,1
,SINGAPORE,8211,2652,322,11185,11160,3283,30379,30422,329,61130,30303,27,13728,6561,849,21138,,14689,5552
,OTHER BANKING CENTERS,1179,6,2,1187,1223,10,48,59,1,108,61,0,27087,344,1100,28531,,27065,220
,Total,27290,9140,646,37076,43494,9490,31615,50884,813,83312,31491,962,705587,15751,18691,740029,,777254,10266
,,,,,,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,,,,,,
,AFRICAN,0,0,0,0,0,0,2295,0,592,2887,2104,0,0,0,0,0,,0,0
,ASIAN,0,0,0,0,0,0,7901,0,3065,10966,7588,0,0,0,0,0,,0,0
,CARIBBEAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,EUROPEAN,0,0,0,0,0,0,38998,0,3617,42615,38635,0,0,0,0,0,,0,0
,INTERNATIONAL,0,0,0,0,0,0,20808,0,9369,30177,17782,0,0,0,0,0,,0,0
,LATIN AMERICAN,0,0,0,0,0,0,8481,0,1745,10226,8446,0,0,0,0,0,,0,0
,MIDDLE EASTERN,0,0,0,0,0,0,66,0,1,67,63,0,0,0,0,0,,0,0
,Total,0,0,0,0,0,0,78549,0,18389,96938,74618,0,0,0,0,0,,0,0
,,,,,,,,,,,,,,,,,,,,
,UNITED STATES,44026,312650,17109,373785,19463,7847,84739,5194639,10785,5290163,79914,48,85745,4637471,63915,4787131,,77453,30938
,,,,,,,,,,,,,,,,,,,,
,Grand Total,603439,466434,57750,1127623,542010,85909,589915,6192600,72178,6854693,558777,21734,1364755,5029179,165155,6559089,,1445702,97053
