,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2024
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,2809,35,2844,44,125,169,158,3171,3097,58,3155,0,,3,3
,CANADA,30474,4067,34541,32895,6238,39133,1052,74726,26088,3817,29905,16468,,27354,43822
,FRANCE,27879,275,28154,4076,1059,5135,2279,35568,26560,313,26873,685,,2190,2875
,GERMANY,26672,952,27624,5111,1393,6504,2608,36736,22492,1353,23845,155,,5877,6032
,ITALY,10882,290,11172,2734,1763,4497,293,15962,10057,290,10347,7,,5827,5834
,JAPAN,21870,408,22278,28034,3229,31263,875,54416,18402,302,18704,1514,,0,1514
,LUXEMBOURG,19860,76,19936,316,10,326,841,21103,34694,74,34768,128,,5,133
,NETHERLANDS,26571,180,26751,417,220,637,1861,29249,28217,207,28424,1507,,1027,2534
,SWEDEN,7106,473,7579,33,75,108,323,8010,7291,469,7760,7,,0,7
,SWITZERLAND,18852,640,19492,483,1291,1774,1655,22921,17219,725,17944,427,,878,1305
,UNITED KINGDOM,34273,4746,39019,47122,14396,61518,6754,107291,31628,4688,36316,24715,,41307,66022
,Total,227248,12142,239390,121265,29799,151064,18699,409153,225745,12296,238041,45613,,84468,130081
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,8292,423,8715,14992,2413,17405,748,26868,6513,447,6960,1365,,0,1365
,AUSTRIA,1510,29,1539,40,60,100,79,1718,2034,82,2116,0,,719,719
,CYPRUS,838,80,918,0,0,0,2,920,704,78,782,0,,0,0
,DENMARK,4900,26,4926,10,0,10,427,5363,4343,22,4365,0,,0,0
,FINLAND,2503,10,2513,15,56,71,91,2675,2235,10,2245,360,,0,360
,GREECE,2016,74,2090,72,0,72,27,2189,1997,74,2071,0,,0,0
,IRELAND,22758,213,22971,1990,0,1990,451,25412,21612,221,21833,1288,,0,1288
,ISRAEL,4645,299,4944,164,0,164,248,5356,3917,344,4261,110,,0,110
,NEW ZEALAND,1124,116,1240,427,143,570,79,1889,1018,121,1139,2,,0,2
,NORWAY,3346,115,3461,15,0,15,175,3651,3420,125,3545,0,,0,0
,PORTUGAL,808,117,925,0,0,0,208,1133,842,108,950,0,,0,0
,SLOVAKIA,85,3,88,85,0,85,1,174,119,2,121,0,,0,0
,SPAIN,12137,789,12926,653,166,819,621,14366,11795,749,12544,51,,0,51
,OTHER NON G-10 DEV.,1267,248,1515,0,0,0,3,1518,1110,146,1256,281,,0,281
,Total,66229,2542,68771,18463,2838,21301,3160,93232,61659,2529,64188,3457,,719,4176
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,57,11,68,76,0,76,35,179,74,11,85,43,,0,43
,CZECH REPUBLIC,512,20,532,531,0,531,93,1156,512,12,524,453,,0,453
,HUNGARY,526,5,531,137,0,137,52,720,828,5,833,324,,0,324
,KOSOVO,0,1,1,0,0,0,0,1,0,1,1,0,,0,0
,POLAND,1361,28,1389,1850,1709,3559,1121,6069,1577,25,1602,560,,9,569
,ROMANIA,110,22,132,297,0,297,1,430,263,20,283,287,,0,287
,RUSSIA,83,55,138,5345,24,5369,22,5529,83,53,136,17,,1,18
,TURKEY,3160,222,3382,619,0,619,28,4029,4406,203,4609,382,,2149,2531
,OTHER E. EUROPE,440,38,478,51,0,51,19,548,574,39,613,0,,537,537
,Total,6249,402,6651,8906,1733,10639,1371,18661,8317,369,8686,2066,,2696,4762
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,26,1,27,0,0,0,7,34,16,24,40,0,,0,0
,ARGENTINA,612,349,961,860,146,1006,18,1985,1327,359,1686,1038,,8647,9685
,BRAZIL,18136,1841,19977,10386,1,10387,1357,31721,17636,1704,19340,3170,,4324,7494
,CHILE,2563,203,2766,41,0,41,416,3223,2733,259,2992,10083,,229,10312
,COLOMBIA,1451,447,1898,685,0,685,183,2766,1752,249,2001,4,,756,760
,COSTA RICA,141,58,199,31,0,31,21,251,218,74,292,119,,0,119
,DOMINICAN REPUBLIC,347,91,438,97,0,97,5,540,490,187,677,264,,655,919
,ECUADOR,286,236,522,362,0,362,3,887,736,292,1028,418,,0,418
,EL SALVADOR,105,41,146,33,0,33,0,179,127,65,192,47,,0,47
,FRENCH GUIANA,0,0,0,0,0,0,0,0,1,0,1,0,,0,0
,GUATEMALA,431,71,502,11,0,11,1,514,372,118,490,0,,0,0
,HONDURAS,162,70,232,43,0,43,8,283,136,69,205,2,,544,546
,MEXICO,13265,3480,16745,14416,19948,34364,4058,55167,13986,4870,18856,6373,,3656,10029
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1581,360,1941,313,0,313,300,2554,1601,459,2060,1148,,0,1148
,URUGUAY,351,122,473,83,0,83,60,616,400,122,522,53,,0,53
,VENEZUELA,161,839,1000,0,0,0,0,1000,262,989,1251,5010,,21932,26942
,OTHER LAT. AM. & CAR.,8002,538,8540,595,243,838,408,9786,9254,1669,10923,1134,,1119,2253
,Total,47620,8747,56367,27956,20338,48294,6845,111506,51047,11509,62556,28863,,41862,70725
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,48490,3640,52130,7093,306,7399,338,59867,47234,3605,50839,91,,0,91
,INDIA,19055,1015,20070,11368,513,11881,148,32099,17355,1050,18405,2114,,0,2114
,INDONESIA,1175,588,1763,1167,0,1167,17,2947,1410,498,1908,839,,0,839
,"KOREA, SOUTH",27910,80,27990,4685,3932,8617,538,37145,23679,80,23759,1834,,6,1840
,KUWAIT,316,97,413,32,0,32,3,448,569,100,669,1,,0,1
,MALAYSIA,1025,216,1241,1111,0,1111,68,2420,928,216,1144,1062,,0,1062
,PAKISTAN,32,73,105,163,0,163,0,268,32,73,105,7,,0,7
,PHILIPPINES,431,345,776,468,0,468,42,1286,328,352,680,218,,0,218
,QATAR,4503,88,4591,0,0,0,31,4622,4547,85,4632,0,,0,0
,SAUDI ARABIA,5713,225,5938,181,0,181,38,6157,6068,157,6225,113,,0,113
,TAIWAN,37804,1013,38817,3545,183,3728,39,42584,36031,1104,37135,2106,,0,2106
,THAILAND,1404,171,1575,881,93,974,132,2681,1376,152,1528,67,,1,68
,UNITED ARAB EMIRATES,4505,1331,5836,1325,174,1499,18,7353,4441,1301,5742,1277,,1,1278
,WEST BANK AND GAZA,0,4,4,0,0,0,0,4,0,4,4,0,,0,0
,OTHER ASIA AND PACIFIC,2957,235,3192,1295,8,1303,100,4595,4806,225,5031,355,,70,425
,Total,155320,9121,164441,33314,5209,38523,1512,204476,148804,9002,157806,10084,,78,10162
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,19,2,21,188,0,188,0,209,19,2,21,39,,0,39
,EGYPT,148,82,230,87,0,87,0,317,751,82,833,34,,0,34
,GHANA,0,6,6,0,0,0,3,9,0,6,6,0,,0,0
