,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2024
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,2406,9837,476,9361,2,12245,,519,1,0,6,0,,6,5
,CANADA,63687,19768,2435,17333,1004,84459,,28640,6923,59,1255,26,,1218,33
,FRANCE,29742,1526,0,1526,1243,32511,,4026,600,59,132,9,,80,192
,GERMANY,51108,21350,8,21342,594,73052,,11269,201,0,142,0,,142,228
,ITALY,1495,2249,0,2249,0,3744,,2323,165,0,5,0,,5,15
,JAPAN,22461,12913,13,12900,466,35840,,2053,197,59,564,26,,530,85
,LUXEMBOURG,8278,6977,75,6902,98,15353,,4037,152,0,1,0,,1,0
,NETHERLANDS,6080,2374,18,2356,43,8497,,2313,91,0,55,0,,55,50
,SWEDEN,3006,110,0,110,0,3116,,1740,170,0,2,0,,2,11
,SWITZERLAND,14816,301,0,301,104,15221,,1208,163,0,13,0,,13,2
,UNITED KINGDOM,75638,58110,10511,47599,2861,136609,,60756,1694,276,1543,31,,1245,313
,Total,278717,135515,13536,121979,6415,420647,,118884,10357,453,3718,92,,3297,934
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,7678,9998,33,9965,90,17766,,7726,249,0,8,0,,8,170
,AUSTRIA,1577,102,0,102,4,1683,,46,6,0,2,0,,2,58
,CYPRUS,51,0,0,0,0,51,,0,7,0,0,0,,0,7
,DENMARK,790,7,0,7,19,816,,11,3,0,1,0,,1,0
,FINLAND,1744,96,0,96,0,1840,,66,1,0,1,0,,1,15
,GREECE,79,0,0,0,0,79,,18,0,0,0,0,,0,3
,IRELAND,17416,5388,319,5069,188,22992,,5158,58,0,10,0,,10,25
,ISRAEL,1750,6,1,5,1,1757,,539,39,0,4,0,,4,0
,NEW ZEALAND,529,430,4,426,23,982,,519,7,0,0,0,,0,0
,NORWAY,2954,30,5,25,5,2989,,598,15,0,1,0,,1,0
,PORTUGAL,233,0,0,0,3,236,,16,1,0,0,0,,0,0
,SLOVAKIA,455,19,0,19,0,474,,3,0,0,0,0,,0,0
,SPAIN,2582,756,3,753,871,4209,,444,299,0,10,0,,5,40
,OTHER NON G-10 DEV.,545,0,0,0,0,545,,58,4,0,0,0,,0,0
,Total,38383,16832,365,16467,1204,56419,,15202,689,0,37,0,,32,318
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,24,0,0,0,0,24,,1,0,0,0,0,,0,0
,CZECH REPUBLIC,58,0,0,0,0,58,,3,0,0,0,0,,0,0
,HUNGARY,133,5,0,5,9,147,,29,12,0,0,0,,0,0
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,340,100,2,98,0,440,,10,0,0,0,0,,0,0
,ROMANIA,26,0,0,0,0,26,,1,0,0,0,0,,0,0
,RUSSIA,1171,18,0,18,0,1189,,0,0,0,0,0,,0,0
,TURKEY,279,0,0,0,0,279,,46,0,7,7,7,,7,14
,OTHER E. EUROPE,255,0,0,0,0,255,,55,5,0,0,0,,0,0
,Total,2286,123,2,121,9,2418,,145,17,7,7,7,,7,14
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,104,0,0,0,2,106,,0,3,0,0,0,,0,2
,ARGENTINA,585,724,370,354,3,1312,,468,53,0,0,0,,0,4
,BRAZIL,5985,890,0,890,27,6902,,771,33,0,19,0,,19,1194
,CHILE,1914,14,3,11,76,2004,,190,111,6,11,6,,11,704
,COLOMBIA,824,0,0,0,2,826,,39,17,0,2,0,,2,25
,COSTA RICA,199,0,0,0,0,199,,13,8,0,0,0,,0,0
,DOMINICAN REPUBLIC,715,0,0,0,0,715,,4,2,0,0,0,,0,65
,ECUADOR,373,2,0,2,0,375,,11,30,0,0,0,,0,54
,EL SALVADOR,52,0,0,0,0,52,,1,0,0,0,0,,0,5
,FRENCH GUIANA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,GUATEMALA,537,0,0,0,0,537,,3,22,0,0,0,,0,117
,HONDURAS,149,0,0,0,0,149,,3,1,0,0,0,,0,18
,MEXICO,4549,5273,115,5158,123,9945,,6042,203,103,225,103,,225,171
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,635,0,0,0,2,637,,33,6,0,2,0,,2,176
,URUGUAY,447,0,0,0,9,456,,24,29,0,0,0,,0,2
,VENEZUELA,410,0,0,0,0,410,,12,3,0,0,0,,0,4
,OTHER LAT. AM. & CAR.,3702,336,336,0,11,4049,,605,183,0,1,0,,0,190
,Total,21180,7239,824,6415,255,28674,,8219,704,109,260,109,,259,2731
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
