,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2024
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,2521,476,2245,9362,12359,328,212,12243
,CANADA,60102,32578,41956,17363,110043,5005,8278,83455
,FRANCE,17828,2452,12467,1526,21806,621,12535,31268
,GERMANY,16903,5870,8575,21402,44175,2790,37051,72458
,ITALY,1448,5715,1169,2262,9425,59,92,3744
,JAPAN,16177,503,13404,12200,28880,206,6698,35374
,LUXEMBOURG,9001,196,4955,6914,16111,2151,1299,15255
,NETHERLANDS,5807,2360,1716,2361,10528,1328,1600,8454
,SWEDEN,3057,0,1878,110,3167,376,327,3116
,SWITZERLAND,3511,2,2488,299,3812,732,12053,15117
,UNITED KINGDOM,109813,59097,96962,48068,216978,48194,13547,133748
,Total,246168,109249,187815,121867,477284,61790,93692,414232
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,7502,39,3935,10384,17925,682,442,17676
,AUSTRIA,1540,719,282,113,2372,41,67,1679
,CYPRUS,33,0,16,0,33,0,18,51
,DENMARK,797,0,553,7,804,337,330,797
,FINLAND,1546,360,215,96,2002,63,259,1840
,GREECE,68,0,18,0,68,13,24,79
,IRELAND,22540,421,18168,5071,28032,6894,1664,22804
,ISRAEL,1325,2,806,5,1332,31,459,1756
,NEW ZEALAND,503,4,274,428,935,95,121,959
,NORWAY,2655,7,1291,69,2731,526,779,2984
,PORTUGAL,277,0,107,0,277,47,3,233
,SLOVAKIA,466,0,15,19,485,14,3,474
,SPAIN,2204,3,1087,754,2961,198,576,3338
,OTHER NON G-10 DEV.,512,281,53,0,793,30,63,545
,Total,41968,1836,26820,16946,60750,8971,4808,55215
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,40,0,36,0,40,26,10,24
,CZECH REPUBLIC,137,0,134,0,137,99,20,58
,HUNGARY,197,0,109,5,202,106,42,138
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,378,2,341,221,601,221,60,440
,ROMANIA,112,0,89,0,112,88,2,26
,RUSSIA,1169,0,220,18,1187,0,2,1189
,TURKEY,319,2149,102,0,2468,132,92,279
,OTHER E. EUROPE,316,537,94,0,853,64,3,255
,Total,2668,2688,1125,244,5600,736,231,2409
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,110,0,109,0,110,29,23,104
,ARGENTINA,795,9782,628,354,10931,455,243,1309
,BRAZIL,5215,4356,3319,686,10257,696,1671,6875
,CHILE,2072,10303,1412,12,12387,271,113,1928
,COLOMBIA,769,760,420,0,1529,180,236,824
,COSTA RICA,252,113,204,0,365,67,15,199
,DOMINICAN REPUBLIC,817,898,552,0,1715,143,43,715
,ECUADOR,453,0,275,2,455,154,81,375
,EL SALVADOR,69,0,54,0,69,27,10,52
,FRENCH GUIANA,1,0,1,0,1,1,0,0
,GUATEMALA,593,0,537,0,593,80,26,537
,HONDURAS,233,544,177,0,777,96,15,149
,MEXICO,5272,4127,2770,5349,14748,2098,1267,9822
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,808,974,417,0,1782,264,91,635
,URUGUAY,519,0,340,0,519,147,75,447
,VENEZUELA,540,26942,338,0,27482,211,81,410
,OTHER LAT. AM. & CAR.,4721,1820,3302,0,6541,2183,1160,4038
,Total,23239,60619,14855,6403,90261,7102,5150,28419
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,4123,263,1213,1909,6295,528,695,6461
,INDIA,1264,15,1056,2208,3487,1086,216,2613
,INDONESIA,564,1,351,5,570,322,119,368
,"KOREA, SOUTH",3272,6,2686,85,3363,320,512,3555
,KUWAIT,2006,0,1347,0,2006,40,57,2023
,MALAYSIA,471,0,386,45,516,3,106,619
,PAKISTAN,6,0,5,0,6,5,2,3
,PHILIPPINES,164,46,180,98,308,82,105,332
,QATAR,558,0,276,0,558,6,22,574
,SAUDI ARABIA,3155,1,1620,57,3213,13,29,3229
,TAIWAN,2140,0,1278,274,2414,53,450,2810
,THAILAND,150,1,92,109,260,51,10,219
,UNITED ARAB EMIRATES,2546,2,1872,3,2551,236,252,2567
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0
,OTHER ASIA AND PACIFIC,1628,70,450,8,1706,692,106,1051
,Total,22047,405,12812,4801,27253,3437,2681,26424
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,1,0,0,0,1,0,0,1
,EGYPT,122,0,94,0,122,11,2,113
,GHANA,2,0,2,0,2,0,0,2
,KENYA,18,172,18,0,190,3,0,15
,MOROCCO,33,895,13,0,928,5,0,28
,NIGERIA,109,0,105,0,109,15,4,98
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,583,1038,316,0,1621,89,53,547
,SOUTH SUDAN,0,0,0,0,0,0,0,0
,OTHER AFRICA,389,0,211,0,389,151,37,276
,Total,1257,2105,759,0,3362,274,96,1080
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,5032,0,4731,0,5032,4144,196,1082
,BAHRAIN,380,0,157,0,380,154,0,226
,BERMUDA,8051,51,4409,13,8115,548,425,7990
,CAYMAN ISLANDS,82657,40,49667,73,82770,17798,4697,69664
,HONG KONG,2071,1337,2514,1600,5008,902,865,4965
,LEBANON,37,0,4,0,37,9,2,30
,MAURITIUS,59,0,21,0,59,2,23,80
,PANAMA,1325,16996,955,0,18321,530,161,954
,SINGAPORE,8362,551,6025,1420,10333,996,198,9532
,OTHER BANKING CENTERS,5047,161,2116,32,5240,483,651,5408
,Total,113021,19136,70599,3138,135295,25566,7218,99931
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
,AFRICAN,1301,0,114,0,1301,0,0,1301
,ASIAN,3859,0,881,0,3859,0,0,3859
,CARIBBEAN,0,0,0,0,0,0,0,0
,EUROPEAN,11002,0,1324,0,11002,0,0,11002
,INTERNATIONAL,7135,0,891,0,7135,0,0,7135
,LATIN AMERICAN,4127,0,526,0,4127,0,0,4127
,MIDDLE EASTERN,0,0,0,0,0,0,0,0
,Total,27424,0,3736,0,27424,0,0,27424
,,,,,,,,,
,UNITED STATES,66179,14252,27410,7377104,7457535,169440,163489,7456688
,,,,,,,,,
,Grand Total,543971,210290,345931,7530503,8284764,277316,277365,8111822
