,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2024
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,3519,2546,6065,2011,17382,,1463,19,0,0,0,0,,0
,CANADA,1987,4796,6783,5316,-4641,,13181,1448,167,12375,594,547,,12171
,FRANCE,2,544,546,793,1135,,4051,385,94,6466,0,10,,6456
,GERMANY,470,4648,5118,4070,17803,,8170,434,5,31124,0,0,,31124
,ITALY,0,2214,2214,3723,53,,298,40,3,1007,0,1,,1006
,JAPAN,76,5558,5634,5872,7190,,4350,1556,235,7663,2,508,,7654
,LUXEMBOURG,11362,8604,19966,18512,-9266,,302,322,30,20,0,0,,20
,NETHERLANDS,1391,2541,3932,5557,-1196,,2992,575,39,52,0,32,,20
,SWEDEN,0,67,67,1044,52,,898,157,3,1,0,0,,1
,SWITZERLAND,2,21,23,539,303,,889,288,66,164,0,0,,164
,UNITED KINGDOM,70453,38716,109169,42508,-30392,,8324,866,162,25568,138,593,,25494
,Total,89262,70255,159517,89945,-1577,,44918,6090,804,84440,734,1691,,84110
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,4919,6616,11535,11514,1886,,3624,238,48,927,0,876,,908
,AUSTRIA,0,62,62,101,51,,1388,0,0,0,0,0,,0
,CYPRUS,0,0,0,43,0,,0,0,0,0,0,0,,0
,DENMARK,0,2,2,1832,7,,408,36,6,0,0,0,,0
,FINLAND,0,10,10,471,65,,1432,15,0,5,0,0,,5
,GREECE,0,0,0,67,1,,0,0,0,0,0,0,,0
,IRELAND,7161,7687,14848,31432,-6655,,384,660,34,10066,0,272,,9808
,ISRAEL,0,11,11,850,63,,273,35,3,1,0,1,,0
,NEW ZEALAND,1,76,77,725,345,,89,12,2,1,0,0,,1
,NORWAY,0,193,193,1278,-17,,1777,15,0,98,0,0,,98
,PORTUGAL,0,0,0,147,0,,11,1,0,0,0,0,,0
,SLOVAKIA,0,0,0,0,0,,465,0,0,0,0,0,,0
,SPAIN,216,576,792,1169,580,,1176,196,22,2,0,2,,0
,OTHER NON G-10 DEV.,0,0,0,140,11,,0,0,0,0,0,0,,0
,Total,12297,15233,27530,49769,-3663,,11027,1208,115,11100,0,1151,,10820
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,0,0,0,19,0,,0,0,0,0,0,0,,0
,CZECH REPUBLIC,0,0,0,6,0,,0,0,0,0,0,0,,0
,HUNGARY,0,0,0,62,44,,47,0,0,0,0,0,,0
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,30,227,257,262,42,,30,0,1,0,0,0,,0
,ROMANIA,0,0,0,0,0,,20,0,0,0,0,0,,0
,RUSSIA,1,1,2,78,42,,0,0,0,0,0,0,,0
,TURKEY,0,0,0,87,0,,26,0,0,0,0,0,,0
,OTHER E. EUROPE,0,1,1,142,1,,33,0,0,7,0,0,,7
,Total,31,229,260,656,129,,156,0,1,7,0,0,,7
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,4,0,4,68,0,,0,0,0,0,0,0,,0
,ARGENTINA,252,357,609,612,770,,3,2,1,24,2,23,,0
,BRAZIL,0,715,715,728,71,,269,770,13,101,0,101,,0
,CHILE,3,3,6,7,144,,358,101,13,33,0,33,,0
,COLOMBIA,0,0,0,0,0,,75,3,0,6,0,0,,6
,COSTA RICA,0,0,0,1,0,,0,42,0,0,0,0,,0
,DOMINICAN REPUBLIC,0,0,0,0,0,,12,5,1,0,0,0,,0
,ECUADOR,0,0,0,3,0,,0,0,0,0,0,0,,0
,EL SALVADOR,0,0,0,2,0,,0,0,0,0,0,0,,0
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
,GUATEMALA,0,0,0,1,0,,23,0,0,0,0,0,,0
,HONDURAS,0,0,0,0,0,,0,0,0,0,0,0,,0
,MEXICO,104,1188,1292,1366,4128,,427,55,17,186,1,91,,94
,MONTSERRAT,0,0,0,0,0,,0,0,0,0,0,0,,0
,PERU,0,0,0,0,0,,119,16,5,42,0,0,,42
,URUGUAY,4,0,4,0,0,,14,0,0,4,0,4,,0
,VENEZUELA,0,0,0,1,0,,0,1,0,1,0,1,,0
,OTHER LAT. AM. & CAR.,693,0,693,1427,-348,,12,27,1,297,1,66,,231
,Total,1060,2263,3323,4216,4765,,1312,1022,51,694,4,319,,373
,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,
,CHINA-MAINLAND,251,1477,1728,2727,589,,215,84,8,6,2,2,,2
,INDIA,10,944,954,935,1590,,665,2,0,0,0,0,,0
,INDONESIA,0,6,6,17,0,,134,13,0,0,0,0,,0
,"KOREA, SOUTH",12,2,14,30,17,,294,25,4,269,0,0,,269
,KUWAIT,0,0,0,3896,0,,0,0,0,1055,0,0,,1055
,MALAYSIA,0,8,8,1837,56,,45,4,0,1,0,0,,1
,PAKISTAN,0,0,0,12,0,,2,0,0,0,0,0,,0
,PHILIPPINES,2,81,83,359,162,,11,0,0,0,0,0,,0
,QATAR,0,0,0,0,0,,137,0,0,0,0,0,,0
,SAUDI ARABIA,0,1,1,3081,37,,74,0,0,933,0,0,,933
,TAIWAN,10,109,119,189,125,,0,200,0,656,0,8,,648
,THAILAND,1,100,101,109,15,,19,0,0,0,0,0,,0
,UNITED ARAB EMIRATES,0,3,3,982,-3,,311,0,0,796,0,0,,796
,WEST BANK AND GAZA,0,0,0,3,0,,0,0,0,0,0,0,,0
,OTHER ASIA AND PACIFIC,0,277,277,767,-263,,53,9,0,39,0,0,,39
,Total,286,3008,3294,14944,2325,,1960,337,12,3755,2,10,,3743
,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,
,ALGERIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,EGYPT,0,0,0,82,-1,,10,0,0,0,0,0,,0
,GHANA,0,0,0,10,0,,0,0,0,0,0,0,,0
,KENYA,0,0,0,423,0,,0,0,0,0,0,0,,0
,MOROCCO,0,0,0,18,0,,15,0,0,0,0,0,,0
,NIGERIA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SAINT HELENA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SOUTH AFRICA,0,0,0,1876,0,,14,1,0,33,0,33,,33
,SOUTH SUDAN,0,0,0,0,0,,0,0,0,0,0,0,,0
,OTHER AFRICA,0,0,0,214,0,,10,71,8,3,0,0,,3
,Total,0,0,0,2623,-1,,49,72,8,36,0,33,,36
,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,
,BAHAMAS,0,0,0,71,0,,22,2,1,0,0,0,,0
,BAHRAIN,0,0,0,26,0,,0,0,0,0,0,0,,0
,BERMUDA,18,9,27,940,392,,560,143,7,50,0,38,,12
,CAYMAN ISLANDS,13889,0,13889,11717,-11003,,9838,2095,16,23967,282,537,,23498
,HONG KONG,1859,637,2496,2952,4701,,391,51,0,22,16,22,,0
,LEBANON,0,0,0,7,0,,0,0,0,0,0,0,,0
,MAURITIUS,0,0,0,3,0,,17,0,0,0,0,0,,0
,PANAMA,0,0,0,53,0,,58,36,12,16,0,16,,0
,SINGAPORE,119,354,473,4480,1102,,1670,432,24,2637,0,4,,2632
,OTHER BANKING CENTERS,2524,426,2950,3936,5183,,1306,354,0,33,0,2,,31
,Total,18409,1426,19835,24185,375,,13862,3113,60,26725,298,619,,26173
,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,
,AFRICAN,0,0,0,26,0,,1290,0,0,0,0,0,,0
,ASIAN,0,0,0,17,0,,3847,0,0,0,0,0,,0
