,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2024
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,1716,1150,0,2866,1864,446,270,8557,2,8829,155,0,71,0,0,71,,71,30
,CANADA,34784,4830,702,40316,32372,656,1566,1437,32,3035,1483,767,14175,1170,111,15456,,13801,93
,FRANCE,24073,36,991,25100,12938,0,2483,225,12,2720,2039,0,1598,5,238,1841,,1543,0
,GERMANY,41031,97,568,41696,9581,4,6320,19359,25,25704,4398,0,853,9,0,862,,358,1
,ITALY,87,83,0,170,98,0,209,190,0,399,209,0,1021,4,0,1025,,1021,0
,JAPAN,11865,788,326,12979,6069,503,4106,6304,64,10474,4106,0,5168,242,76,5486,,5089,0
,LUXEMBOURG,303,122,0,425,861,120,120,6726,0,6846,113,0,5135,72,65,5272,,4536,65
,NETHERLANDS,1061,55,1,1117,1130,1,1502,1709,0,3211,1118,0,478,238,5,721,,479,16
,SWEDEN,1189,10,0,1199,947,0,1018,1,0,1019,1151,0,115,0,0,115,,117,0
,SWITZERLAND,9121,26,97,9244,1224,2,1572,22,0,1594,90,0,2225,253,1,2479,,528,0
,UNITED KINGDOM,40862,7327,1708,49897,76819,8974,1627,25188,1,26816,580,4,22370,10973,1057,34400,,21953,1347
,Total,166092,14524,4393,185009,143903,10706,20793,69718,136,90647,15442,771,53209,12966,1553,67728,,49496,1552
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,5148,1020,48,6216,5241,4,98,1630,0,1728,98,0,608,57,26,691,,590,3
,AUSTRIA,396,0,0,396,405,0,781,1,0,782,781,0,234,1,4,239,,224,0
,CYPRUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
