,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2024
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,339,10,349,43,87,130,0,479,410,21,431,0,,0,0
,CANADA,9903,3259,13162,6376,5955,12331,158,25651,9264,3182,12446,3732,,27330,31062
,FRANCE,1496,92,1588,584,676,1260,2,2850,1221,87,1308,268,,2184,2452
,GERMANY,2248,656,2904,809,1076,1885,1,4790,1913,653,2566,4,,5861,5865
,ITALY,136,42,178,852,1120,1972,0,2150,72,48,120,0,,5715,5715
,JAPAN,1162,160,1322,2350,3229,5579,0,6901,757,156,913,0,,0,0
,LUXEMBOURG,2648,72,2720,57,0,57,33,2810,3422,69,3491,11,,0,11
,NETHERLANDS,3029,10,3039,165,207,372,37,3448,3069,11,3080,1316,,1027,2343
,SWEDEN,267,417,684,24,75,99,0,783,431,411,842,0,,0,0
,SWITZERLAND,1816,82,1898,0,0,0,6,1904,1529,140,1669,0,,0,0
,UNITED KINGDOM,9611,1168,10779,3576,11046,14622,95,25496,9272,1189,10461,8613,,40159,48772
,Total,32655,5968,38623,14836,23471,38307,332,77262,31360,5967,37327,13944,,82276,96220
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,1710,114,1824,4991,2300,7291,16,9131,1459,114,1573,32,,0,32
,AUSTRIA,149,17,166,40,60,100,0,266,109,21,130,0,,719,719
,CYPRUS,36,15,51,0,0,0,0,51,18,15,33,0,,0,0
,DENMARK,192,7,199,7,0,7,5,211,200,3,203,0,,0,0
,FINLAND,77,8,85,15,56,71,0,156,43,5,48,360,,0,360
,GREECE,60,15,75,0,0,0,0,75,52,15,67,0,,0,0
,IRELAND,4217,68,4285,38,0,38,33,4356,4462,64,4526,15,,0,15
,ISRAEL,574,119,693,1,0,1,1,695,213,130,343,0,,0,0
,NEW ZEALAND,258,90,348,247,143,390,0,738,204,95,299,2,,0,2
,NORWAY,140,109,249,14,0,14,0,263,187,109,296,0,,0,0
,PORTUGAL,31,44,75,0,0,0,0,75,55,51,106,0,,0,0
,SLOVAKIA,1,2,3,0,0,0,0,3,13,1,14,0,,0,0
,SPAIN,452,362,814,233,166,399,1,1214,374,356,730,3,,0,3
,OTHER NON G-10 DEV.,461,28,489,0,0,0,0,489,460,31,491,281,,0,281
,Total,8358,998,9356,5586,2725,8311,56,17723,7849,1010,8859,693,,719,1412
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,10,2,12,0,0,0,0,12,30,2,32,0,,0,0
,CZECH REPUBLIC,14,9,23,0,0,0,0,23,41,1,42,0,,0,0
,HUNGARY,45,3,48,5,0,5,9,62,77,3,80,0,,0,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,132,6,138,41,0,41,0,179,202,3,205,1,,0,1
,ROMANIA,1,5,6,0,0,0,0,6,56,3,59,0,,0,0
,RUSSIA,2,6,8,0,0,0,0,8,2,4,6,0,,0,0
,TURKEY,108,136,244,0,0,0,0,244,167,117,284,0,,2149,2149
,OTHER E. EUROPE,29,2,31,0,0,0,0,31,80,2,82,0,,537,537
,Total,341,169,510,46,0,46,9,565,655,135,790,1,,2686,2687
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,17,0,17,0,0,0,0,17,7,23,30,0,,0,0
,ARGENTINA,241,279,520,323,146,469,3,992,577,196,773,984,,8647,9631
,BRAZIL,897,1096,1993,0,0,0,6,1999,1054,877,1931,32,,4324,4356
,CHILE,647,144,791,11,0,11,70,872,842,127,969,10073,,229,10302
,COLOMBIA,216,343,559,0,0,0,1,560,341,155,496,4,,756,760
,COSTA RICA,91,26,117,0,0,0,0,117,127,45,172,113,,0,113
,DOMINICAN REPUBLIC,52,54,106,0,0,0,0,106,129,96,225,243,,655,898
,ECUADOR,152,158,310,0,0,0,0,310,266,129,395,0,,0,0
,EL SALVADOR,8,17,25,0,0,0,0,25,18,28,46,0,,0,0
