,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2024
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,24070,167,21,146,550,24787,,6815,272,14263,15353,6316,,7405,187
,CANADA,120755,73775,18355,55420,5501,200031,,50376,11969,31326,29150,17035,,14860,337
,FRANCE,169922,26899,638,26261,14957,211778,,224401,5646,232949,230305,90626,,87946,217
,GERMANY,77430,206874,1060,205814,23499,307803,,59921,4385,177386,176289,71919,,70823,980
,ITALY,69534,7085,245,6840,5243,81862,,14186,682,147100,139325,48325,,40549,151
,JAPAN,100168,343953,30149,313804,21453,465574,,60437,5885,68352,71411,24681,,27739,64
,LUXEMBOURG,86018,4687,1831,2856,7432,98137,,36071,4408,27361,26915,13086,,12641,300
,NETHERLANDS,47564,13430,256,13174,10211,71205,,29847,3603,128289,128845,51745,,52300,712
,SWEDEN,15922,243,7,236,710,16875,,9707,166,36961,36184,16870,,16096,161
,SWITZERLAND,38708,25257,7209,18048,3839,67804,,18651,4581,58339,58225,23573,,23460,754
