,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2024
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,24265,21,21677,142,24428,661,474,24237
,CANADA,114602,18839,114580,56836,190277,9035,13286,194530
,FRANCE,165545,633,128575,26346,192524,3823,8128,196821
,GERMANY,69944,1232,58330,205246,276422,8942,16825,284304
,ITALY,67815,218,59230,6956,74989,636,2266,76619
,JAPAN,87499,30170,97533,314202,431871,2423,14674,444121
,LUXEMBOURG,105885,2266,68780,2957,111108,24544,4140,90705
,NETHERLANDS,48608,283,36451,13225,62116,8565,7444,60994
,SWEDEN,16455,8,14195,236,16699,1913,1375,16165
,SWITZERLAND,35046,7301,37395,18057,60404,2192,5755,63965
,UNITED KINGDOM,74358,81036,103377,267070,422464,20756,24462,426119
,Total,810022,142007,740123,911273,1863302,83490,98829,1878580
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,29997,4767,25806,61357,96121,4863,4571,95828
,AUSTRIA,8795,0,6392,2,8797,818,396,8373
,CYPRUS,2179,0,1729,0,2179,206,243,2212
,DENMARK,10485,1,9282,403,10889,262,1873,12504
,FINLAND,7758,0,6479,5,7763,70,1543,9233
,GREECE,6888,0,6201,205,7093,96,18,7015
,IRELAND,91567,3218,61039,26773,121558,6238,5633,120951
,ISRAEL,13577,127,10825,3225,16929,275,486,17137
,NEW ZEALAND,2860,0,2328,3039,5899,224,116,5791
,NORWAY,29347,0,27584,53,29400,201,1111,30310
,PORTUGAL,4643,0,4381,22,4665,99,79,4647
,SLOVAKIA,2018,0,1996,471,2489,50,12,2452
,SPAIN,41465,51,31686,960,42476,1670,2897,43700
,OTHER NON G-10 DEV.,17489,2,16902,2,17493,1243,393,16642
,Total,269068,8166,212630,96517,373751,16315,19371,376795
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,131,77,93,349,557,39,3,522
,CZECH REPUBLIC,4507,621,4340,4674,9802,259,126,9670
,HUNGARY,1885,409,2084,1745,4039,555,44,3527
,KOSOVO,1,0,0,0,1,0,0,1
,POLAND,4726,1523,5350,13435,19684,514,207,19379
,ROMANIA,1731,501,1928,3247,5479,292,13,5199
,RUSSIA,1089,18,1025,11209,12316,42,0,12274
,TURKEY,16380,616,13019,2106,19102,2477,3214,19837
,OTHER E. EUROPE,5308,1,4423,1515,6824,791,144,6174
,Total,35758,3766,32262,38280,77804,4969,3751,76583
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,20,0,19,0,20,0,0,20
,ARGENTINA,1385,956,2114,3398,5739,819,56,4970
,BRAZIL,46075,4141,41058,51815,102031,3409,8679,107301
,CHILE,7256,10,6419,3108,10374,540,502,10336
,COLOMBIA,3648,0,1948,4897,8545,1121,215,7640
,COSTA RICA,251,236,443,936,1423,62,11,1372
,DOMINICAN REPUBLIC,1815,52,1720,341,2208,298,87,1997
,ECUADOR,818,561,1218,0,1379,528,38,890
