,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2024
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,227,1450,1677,24178,-1481,,807,7088,1795,5596,0,1332,,5596
,CANADA,9909,33533,43442,57288,36639,,8569,40577,12927,60729,0,13433,,60729
,FRANCE,4169,43341,47510,102525,18730,,2599,55799,13897,91041,0,31237,,91041
,GERMANY,26782,180365,207147,148555,258890,,8655,48847,15164,23676,0,11381,,23676
,ITALY,1250,17387,18637,66441,-10734,,2403,41878,13602,14829,0,3251,,14829
,JAPAN,10380,111592,121972,158939,244989,,8671,121027,36904,163969,0,76314,,163969
,LUXEMBOURG,71236,61063,132299,90235,-113506,,3326,11454,462,11021,0,1122,,11021
,NETHERLANDS,28009,18086,46095,72082,-45326,,1067,21423,3195,2132,0,591,,2132
,SWEDEN,27,771,798,20430,-502,,276,5550,482,2146,0,485,,2146
,SWITZERLAND,5173,3756,8929,50085,19402,,9,12994,653,8746,0,2227,,8746
,UNITED KINGDOM,1175670,285561,1461231,343326,141147,,25676,81846,16496,50205,0,20670,,50205
,Total,1332832,756905,2089737,1134084,548248,,62058,448483,115577,434090,0,162043,,434090
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,4632,49031,53663,75863,21390,,6212,21153,2071,15587,0,10399,,15587
,AUSTRIA,27,253,280,10272,-270,,1410,4881,1195,1006,0,39,,1006
,CYPRUS,0,0,0,4766,-2,,0,376,23,12,0,12,,12
,DENMARK,23,530,553,14021,29,,98,6477,627,2323,0,835,,2323
,FINLAND,0,177,177,9789,-172,,580,4216,649,1170,0,90,,1170
,GREECE,40,1615,1655,6124,-1245,,0,3888,355,1818,0,450,,1818
,IRELAND,16335,46027,62362,125043,60262,,13350,20219,1173,16907,0,480,,16907
,ISRAEL,1122,2654,3776,9390,-254,,771,4597,248,6576,0,6255,,6576
,NEW ZEALAND,206,1226,1432,4352,1655,,262,742,117,683,0,522,,683
,NORWAY,0,421,421,8302,-376,,148,3002,446,21170,0,894,,21170
,PORTUGAL,13,218,231,3161,-192,,8,2461,743,1617,0,30,,1617
,SLOVAKIA,139,733,872,1139,-383,,135,736,186,1177,0,148,,1177
,SPAIN,463,2166,2629,39661,-1392,,1133,22812,6382,5154,0,742,,5154
,OTHER NON G-10 DEV.,10,5,15,17012,16,,0,625,7,3275,0,0,,3275
,Total,23010,105056,128066,328895,79066,,24107,96185,14222,78475,0,20896,,78475
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,453,523,976,1111,-550,,70,80,10,0,0,0,,0
,CZECH REPUBLIC,2490,2586,5076,5662,384,,915,615,214,6381,0,5442,,6381
,HUNGARY,1020,1200,2220,7288,116,,933,1108,236,216,0,153,,216
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,4385,10405,14790,18183,2214,,9028,3121,290,625,0,625,,625
,ROMANIA,1214,2127,3341,4002,478,,1712,1262,426,239,0,239,,239
,RUSSIA,321,6110,6431,6328,3578,,253,74,8,860,0,860,,860
,TURKEY,860,1188,2048,8317,706,,79,8671,340,3647,0,3597,,3647
,OTHER E. EUROPE,446,1229,1675,5609,-121,,280,1428,377,2735,0,23,,2735
,Total,11189,25368,36557,56500,6805,,13270,16359,1901,14703,0,10939,,14703
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,27,0,,0,0,0,0,0,0,,0
,ARGENTINA,438,1761,2199,2090,1854,,52,1706,13,413,0,413,,413
,BRAZIL,178,29262,29440,31545,28922,,6953,45511,1737,11130,0,10683,,11130
,CHILE,21,310,331,1086,2792,,14,1590,314,311,0,251,,311
,COLOMBIA,14,4297,4311,4282,702,,663,2506,98,732,0,732,,732
,COSTA RICA,377,749,1126,1170,266,,320,34,6,0,0,0,,0
,DOMINICAN REPUBLIC,104,236,340,407,58,,190,358,32,281,0,281,,281
,ECUADOR,543,0,543,440,64,,37,105,2,0,0,0,,0
,EL SALVADOR,184,0,184,183,95,,108,96,12,0,0,0,,0
,FRENCH GUIANA,0,0,0,0,0,,0,0,0,0,0,0,,0
,GUATEMALA,127,218,345,342,24,,254,66,19,50,0,50,,50
,HONDURAS,46,303,349,300,35,,205,45,0,6,0,6,,6
,MEXICO,6832,73246,80078,82121,22630,,24235,12969,1391,5225,0,3030,,5225
,MONTSERRAT,0,0,0,0,0,,0,0,0,0,0,0,,0
,PERU,566,1240,1806,1742,570,,625,991,294,271,0,70,,271
,URUGUAY,247,344,591,747,93,,0,592,36,0,0,0,,0
,VENEZUELA,0,0,0,47,0,,0,160,6,0,0,0,,0
,OTHER LAT. AM. & CAR.,653,651,1304,46383,722,,344,4162,184,4997,0,332,,4997
,Total,10330,112617,122947,172912,58827,,34000,70891,4144,23416,0,15848,,23416
,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,
,CHINA-MAINLAND,6735,24162,30897,55720,12440,,9380,77552,674,21273,0,150,,21273
,INDIA,2638,47319,49957,45935,23037,,12051,44764,532,7956,0,7956,,7956
,INDONESIA,2023,4452,6475,8811,2738,,2334,8186,166,1618,0,1617,,1618
,"KOREA, SOUTH",3846,18001,21847,34611,22006,,10503,48569,383,13195,0,4275,,13195
,KUWAIT,37,203,240,3880,-11,,107,610,0,14756,0,0,,14756
,MALAYSIA,4084,5185,9269,12822,5066,,3119,2119,71,4858,0,4760,,4858
,PAKISTAN,26,1026,1052,1290,167,,792,184,30,0,0,0,,0
,PHILIPPINES,2239,3176,5415,6824,1756,,1576,1250,134,2129,0,1582,,2129
,QATAR,41,65,106,8472,-68,,0,1074,88,2245,0,1418,,2245
,SAUDI ARABIA,141,1758,1899,23153,1447,,0,9650,189,7522,0,68,,7522
,TAIWAN,8481,7395,15876,38090,3193,,786,37931,996,19615,0,2393,,19615
,THAILAND,1308,5686,6994,10136,2212,,4030,2706,142,2244,0,2191,,2244
,UNITED ARAB EMIRATES,11620,4464,16084,18438,3079,,4246,4101,223,14323,0,1118,,14323
,WEST BANK AND GAZA,0,0,0,72,0,,0,0,0,0,0,0,,0
,OTHER ASIA AND PACIFIC,2908,2942,5850,18065,-388,,580,2312,128,1212,0,154,,1212
,Total,46127,125834,171961,286319,76674,,49504,241008,3756,112946,0,27682,,112946
,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,
,ALGERIA,100,937,1037,886,266,,728,7,0,0,0,0,,0
,EGYPT,434,911,1345,1648,337,,150,10788,53,1510,0,1510,,1510
,GHANA,0,0,0,116,0,,0,109,18,0,0,0,,0
,KENYA,445,592,1037,1341,-132,,259,241,17,0,0,0,,0
,MOROCCO,317,782,1099,944,-391,,500,103,14,0,0,0,,0
,NIGERIA,472,601,1073,5056,294,,253,1338,39,7986,0,601,,7986
,SAINT HELENA,0,0,0,0,0,,0,0,0,0,0,0,,0
,SOUTH AFRICA,815,5261,6076,10530,2169,,2687,4837,478,1431,0,1103,,1431
,SOUTH SUDAN,0,0,0,1,0,,0,0,0,0,0,0,,0
,OTHER AFRICA,1745,2247,3992,8927,234,,1089,1585,175,60,0,0,,60
,Total,4328,11331,15659,29449,2777,,5666,19008,794,10987,0,3214,,10987
,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,
,BAHAMAS,30,157,187,5158,2255,,77,387,1,129,0,0,,129
,BAHRAIN,318,120,438,780,-272,,65,229,25,3966,0,327,,3966
,BERMUDA,278,0,278,14967,1284,,594,3943,549,1150,0,1,,1150
,CAYMAN ISLANDS,4495,1,4496,266439,1891,,92882,36231,2215,298515,0,17108,,298515
,HONG KONG,77632,36246,113878,104438,-11705,,11967,14067,130,11146,0,1930,,11146
,LEBANON,162,27,189,1524,-155,,0,56,2,0,0,0,,0
,MAURITIUS,129,168,297,1796,8930,,0,272,31,937,0,0,,937
,PANAMA,910,51,961,1862,-227,,344,525,143,426,0,209,,426
,SINGAPORE,92254,26544,118798,89959,5577,,12899,8595,497,33443,0,254,,33443
,OTHER BANKING CENTERS,61789,2746,64535,21523,-59163,,3265,5549,209,5006,0,2,,5006
,Total,237997,66060,304057,508446,-51585,,122093,69854,3802,354718,0,19831,,354718
,,,,,,,,,,,,,,,
,International & Regional Organizations,,,,,,,,,,,,,,
,AFRICAN,0,0,0,417,0,,103,342,12,0,0,0,,0
,ASIAN,0,0,0,401,0,,1792,1911,167,0,0,0,,0
,CARIBBEAN,0,0,0,0,0,,0,0,0,0,0,0,,0
,EUROPEAN,0,0,0,11852,0,,15963,10896,3848,335,0,0,,335
,INTERNATIONAL,0,0,0,4441,0,,6415,3471,311,596,0,0,,596
,LATIN AMERICAN,0,0,0,123,0,,2643,1508,10,80,0,0,,80
,MIDDLE EASTERN,0,0,0,141,0,,0,10,2,2,0,0,,2
,Total,0,0,0,17375,0,,26916,18138,4350,1013,0,0,,1013
,,,,,,,,,,,,,,,
,UNITED STATES,0,0,0,147839,-720997,,2418938,1419640,104284,857329,0,668697,,857329
,,,,,,,,,,,,,,,
,Grand Total,1665813,1203171,2868984,2681819,-185,,2756552,2399566,252830,1887677,0,929150,,1887677
