,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2024
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,10450,63,25,10538,10444,0,7089,26,130,7245,7053,0,4036,39,237,4312,,4044,18
,CANADA,24413,9831,1615,35859,21016,3583,20520,24355,520,45395,20344,15,54443,12787,2472,69702,,55783,2481
,FRANCE,43505,486,4939,48930,40718,10,31060,12996,3905,47961,28556,0,68791,9542,3836,82169,,70706,200
,GERMANY,13235,8136,2110,23481,11578,690,22066,184001,5801,211868,15234,0,17409,10118,12981,40508,,21853,375
,ITALY,20595,320,829,21744,20354,2,28158,241,2655,31054,27306,0,9787,3999,1466,15252,,9928,97
,JAPAN,42761,34893,8870,86524,35840,28010,21174,162436,5171,188781,20852,0,15277,120940,6537,142754,,13016,646
,LUXEMBOURG,1672,157,18,1847,3704,85,140,1189,30,1359,140,30,66990,3072,6576,76638,,70764,2029
,NETHERLANDS,5838,55,1934,7827,3106,16,3716,12966,2863,19545,3591,54,14298,144,3590,18032,,16567,22
,SWEDEN,4862,27,25,4914,5786,0,902,200,25,1127,661,1,3263,7,337,3607,,3090,0
,SWITZERLAND,11578,245,1605,13428,10192,153,1297,17465,30,18792,1127,0,8239,5773,555,14567,,7452,5843
,UNITED KINGDOM,8363,20826,2735,31924,5887,18529,6381,175718,13043,195142,6025,10021,37644,102051,23232,162927,,36591,35236
,Total,187272,75039,24705,287016,168625,51078,142503,591593,34173,768269,130889,10121,300177,268472,61819,630468,,309794,46947
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,6538,6162,1338,14038,5923,358,1478,18162,144,19784,1471,27,17209,29274,830,47313,,17216,3049
,AUSTRIA,1829,0,152,1981,1782,0,4391,1,583,4975,4289,0,778,1,84,863,,738,0
,CYPRUS,85,0,0,85,85,0,156,0,0,156,156,0,1104,0,25,1129,,1189,0
,DENMARK,4649,4,334,4987,4114,0,701,392,211,1304,232,1,2025,3,3371,5399,,1977,0
,FINLAND,2682,4,157,2843,2069,0,3288,0,1283,4571,2709,0,829,2,515,1346,,783,0
,GREECE,2377,0,165,2542,2404,0,1878,1,77,1956,1878,0,602,70,0,672,,602,0
,IRELAND,1636,686,22,2344,1757,129,1773,14562,0,16335,1773,119,69168,12488,4208,85864,,70730,1697
,ISRAEL,6619,42,384,7045,6626,7,1239,3026,300,4565,1299,10,1655,142,295,2092,,1734,0
,NEW ZEALAND,372,496,22,890,469,0,778,2334,134,3246,778,0,738,1,142,881,,773,0
,NORWAY,3617,0,129,3746,3159,0,22278,49,184,22511,21789,0,1151,2,88,1241,,1150,0
,PORTUGAL,1147,0,0,1147,1144,0,2506,1,32,2539,2504,0,143,0,20,163,,151,0
,SLOVAKIA,192,5,0,197,192,0,1709,351,41,2101,1709,0,10,15,0,25,,10,0
,SPAIN,11201,130,1722,13053,10875,3,13965,443,375,14783,12878,0,5415,14,419,5848,,5898,0
,OTHER NON G-10 DEV.,242,1,43,286,1307,1,15069,0,10,15079,15069,0,303,1,51,355,,348,1
,Total,43186,7530,4468,55184,41906,498,71209,39322,3374,113905,68534,157,101130,42013,10048,153191,,103299,4747
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,1,0,1,2,6,0,70,317,0,387,70,34,2,0,6,8,,2,0
,CZECH REPUBLIC,3291,378,32,3701,3353,166,544,4258,25,4827,544,0,128,31,100,259,,128,2
,HUNGARY,433,168,24,625,450,81,621,1602,109,2332,620,4,68,20,19,107,,62,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,1025,451,84,1560,1029,123,1318,9811,0,11129,1311,818,995,1010,149,2154,,989,14
,ROMANIA,583,170,1,754,595,0,892,3091,5,3988,892,214,20,20,0,40,,20,0
,RUSSIA,875,76,0,951,917,0,39,4928,0,4967,39,0,3,854,0,857,,3,0
,TURKEY,11032,47,279,11358,8821,15,2214,1949,0,4163,2479,219,765,73,0,838,,755,0
,OTHER E. EUROPE,243,1,4,248,319,1,3839,1414,68,5321,4279,0,179,0,1,180,,179,0
,Total,17483,1291,425,19199,15490,386,9537,27370,207,37114,10234,1289,2160,2008,275,4443,,2138,16
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,17,,10,0
,ARGENTINA,62,44,0,106,43,9,405,3370,0,3775,405,893,18,93,0,111,,24,0
,BRAZIL,9495,4651,269,14415,3565,0,22286,34020,6,56312,22285,998,2701,5777,3046,11524,,2816,5
,CHILE,4067,11,119,4197,4099,0,496,790,9,1295,471,0,679,2288,367,3334,,663,0
,COLOMBIA,932,125,99,1156,1309,0,226,2889,5,3120,222,0,498,946,93,1537,,612,0
,COSTA RICA,58,172,1,231,59,59,31,963,37,1031,31,171,35,0,6,41,,41,0
,DOMINICAN REPUBLIC,641,3,0,644,671,0,557,267,2,826,606,24,85,15,0,100,,86,7
,ECUADOR,53,40,22,115,53,40,104,90,0,194,104,90,16,13,0,29,,28,13
,EL SALVADOR,102,7,0,109,106,7,96,159,0,255,96,159,1,0,0,1,,2,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,GUATEMALA,705,6,0,711,727,0,66,342,0,408,66,22,3,0,2,5,,5,0
,HONDURAS,279,1,0,280,303,0,20,303,0,323,20,24,1,0,0,1,,1,0
,MEXICO,3097,6498,567,10162,3007,539,4620,38283,533,43436,4612,487,2852,12792,722,16366,,3154,839
,MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,PERU,1486,30,32,1548,1621,0,963,1227,22,2212,963,143,85,350,73,508,,569,0
,URUGUAY,60,16,3,79,60,0,573,396,13,982,572,116,291,13,0,304,,285,0
,VENEZUELA,0,0,0,0,0,0,63,0,0,63,62,0,5,0,0,5,,8,0
