,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  June 30, 2024
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,2470,25,2495,1,38,39,158,2692,2687,37,2724,0,,3,3
,CANADA,20571,808,21379,26519,283,26802,894,49075,16824,635,17459,12736,,24,12760
,FRANCE,26383,183,26566,3492,383,3875,2277,32718,25339,226,25565,417,,6,423
,GERMANY,24424,296,24720,4302,317,4619,2607,31946,20579,700,21279,151,,16,167
,ITALY,10746,248,10994,1882,643,2525,293,13812,9985,242,10227,7,,112,119
,JAPAN,20708,248,20956,25684,0,25684,875,47515,17645,146,17791,1514,,0,1514
,LUXEMBOURG,17212,4,17216,259,10,269,808,18293,31272,5,31277,117,,5,122
,NETHERLANDS,23542,170,23712,252,13,265,1824,25801,25148,196,25344,191,,0,191
,SWEDEN,6839,56,6895,9,0,9,323,7227,6860,58,6918,7,,0,7
,SWITZERLAND,17036,558,17594,483,1291,1774,1649,21017,15690,585,16275,427,,878,1305
,UNITED KINGDOM,24662,3578,28240,43546,3350,46896,6659,81795,22356,3499,25855,16102,,1148,17250
,Total,194593,6174,200767,106429,6328,112757,18367,331891,194385,6329,200714,31669,,2192,33861
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
