,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2024
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,25382,10683,360,10323,725,36790,,6315,248,16528,16824,6240,,6536,122
,CANADA,200029,97355,21284,76071,6852,304236,,82322,19378,41382,41855,20063,,20532,328
,FRANCE,171588,26757,917,25840,15714,214059,,246700,6277,283956,283230,90141,,89376,328
,GERMANY,120587,230442,714,229728,24576,375605,,67078,4746,213716,215646,72228,,74157,887
,ITALY,76003,9823,403,9420,6655,92481,,15906,1093,172771,162569,52980,,42776,571
,JAPAN,125863,386833,29480,357353,11874,524570,,69410,6522,81326,84740,28060,,31465,482
,LUXEMBOURG,101810,14816,2268,12548,6730,123356,,41180,8987,34046,34003,13965,,13923,392
,NETHERLANDS,54640,19420,328,19092,9200,83260,,33847,4331,160097,161932,51234,,53069,648
,SWEDEN,22631,271,17,254,821,23723,,11604,390,48490,48176,17813,,17501,152
,SWITZERLAND,51804,28627,6926,21701,2579,83010,,21694,4450,69809,70149,24097,,24437,528
,UNITED KINGDOM,168550,420806,95064,325742,38190,627546,,174659,12824,337270,342886,108944,,114350,1449
,Total,1118887,1245833,157761,1088072,123916,2488636,,770715,69246,1459391,1462010,485765,,488122,5887
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,33505,83310,4285,79025,4085,120900,,31570,2657,12989,12885,6636,,6534,162
,AUSTRIA,10431,125,3,122,944,11500,,1729,30,7638,8698,2517,,3575,106
,CYPRUS,2958,0,0,0,23,2981,,138,152,3,4,3,,4,93
,DENMARK,11928,415,3,412,2469,14812,,7786,233,19031,19929,5655,,6550,72
,FINLAND,14657,97,0,97,1645,16399,,2808,274,18424,19339,6290,,7204,56
,GREECE,7042,104,0,104,325,7471,,415,851,4188,3712,1849,,1372,97
,IRELAND,115314,32828,2800,30028,4225,152367,,40842,3318,16474,16980,6799,,7305,161
,ISRAEL,20842,3021,157,2864,1151,25014,,3717,770,3446,3716,1798,,2065,70
,NEW ZEALAND,4314,3150,5,3145,293,7757,,1138,78,0,40,0,,40,2
,NORWAY,27487,90,4,86,711,28288,,5040,4322,14892,15112,5090,,5310,19
,PORTUGAL,3366,9,0,9,200,3575,,1145,49,8224,7682,3494,,2952,50
,SLOVAKIA,2424,461,0,461,56,2941,,130,69,216,140,179,,103,27
,SPAIN,45330,1746,55,1691,4267,51343,,12451,2181,71812,69698,26908,,24778,541
,OTHER NON G-10 DEV.,15057,3,2,1,620,15680,,904,16,2,18,2,,18,0
,Total,314655,125359,7314,118045,21014,461028,,109813,15000,177339,177953,67220,,67810,1456
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,155,480,55,425,27,662,,41,202,1,4,1,,4,0
,CZECH REPUBLIC,4244,3395,521,2874,246,7885,,1294,249,1367,1305,466,,404,2
,HUNGARY,1614,1954,110,1844,353,3921,,323,223,394,398,220,,225,74
,KOSOVO,1,0,0,0,0,1,,0,0,0,0,0,,0,0
,POLAND,6582,12300,1544,10756,1636,20518,,4689,778,772,975,395,,597,5
,ROMANIA,1397,3078,273,2805,14,4489,,70,202,438,405,312,,277,1
,RUSSIA,2382,12705,11,12694,25,15112,,70,19,105,165,89,,148,0
,TURKEY,19282,2903,709,2194,221,22406,,399,129,22275,24874,7264,,9864,401
,OTHER E. EUROPE,4657,1487,1,1486,140,6284,,263,131,254,368,237,,351,56
,Total,40314,38302,3224,35078,2662,81278,,7149,1933,25606,28494,8984,,11870,539
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,100,0,0,0,24,124,,7,4,0,0,0,,0,2
,ARGENTINA,1442,4388,1032,3356,29,5859,,841,83,2711,2745,879,,913,49
,BRAZIL,61277,59464,4453,55011,2355,123096,,6884,1042,24590,29516,8110,,13035,5099
,CHILE,9834,3402,10,3392,592,13828,,1212,295,9008,9396,2612,,3000,2392
,COLOMBIA,4516,4105,42,4063,196,8817,,525,195,12128,12640,4526,,5037,279
,COSTA RICA,255,1306,243,1063,57,1618,,83,99,4,8,4,,8,18
,DOMINICAN REPUBLIC,1800,412,54,358,31,2243,,110,140,932,984,316,,368,384
,ECUADOR,873,529,529,0,15,1417,,94,269,12,44,12,,44,224
,EL SALVADOR,364,192,192,0,0,556,,40,21,2,9,2,,9,81
,FRENCH GUIANA,0,0,0,0,0,0,,1,0,0,0,0,,0,0
,GUATEMALA,1617,373,22,351,7,1997,,105,179,22,25,2,,5,690
,HONDURAS,549,368,36,332,4,921,,27,245,0,0,0,,0,178
,MEXICO,25515,85581,6453,79128,5453,116549,,34578,1736,27299,30010,10529,,13242,936
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,4531,1868,439,1429,422,6821,,498,415,6505,7317,2053,,2865,1206
