,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2024
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,25871,360,21250,10319,36550,1293,809,36065
,CANADA,174872,50998,153792,77371,303241,12627,35598,297384
,FRANCE,154942,3607,116084,25931,184480,4497,21055,198345
,GERMANY,83330,6201,64856,229240,318771,10673,48103,351029
,ITALY,73573,382,62953,9517,83472,915,3267,85826
,JAPAN,107725,30215,111083,357393,495333,2962,20328,512696
,LUXEMBOURG,121824,2792,79730,12317,136933,27511,7202,116626
,NETHERLANDS,55968,644,39043,19110,75722,10080,8671,74060
,SWEDEN,22413,3,18926,254,22670,1808,2044,22902
,SWITZERLAND,35603,7027,36790,21708,64338,3524,19645,80431
,UNITED KINGDOM,190359,185108,210576,324161,699628,67440,43734,589356
,Total,1046480,287337,915083,1087321,2421138,143330,210456,2364720
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,32193,4781,26282,81218,118192,5980,4640,116815
,AUSTRIA,10698,667,7435,133,11498,818,538,10556
,CYPRUS,2775,0,2300,0,2775,95,280,2958
,DENMARK,10786,3,9175,410,11199,699,1842,12343
,FINLAND,13005,318,10423,102,13425,194,1842,14754
,GREECE,7076,0,6527,158,7234,100,14,7146
,IRELAND,120707,3142,83281,30165,154014,11815,5963,148142
,ISRAEL,20503,183,16684,2788,23474,375,826,23863
,NEW ZEALAND,4393,5,3414,3168,7566,386,286,7464
,NORWAY,26153,237,22673,92,26482,929,2255,27577
,PORTUGAL,3335,0,2650,31,3366,121,133,3375
,SLOVAKIA,2447,0,1903,481,2928,58,14,2885
,SPAIN,43642,63,31162,1699,45404,1959,3629,47076
,OTHER NON G-10 DEV.,16328,2,15232,2,16332,1671,398,15060
,Total,314041,9401,239141,120447,443889,25200,22660,440014
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,178,78,177,430,686,55,3,635
,CZECH REPUBLIC,4312,622,4205,2882,7816,298,122,7639
,HUNGARY,1691,227,1665,1844,3762,284,89,3568
,KOSOVO,1,0,0,0,1,0,0,1
,POLAND,6745,1584,7165,10835,19164,1013,733,18882
,ROMANIA,1569,420,1642,2881,4870,389,12,4475
,RUSSIA,2432,11,2265,12694,15137,50,1,15087
,TURKEY,18400,7740,14169,2226,28366,2684,3532,22185
,OTHER E. EUROPE,5323,1,4370,1547,6871,865,143,6144
,Total,40651,10683,35658,35339,86673,5638,4635,78616
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,114,0,113,0,114,38,24,100
,ARGENTINA,2050,15495,2330,3634,21179,1195,295,5830
,BRAZIL,53615,7646,46930,55743,117004,4038,10638,120741
,CHILE,9878,12843,8299,3395,26116,661,615,13236
,COLOMBIA,5155,2899,2827,4352,12406,1404,475,8621
,COSTA RICA,329,677,492,1064,2070,109,33,1561
,DOMINICAN REPUBLIC,2194,5476,1823,379,8049,525,113,2212
,ECUADOR,1353,2947,1543,0,4300,645,116,1402
,EL SALVADOR,385,204,489,0,589,93,60,556
,FRENCH GUIANA,1,0,1,0,1,1,0,0
,GUATEMALA,1607,21,1508,360,1988,286,292,1990
,HONDURAS,712,73,689,346,1131,222,41,917
,MEXICO,27490,19468,25970,80709,127667,8822,4130,111096
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,5105,4707,3968,1594,11406,1427,637,6399
,URUGUAY,1345,105,1221,514,1964,328,181,1818
,VENEZUELA,1236,28675,962,0,29911,300,81,1019
,OTHER LAT. AM. & CAR.,54578,1246,49724,827,56651,15099,2429,43589
,Total,167147,102482,148889,152917,422546,35193,20160,321087
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,106453,2869,102602,39902,149224,4092,5410,150541
,INDIA,33612,2790,30336,68122,104524,4772,3501,103252
,INDONESIA,11464,3384,12823,5814,20662,1099,619,20179
,"KOREA, SOUTH",59811,3074,55655,39268,102153,1558,10491,111088
,KUWAIT,19966,0,19418,222,20188,168,99,20119
,MALAYSIA,3894,2837,5961,13307,20038,937,468,19569
,PAKISTAN,289,27,238,1190,1506,138,1,1368
,PHILIPPINES,4284,1794,5719,5005,11083,575,314,10825
,QATAR,9659,0,6997,27,9686,102,827,10413
,SAUDI ARABIA,31949,307,26057,1333,33589,2926,1607,32265
,TAIWAN,61262,3916,62608,11759,76937,900,2176,77941
,THAILAND,2944,160,2903,9822,12926,530,225,12620
,UNITED ARAB EMIRATES,27355,1638,22135,6856,35849,1957,1356,35245
,WEST BANK AND GAZA,3,0,0,0,3,0,0,3
,OTHER ASIA AND PACIFIC,11292,1417,9348,4658,17367,4186,550,13730
,Total,384237,24213,362800,207285,615735,23940,27644,619158
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,28,85,110,1163,1276,193,0,1082
,EGYPT,13076,178,12510,2288,15542,820,60,14783
,GHANA,213,0,184,0,213,43,1,171
,KENYA,605,133,634,713,1451,237,64,1278
,MOROCCO,385,13,349,804,1202,40,0,1162
,NIGERIA,10702,56,9704,1059,11817,202,97,11712
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,5701,678,4100,10341,16720,680,746,16320
,SOUTH SUDAN,2,0,2,0,2,2,0,0
,OTHER AFRICA,5932,489,4724,2284,8705,2739,338,6305
,Total,36644,1632,32317,18652,56928,4956,1306,52813
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,8066,159,7480,105,8330,3956,785,5155
,BAHRAIN,6941,2,5010,116,7059,2068,61,5050
,BERMUDA,32816,55,21331,13,32884,5969,4272,31184
,CAYMAN ISLANDS,706661,769,506664,4,707434,73196,17058,651283
,HONG KONG,30897,14481,39745,45889,91267,9968,3529,84584
,LEBANON,219,13,117,48,280,11,2,271
,MAURITIUS,2747,108,2079,125,2980,726,36,2289
,PANAMA,6373,18619,4965,26,25018,2513,931,5509
,SINGAPORE,74309,17289,84102,42895,134493,8781,3212,128882
,OTHER BANKING CENTERS,41953,435,21823,293,42681,2903,3973,43748
,Total,910982,51930,693316,89514,1052426,110091,33859,957955
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
,AFRICAN,2315,0,950,0,2315,71,357,2600
,ASIAN,8558,0,3999,0,8558,0,313,8870
,CARIBBEAN,0,0,0,0,0,0,0,0
,EUROPEAN,42551,0,14577,0,42551,31,401,42922
,INTERNATIONAL,19685,0,7727,0,19685,47,3410,23047
,LATIN AMERICAN,8842,0,2787,0,8842,61,103,8884
,MIDDLE EASTERN,6,0,6,0,6,0,0,6
,Total,81957,0,30046,0,81957,210,4584,86329
,,,,,,,,,
,UNITED STATES,330558,59001,289805,17576312,17965871,812752,836027,17994144
,,,,,,,,,
,Grand Total,3312697,546679,2747055,19287787,23147163,1161310,1161331,22914836
