,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2024
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,11030,1125,64,12219,11254,335,8063,9238,354,17655,7743,0,3544,143,52,3739,,3555,22
,CANADA,67089,15827,2554,85470,45844,5742,13865,26596,702,41163,13659,772,83935,17058,2149,103142,,85032,3973
,FRANCE,67451,605,4503,72559,52786,27,29567,13515,5008,48090,26551,0,51339,6787,3811,61937,,53550,222
,GERMANY,52840,8324,2347,63511,25027,499,26598,205656,6795,239049,18140,3,12154,10935,12834,35923,,15686,475
,ITALY,19476,475,427,20378,18618,2,33518,500,4853,38871,32565,0,12650,4177,1037,17864,,12993,68
,JAPAN,54465,34914,837,90216,42352,27548,26539,165480,4886,196905,26481,0,21710,131567,5616,158893,,19678,664
,LUXEMBOURG,2806,442,8,3256,5468,136,949,10221,28,11198,610,103,77381,3895,5690,86966,,80526,2444
