,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2024
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,2714,31,2745,41,136,177,255,3177,3266,53,3319,0,,3,3
,CANADA,30986,4154,35140,31384,6490,37874,1446,74460,26509,3828,30337,34841,,5670,40511
,FRANCE,22934,297,23231,4739,1111,5850,2392,31473,21768,287,22055,2826,,532,3358
,GERMANY,28606,389,28995,4017,1510,5527,2600,37122,23972,505,24477,4110,,1114,5224
,ITALY,10075,284,10359,2851,1820,4671,338,15368,9127,270,9397,198,,114,312
,JAPAN,22752,397,23149,51242,3630,54872,535,78556,18913,301,19214,2003,,0,2003
,LUXEMBOURG,20579,95,20674,245,13,258,1005,21937,35128,92,35220,106,,3,109
,NETHERLANDS,24032,186,24218,505,298,803,1794,26815,26151,209,26360,493,,2,495
,SWEDEN,7918,477,8395,49,78,127,406,8928,8003,473,8476,2,,0,2
,SWITZERLAND,17239,575,17814,473,1294,1767,1534,21115,16425,665,17090,431,,826,1257
,UNITED KINGDOM,32759,4809,37568,47492,14616,62108,6800,106476,29650,4742,34392,91287,,13557,104844
,Total,220594,11694,232288,143038,30996,174034,19105,425427,218912,11425,230337,136297,,21821,158118
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,8572,330,8902,13934,2374,16308,714,25924,6889,336,7225,1459,,0,1459
,AUSTRIA,1622,24,1646,44,63,107,77,1830,2084,74,2158,664,,0,664
,CYPRUS,909,114,1023,0,0,0,5,1028,727,85,812,0,,0,0
,DENMARK,5818,24,5842,14,0,14,535,6391,5409,19,5428,0,,0,0
,FINLAND,2473,9,2482,16,53,69,110,2661,2241,10,2251,0,,318,318
,GREECE,1722,82,1804,31,0,31,32,1867,1739,82,1821,0,,0,0
,IRELAND,21827,703,22530,2116,0,2116,938,25584,19860,718,20578,955,,0,955
,ISRAEL,4613,311,4924,271,0,271,213,5408,4138,374,4512,102,,60,162
,NEW ZEALAND,1134,55,1189,443,147,590,113,1892,1008,105,1113,3,,0,3
,NORWAY,3498,127,3625,13,0,13,182,3820,3565,127,3692,0,,232,232
,PORTUGAL,922,118,1040,0,0,0,179,1219,912,122,1034,0,,0,0
,SLOVAKIA,96,2,98,70,0,70,4,172,121,1,122,0,,0,0
,SPAIN,10685,527,11212,660,164,824,969,13005,10164,478,10642,60,,0,60
,OTHER NON G-10 DEV.,1325,250,1575,0,0,0,59,1634,1176,176,1352,0,,0,0
,Total,65216,2676,67892,17612,2801,20413,4130,92435,60033,2707,62740,3243,,610,3853
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,20,12,32,119,0,119,26,177,37,12,49,47,,0,47
,CZECH REPUBLIC,384,20,404,530,0,530,86,1020,396,17,413,439,,0,439
,HUNGARY,369,6,375,154,0,154,61,590,455,7,462,218,,0,218
,KOSOVO,0,1,1,0,0,0,0,1,0,1,1,0,,0,0
,POLAND,1482,26,1508,2221,1629,3850,1310,6668,1740,23,1763,605,,8,613
,ROMANIA,87,19,106,307,0,307,6,419,224,17,241,318,,20,338
,RUSSIA,155,55,210,5856,14,5870,25,6105,156,54,210,11,,0,11
,TURKEY,2870,203,3073,606,0,606,66,3745,4112,180,4292,1926,,5494,7420
,OTHER E. EUROPE,404,38,442,64,0,64,16,522,531,38,569,0,,0,0
,Total,5771,380,6151,9857,1643,11500,1596,19247,7651,349,8000,3564,,5522,9086
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,18,1,19,0,0,0,6,25,13,26,39,0,,0,0
,ARGENTINA,547,364,911,890,171,1061,29,2001,1206,355,1561,10408,,4335,14743
,BRAZIL,18057,1823,19880,10567,1,10568,1152,31600,17368,1679,19047,4258,,2152,6410
,CHILE,2755,200,2955,42,0,42,378,3375,2816,266,3082,12202,,640,12842
,COLOMBIA,1937,463,2400,784,0,784,117,3301,2307,249,2556,944,,1955,2899
,COSTA RICA,96,64,160,22,0,22,36,218,166,69,235,4,,432,436
,DOMINICAN REPUBLIC,327,96,423,149,0,149,9,581,507,194,701,3348,,2092,5440
,ECUADOR,325,255,580,335,0,335,2,917,758,295,1053,1370,,1383,2753
,EL SALVADOR,117,46,163,28,0,28,0,191,111,71,182,40,,0,40
,FRENCH GUIANA,0,0,0,0,0,0,0,0,1,0,1,0,,0,0
