,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2024
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,1982,10506,336,10170,3,12491,,555,1,1,6,1,,6,4
,CANADA,69110,20574,3259,17315,1044,90728,,30767,7090,139,2057,100,,2015,30
,FRANCE,30303,1505,0,1505,1194,33002,,4053,649,10,34,10,,32,215
,GERMANY,46558,18232,6,18226,1085,65875,,8462,158,10,44,10,,44,189
,ITALY,985,2283,0,2283,6,3274,,2638,165,3,7,3,,7,4
,JAPAN,23110,12396,12,12384,182,35688,,2572,183,47,634,14,,591,100
,LUXEMBOURG,8053,9236,141,9095,146,17435,,4244,139,1,1,1,,1,0
,NETHERLANDS,5548,2458,7,2451,112,8118,,2503,86,5,57,5,,57,51
,SWEDEN,2883,143,14,129,3,3029,,1900,175,2,4,2,,4,12
,SWITZERLAND,16370,373,1,372,80,16823,,1041,139,2,50,2,,50,43
,UNITED KINGDOM,78043,61285,8000,53285,3153,142481,,66052,1814,12,120,12,,95,323
,Total,282945,138991,11776,127215,7008,428944,,124787,10599,232,3014,160,,2902,971
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,6871,9487,88,9399,103,16461,,7646,261,0,8,0,,8,34
,AUSTRIA,1787,108,0,108,4,1899,,40,3,0,1,0,,1,77
,CYPRUS,47,0,0,0,3,50,,0,7,0,0,0,,0,7
,DENMARK,773,12,0,12,2,787,,24,3,1,1,1,,1,0
,FINLAND,1867,92,0,92,0,1959,,301,1,1,1,1,,1,19
,GREECE,86,0,0,0,0,86,,10,0,0,0,0,,0,0
,IRELAND,20136,4959,295,4664,122,25217,,5804,49,0,14,0,,14,11
,ISRAEL,1274,121,1,120,5,1400,,466,36,0,4,0,,4,0
,NEW ZEALAND,500,455,4,451,10,965,,536,7,0,0,0,,0,2
,NORWAY,3506,30,4,26,22,3558,,717,15,1,1,1,,1,0
,PORTUGAL,241,0,0,0,0,241,,17,2,0,0,0,,0,1
,SLOVAKIA,505,0,0,0,0,505,,11,0,0,0,0,,0,0
,SPAIN,2767,751,12,739,607,4125,,474,324,2,25,2,,7,34
,OTHER NON G-10 DEV.,611,0,0,0,17,628,,56,3,0,0,0,,0,0
,Total,40971,16015,404,15611,895,57881,,16102,711,5,55,5,,37,185
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,10,0,0,0,0,10,,21,0,0,0,0,,0,0
,CZECH REPUBLIC,42,0,0,0,0,42,,26,0,0,0,0,,0,0
,HUNGARY,111,5,0,5,12,128,,43,0,0,0,0,,0,0
,KOSOVO,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,POLAND,379,91,2,89,5,475,,45,0,0,3,0,,3,0
,ROMANIA,34,0,0,0,0,34,,22,0,0,0,0,,0,0
,RUSSIA,1257,16,0,16,0,1273,,0,0,0,0,0,,0,0
,TURKEY,255,0,0,0,0,255,,45,0,7,7,7,,7,4
,OTHER E. EUROPE,297,0,0,0,0,297,,88,5,0,0,0,,0,0
,Total,2385,112,2,110,17,2514,,290,5,7,10,7,,10,4
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,99,0,0,0,3,102,,0,3,0,0,0,,0,2
,ARGENTINA,664,742,359,383,2,1408,,605,57,0,0,0,,0,5
,BRAZIL,6329,910,0,910,33,7272,,1024,41,0,22,0,,22,1541
,CHILE,1978,15,3,12,88,2081,,154,120,6,11,6,,11,592
,COLOMBIA,1028,1,0,1,1,1030,,39,14,0,2,0,,2,25
,COSTA RICA,96,1,0,1,0,97,,13,8,0,0,0,,0,0
,DOMINICAN REPUBLIC,462,0,0,0,0,462,,3,5,0,0,0,,0,34
,ECUADOR,405,0,0,0,0,405,,11,33,0,0,0,,0,43
,EL SALVADOR,63,0,0,0,0,63,,2,0,0,0,0,,0,12
,FRENCH GUIANA,0,0,0,0,0,0,,1,0,0,0,0,,0,0
,GUATEMALA,500,2,0,2,0,502,,2,0,0,0,0,,0,107
,HONDURAS,130,0,0,0,0,130,,1,3,0,0,0,,0,28
,MEXICO,4173,5094,135,4959,141,9408,,5692,200,48,76,38,,66,155
,MONTSERRAT,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,PERU,602,0,0,0,2,604,,34,6,0,3,0,,3,177
,URUGUAY,494,0,0,0,12,506,,28,31,0,0,0,,0,3
,VENEZUELA,430,0,0,0,0,430,,11,3,0,0,0,,0,3
,OTHER LAT. AM. & CAR.,3637,335,335,0,42,4014,,856,188,0,2,0,,0,199
,Total,21090,7100,832,6268,324,28514,,8476,712,54,116,44,,104,2926
,,,,,,,,,,,,,,,,
,Asia and Pacific,,,,,,,,,,,,,,,
,CHINA-MAINLAND,4263,1753,192,1561,47,6063,,451,296,0,5,0,,5,1212
,INDIA,581,2224,0,2224,0,2805,,2866,75,0,0,0,,0,174
,INDONESIA,350,4,2,2,0,354,,9,5,0,3,0,,3,125
,"KOREA, SOUTH",3326,167,1,166,30,3523,,186,169,4,7,4,,7,2021
,KUWAIT,2153,0,0,0,4,2157,,0,0,0,0,0,,0,175
,MALAYSIA,642,52,0,52,1,695,,3,6,7,7,7,,7,240
,PAKISTAN,2,0,0,0,0,2,,0,0,0,0,0,,0,0
,PHILIPPINES,143,138,31,107,0,281,,13,0,12,20,10,,18,31
,QATAR,949,0,0,0,19,968,,7,3,10,10,10,,10,150
,SAUDI ARABIA,3650,153,1,152,0,3803,,233,34,6,31,6,,27,423
,TAIWAN,2325,316,0,316,41,2682,,448,74,0,0,0,,0,59
,THAILAND,100,118,2,116,0,218,,313,5,0,0,0,,0,22
,UNITED ARAB EMIRATES,1858,10,0,10,47,1915,,322,19,5,14,5,,14,357
,WEST BANK AND GAZA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,OTHER ASIA AND PACIFIC,1054,8,0,8,8,1070,,142,46,0,0,0,,0,69
,Total,21396,4943,229,4714,197,26536,,4993,732,44,97,42,,91,5058
,,,,,,,,,,,,,,,,
,Africa,,,,,,,,,,,,,,,
,ALGERIA,1,0,0,0,0,1,,0,0,0,0,0,,0,0
,EGYPT,82,0,0,0,0,82,,0,1,0,0,0,,0,27
,GHANA,5,0,0,0,0,5,,0,0,0,0,0,,0,0
,KENYA,8,0,0,0,0,8,,0,0,0,0,0,,0,0
,MOROCCO,36,0,0,0,0,36,,0,0,0,0,0,,0,0
,NIGERIA,16,0,0,0,0,16,,0,0,0,0,0,,0,0
,SAINT HELENA,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,SOUTH AFRICA,271,0,0,0,38,309,,104,0,1,1,1,,1,0
,SOUTH SUDAN,0,0,0,0,0,0,,0,0,0,0,0,,0,0
,OTHER AFRICA,272,0,0,0,7,279,,190,6,2,11,0,,9,0
,Total,691,0,0,0,45,736,,294,7,3,12,1,,10,27
,,,,,,,,,,,,,,,,
,Banking Centers,,,,,,,,,,,,,,,
