,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2024
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,1941,336,1617,10171,12448,263,303,12488
,CANADA,52525,32615,35271,17281,102421,4276,20371,89684
,FRANCE,17167,2693,12967,1499,21359,857,13997,31808
,GERMANY,17152,5175,9925,18240,40567,2718,32111,64790
,ITALY,314,0,148,2294,2608,47,707,3268
,JAPAN,16687,503,13412,11882,29072,283,6717,35506
,LUXEMBOURG,9164,195,5232,9080,18439,2527,1375,17289
,NETHERLANDS,5518,258,1168,2449,8225,1294,1328,8006
,SWEDEN,2754,0,1549,128,2882,337,482,3026
,SWITZERLAND,3031,1,2040,371,3403,824,14187,16743
,UNITED KINGDOM,106484,94183,94522,53575,254242,44028,15619,139328
,Total,232737,135959,177851,126970,495666,57454,107197,421936
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,6661,119,3750,9380,16160,348,586,16358
,AUSTRIA,1749,664,428,118,2531,38,66,1895
,CYPRUS,18,0,2,0,18,0,29,47
,DENMARK,849,0,605,8,857,361,291,785
,FINLAND,1681,318,219,97,2096,65,245,1959
,GREECE,105,0,30,0,105,24,5,86
,IRELAND,22822,304,19383,4643,27769,4009,1344,25095
,ISRAEL,1077,61,606,4,1142,51,369,1395
,NEW ZEALAND,480,4,280,453,937,135,154,955
,NORWAY,3026,237,1719,31,3294,666,1140,3536
,PORTUGAL,264,0,104,0,264,22,0,241
,SLOVAKIA,508,0,7,0,508,6,3,505
,SPAIN,2461,12,1154,738,3211,157,462,3518
,OTHER NON G-10 DEV.,596,0,117,0,596,28,43,611
,Total,42297,1719,28404,15472,59488,5910,4737,56986
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,21,0,13,0,21,11,0,10
,CZECH REPUBLIC,57,0,53,0,57,28,13,42
,HUNGARY,128,0,38,5,133,55,38,116
,KOSOVO,0,0,0,0,0,0,0,0
,POLAND,423,2,386,126,551,139,58,470
,ROMANIA,97,20,71,0,117,65,2,34
,RUSSIA,1257,0,1251,16,1273,1,1,1273
,TURKEY,288,7027,101,0,7315,134,101,255
,OTHER E. EUROPE,357,0,316,0,357,62,2,297
,Total,2628,7049,2229,147,9824,495,215,2497
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,112,0,112,0,112,37,24,99
,ARGENTINA,757,14806,611,382,15945,343,249,1406
,BRAZIL,5271,2864,3262,690,8825,585,1862,7239
,CHILE,2031,12836,1395,13,14880,166,112,1993
,COLOMBIA,972,2857,636,0,3829,189,248,1029
,COSTA RICA,120,432,80,0,552,38,16,97
,DOMINICAN REPUBLIC,557,5421,282,0,5978,139,47,462
,ECUADOR,449,2362,249,0,2811,118,82,405
,EL SALVADOR,83,0,68,0,83,29,9,63
,FRENCH GUIANA,1,0,1,0,1,1,0,0
,GUATEMALA,561,0,515,0,561,90,33,502
,HONDURAS,232,34,204,0,266,114,14,130
,MEXICO,4640,11920,2635,4952,21512,1618,1256,9267
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,757,4216,389,0,4973,238,85,602
,URUGUAY,533,0,391,0,533,132,93,494
,VENEZUELA,537,28675,335,0,29212,185,78,430
,OTHER LAT. AM. & CAR.,10664,738,9353,0,11402,8162,1123,3972
,Total,28277,87161,20518,6037,121475,12184,5331,28190
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,3520,242,1015,1767,5529,412,902,6016
,INDIA,1341,10,1140,2319,3670,1169,309,2805
,INDONESIA,364,2,150,3,369,129,114,354
,"KOREA, SOUTH",3122,3,2479,194,3319,203,378,3493
,KUWAIT,2199,0,1978,0,2199,47,1,2153
,MALAYSIA,552,0,468,53,605,4,93,694
,PAKISTAN,4,0,3,0,4,3,1,2
,PHILIPPINES,168,51,186,131,350,122,52,281
,QATAR,932,0,645,0,932,5,22,949
,SAUDI ARABIA,3721,1,2833,58,3780,11,34,3803
,TAIWAN,2040,275,1220,295,2610,19,325,2641
,THAILAND,146,2,84,116,264,56,10,218
,UNITED ARAB EMIRATES,1880,4,1165,2,1886,209,191,1868
,WEST BANK AND GAZA,0,0,0,0,0,0,0,0
,OTHER ASIA AND PACIFIC,1627,0,423,8,1635,691,117,1062
,Total,21616,590,13789,4946,27152,3080,2549,26339
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,1,0,0,0,1,0,0,1
,EGYPT,81,0,51,0,81,3,4,82
,GHANA,4,0,4,0,4,0,1,5
,KENYA,10,0,10,0,10,2,0,8
,MOROCCO,41,0,19,0,41,5,0,36
,NIGERIA,15,0,11,0,15,2,3,16
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,314,469,279,0,783,88,44,271
,SOUTH SUDAN,0,0,0,0,0,0,0,0
,OTHER AFRICA,362,0,171,0,362,121,31,272
,Total,828,469,545,0,1297,221,83,691
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,1284,0,995,0,1284,449,94,927
,BAHRAIN,378,0,142,0,378,142,0,236
,BERMUDA,8269,48,4741,13,8330,689,517,8155
,CAYMAN ISLANDS,80165,115,48023,0,80280,17089,4121,67301
,HONG KONG,2688,1167,2950,1623,5478,854,687,5310
,LEBANON,70,0,3,0,70,11,2,61
,MAURITIUS,47,0,9,0,47,3,21,65
,PANAMA,1341,17924,967,0,19265,530,135,946
,SINGAPORE,10129,330,7288,1569,12028,839,322,11472
,OTHER BANKING CENTERS,4267,153,1312,22,4442,556,890,4775
,Total,108638,19737,66430,3227,131602,21162,6789,99248
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
,AFRICAN,1426,0,309,0,1426,0,0,1426
,ASIAN,4063,0,1267,0,4063,0,0,4063
,CARIBBEAN,0,0,0,0,0,0,0,0
,EUROPEAN,12212,0,2203,0,12212,0,0,12212
,INTERNATIONAL,7216,0,1977,0,7216,0,0,7216
,LATIN AMERICAN,4207,0,887,0,4207,0,0,4207
,MIDDLE EASTERN,0,0,0,0,0,0,0,0
,Total,29124,0,6643,0,29124,0,0,29124
,,,,,,,,,
,UNITED STATES,70958,16859,33263,7494600,7582417,193981,167600,7560718
,,,,,,,,,
,Grand Total,537103,269543,349672,7651399,8458045,294487,294501,8225729
