,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2024
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,2594,3120,5714,1350,18069,,1727,18,0,3,0,0,,3
,CANADA,1792,5175,6967,7741,-4864,,13398,1208,137,14537,988,748,,14370
,FRANCE,1,540,541,1236,1006,,4131,254,65,8906,0,11,,8896
,GERMANY,507,4858,5365,4230,14283,,7775,172,35,27311,0,0,,27311
,ITALY,1,2124,2125,2449,164,,197,6,3,0,0,0,,0
,JAPAN,77,5658,5735,6868,6519,,4496,1263,275,7660,0,9,,7651
,LUXEMBOURG,12290,8400,20690,18635,-7639,,297,160,3,10,0,1,,9
,NETHERLANDS,1170,3691,4861,7174,-1993,,3262,300,38,31,0,15,,16
,SWEDEN,0,67,67,1096,73,,920,9,1,19,0,0,,19
,SWITZERLAND,3,29,32,644,303,,854,288,82,74,0,0,,74
,UNITED KINGDOM,68876,40350,109226,43625,-25445,,9478,1067,110,28339,333,602,,28261
,Total,87311,74012,161323,95048,476,,46535,4745,749,86890,1321,1386,,86610
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,5629,6833,12462,12459,835,,3646,186,26,1021,0,996,,1005
,AUSTRIA,0,63,63,93,52,,1581,11,0,0,0,0,,0
,CYPRUS,0,0,0,51,0,,0,1,0,0,0,0,,0
,DENMARK,0,1,1,2008,9,,329,95,0,0,0,0,,0
,FINLAND,0,11,11,1274,64,,1554,19,2,8,0,0,,8
,GREECE,0,0,0,65,1,,0,0,0,0,0,0,,0
,IRELAND,7920,8078,15998,32241,-9976,,441,662,3,13731,0,393,,13449
,ISRAEL,0,9,9,536,46,,282,59,3,0,0,0,,0
,NEW ZEALAND,1,47,48,749,400,,92,3,0,4,0,0,,4
,NORWAY,0,44,44,1272,26,,1421,252,8,62,0,0,,62
,PORTUGAL,0,0,0,115,0,,12,0,0,0,0,0,,0
,SLOVAKIA,0,0,0,0,0,,495,0,0,0,0,0,,0
,SPAIN,200,572,772,1079,613,,1352,292,19,2,0,2,,0
,OTHER NON G-10 DEV.,0,0,0,159,17,,0,0,2,0,0,0,,0
,Total,13750,15658,29408,52101,-7913,,11205,1580,63,14828,0,1391,,14528
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,0,0,0,24,0,,1,0,0,0,0,0,,0
,CZECH REPUBLIC,0,0,0,8,-1,,0,0,0,0,0,0,,0
,HUNGARY,0,0,0,37,5,,49,0,0,0,0,0,,0
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,27,134,161,167,16,,32,0,0,0,0,0,,0
,ROMANIA,0,0,0,3,0,,24,0,0,0,0,0,,0
,RUSSIA,0,3,3,85,42,,0,0,1,0,0,0,,0
,TURKEY,0,0,0,81,0,,27,0,0,0,0,0,,0
,OTHER E. EUROPE,0,1,1,131,0,,34,0,0,17,0,0,,17
,Total,27,138,165,536,62,,167,0,1,17,0,0,,17
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,4,0,4,94,0,,0,0,0,0,0,0,,0
,ARGENTINA,240,394,634,626,745,,3,5,2,17,2,16,,0
,BRAZIL,0,595,595,618,71,,300,752,18,99,0,99,,0
,CHILE,2,4,6,7,146,,382,88,5,6,0,6,,0
,COLOMBIA,0,0,0,0,0,,80,9,1,3,0,0,,3
