,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2024
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,1069,1064,0,2133,1193,335,399,9208,3,9610,163,0,235,100,0,335,,236,1
,CANADA,39979,5569,718,46266,24740,1624,1627,1387,16,3030,1589,756,14118,1187,75,15380,,13813,70
,FRANCE,25126,37,865,26028,12487,0,2405,222,2,2629,1981,0,1342,5,327,1674,,1531,0
,GERMANY,35985,103,1050,37138,9236,4,5970,16066,19,22055,4023,0,750,8,0,758,,335,1
,ITALY,742,149,0,891,122,0,83,211,6,300,83,0,25,6,0,31,,24,0
,JAPAN,11830,586,119,12535,5876,503,4039,5396,35,9470,4039,0,5823,184,28,6035,,5743,0
,LUXEMBOURG,329,166,0,495,947,83,96,8835,0,8931,96,0,4934,184,73,5191,,4528,77
,NETHERLANDS,1221,88,43,1352,1260,4,1472,1795,0,3267,1074,1,422,136,3,561,,449,2
,SWEDEN,940,20,3,963,518,0,1114,1,0,1115,1248,0,134,0,0,134,,136,0
,SWITZERLAND,10967,49,70,11086,988,0,1277,24,0,1301,3,0,2556,300,0,2856,,485,1
,UNITED KINGDOM,45558,6018,1646,53222,75645,7032,1606,27709,7,29322,631,4,19930,12046,1300,33276,,19791,426
,Total,173746,13849,4514,192109,133012,9585,20088,70854,88,91030,14930,761,50269,14156,1806,66231,,47071,578
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,4197,1328,67,5592,4277,0,247,635,0,882,247,0,471,155,18,644,,459,91
,AUSTRIA,495,0,0,495,498,0,900,1,0,901,900,0,226,1,4,231,,216,0
