,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2024
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,270,9,279,39,95,134,0,413,329,20,349,0,,0,0
,CANADA,10097,3289,13386,6221,6210,12431,234,26051,9231,3152,12383,24517,,5648,30165
,FRANCE,1334,96,1430,535,706,1241,0,2671,1080,88,1168,2167,,526,2693
,GERMANY,3734,119,3853,871,1184,2055,16,5924,3444,114,3558,4070,,1100,5170
,ITALY,100,35,135,756,1161,1917,0,2052,47,38,85,0,,0,0
,JAPAN,1273,145,1418,2600,3630,6230,0,7648,875,154,1029,0,,0,0
,LUXEMBOURG,2608,86,2694,51,0,51,74,2819,3510,83,3593,35,,0,35
,NETHERLANDS,2423,10,2433,167,272,439,66,2938,2724,11,2735,251,,0,251
,SWEDEN,274,421,695,44,78,122,0,817,438,414,852,0,,0,0
,SWITZERLAND,1471,99,1570,0,0,0,10,1580,1396,159,1555,0,,0,0
,UNITED KINGDOM,9824,1125,10949,4520,10992,15512,199,26660,9284,1133,10417,74275,,12446,86721
,Total,33408,5434,38842,15804,24328,40132,599,79573,32358,5366,37724,105315,,19720,125035
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,1853,103,1956,5224,2145,7369,18,9343,1577,101,1678,28,,0,28
,AUSTRIA,150,16,166,43,63,106,0,272,114,21,135,664,,0,664
,CYPRUS,30,17,47,0,0,0,3,50,1,17,18,0,,0,0
,DENMARK,181,7,188,8,0,8,0,196,188,3,191,0,,0,0
,FINLAND,82,8,90,16,53,69,0,159,67,5,72,0,,318,318
,GREECE,60,21,81,0,0,0,0,81,81,21,102,0,,0,0
,IRELAND,3653,35,3688,45,0,45,40,3773,3477,30,3507,23,,0,23
,ISRAEL,352,104,456,117,0,117,0,573,215,119,334,0,,60,60
,NEW ZEALAND,243,35,278,255,147,402,0,680,178,85,263,2,,0,2
,NORWAY,142,115,257,13,0,13,0,270,179,115,294,0,,232,232
,PORTUGAL,44,49,93,0,0,0,0,93,55,53,108,0,,0,0
,SLOVAKIA,1,2,3,0,0,0,0,3,6,1,7,0,,0,0
,SPAIN,769,84,853,246,164,410,2,1265,687,70,757,12,,0,12
,OTHER NON G-10 DEV.,463,57,520,0,0,0,13,533,462,59,521,0,,0,0
,Total,8023,653,8676,5967,2572,8539,76,17291,7287,700,7987,729,,610,1339
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,1,1,2,0,0,0,0,2,9,1,10,0,,0,0
