,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2024
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,23400,177,24,153,722,24299,,5760,247,16527,16818,6239,,6530,118
,CANADA,130919,76781,18025,58756,5808,213508,,51555,12288,41243,39798,19963,,18517,298
,FRANCE,141285,25252,917,24335,14520,181057,,242647,5628,283946,283196,90131,,89344,113
,GERMANY,74029,212210,708,211502,23491,309730,,58616,4588,213706,215602,72218,,74113,698
,ITALY,75018,7540,403,7137,6649,89207,,13268,928,172768,162562,52977,,42769,567
,JAPAN,102753,374437,29468,344969,11692,488882,,66838,6339,81279,84106,28046,,30874,382
,LUXEMBOURG,93757,5580,2127,3453,6584,105921,,36936,8848,34045,34002,13964,,13922,392
,NETHERLANDS,49092,16962,321,16641,9088,75142,,31344,4245,160092,161875,51229,,53012,597
,SWEDEN,19748,128,3,125,818,20694,,9704,215,48488,48172,17811,,17497,140
,SWITZERLAND,35434,28254,6925,21329,2499,66187,,20653,4311,69807,70099,24095,,24387,485
,UNITED KINGDOM,90507,359521,87064,272457,35037,485065,,108607,11010,337258,342766,108932,,114255,1126
,Total,835942,1106842,145985,960857,116908,2059692,,645928,58647,1459159,1458996,485605,,485220,4916
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,26634,73823,4197,69626,3982,104439,,23924,2396,12989,12877,6636,,6526,128
,AUSTRIA,8644,17,3,14,940,9601,,1689,27,7638,8697,2517,,3574,29
,CYPRUS,2911,0,0,0,20,2931,,138,145,3,4,3,,4,86
,DENMARK,11155,403,3,400,2467,14025,,7762,230,19030,19928,5654,,6549,72
,FINLAND,12790,5,0,5,1645,14440,,2507,273,18423,19338,6289,,7203,37
,GREECE,6956,104,0,104,325,7385,,405,851,4188,3712,1849,,1372,97
,IRELAND,95178,27869,2505,25364,4103,127150,,35038,3269,16474,16966,6799,,7291,150
,ISRAEL,19568,2900,156,2744,1146,23614,,3251,734,3446,3712,1798,,2061,70
,NEW ZEALAND,3814,2695,1,2694,283,6792,,602,71,0,40,0,,40,0
,NORWAY,23981,60,0,60,689,24730,,4323,4307,14891,15111,5089,,5309,19
,PORTUGAL,3125,9,0,9,200,3334,,1128,47,8224,7682,3494,,2952,49
,SLOVAKIA,1919,461,0,461,56,2436,,119,69,216,140,179,,103,27
,SPAIN,42563,995,43,952,3660,47218,,11977,1857,71810,69673,26906,,24771,507
,OTHER NON G-10 DEV.,14446,3,2,1,603,15052,,848,13,2,18,2,,18,0
,Total,273684,109344,6910,102434,20119,403147,,93711,14289,177334,177898,67215,,67773,1271
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,145,480,55,425,27,652,,20,202,1,4,1,,4,0
,CZECH REPUBLIC,4202,3395,521,2874,246,7843,,1268,249,1367,1305,466,,404,2
,HUNGARY,1503,1949,110,1839,341,3793,,280,223,394,398,220,,225,74
,KOSOVO,1,0,0,0,0,1,,0,0,0,0,0,,0,0
,POLAND,6203,12209,1542,10667,1631,20043,,4644,778,772,972,395,,594,5
,ROMANIA,1363,3078,273,2805,14,4455,,48,202,438,405,312,,277,1
,RUSSIA,1125,12689,11,12678,25,13839,,70,19,105,165,89,,148,0
,TURKEY,19027,2903,709,2194,221,22151,,354,129,22268,24867,7257,,9857,397
,OTHER E. EUROPE,4360,1487,1,1486,140,5987,,175,126,254,368,237,,351,56
,Total,37929,38190,3222,34968,2645,78764,,6859,1928,25599,28484,8977,,11860,535
,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,
,ANGUILLA,1,0,0,0,21,22,,7,1,0,0,0,,0,0
