,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2024
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,23930,24,19633,148,24102,1030,506,23577
,CANADA,122347,18383,118521,60090,200820,8351,15227,207700
,FRANCE,137775,914,103117,24432,163121,3640,7058,166537
,GERMANY,66178,1026,54931,211000,278204,7955,15992,286239
,ITALY,73259,382,62805,7223,80864,868,2560,82558
,JAPAN,91038,29712,97671,345511,466261,2679,13611,477190
,LUXEMBOURG,112660,2597,74498,3237,118494,24984,5827,99337
,NETHERLANDS,50450,386,37875,16661,67497,8786,7343,66054
,SWEDEN,19659,3,17377,126,19788,1471,1562,19876
,SWITZERLAND,32572,7026,34750,21337,60935,2700,5458,63688
,UNITED KINGDOM,83875,90925,116054,270586,445386,23412,28115,450028
,Total,813743,151378,737232,960351,1925472,85876,103259,1942784
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,25532,4662,22532,71838,102032,5632,4054,100457
,AUSTRIA,8949,3,7007,15,8967,780,472,8661
,CYPRUS,2757,0,2298,0,2757,95,251,2911
,DENMARK,9937,3,8570,402,10342,338,1551,11558
,FINLAND,11324,0,10204,5,11329,129,1597,12795
,GREECE,6971,0,6497,158,7129,76,9,7060
,IRELAND,97885,2838,63898,25522,126245,7806,4619,123047
,ISRAEL,19426,122,16078,2784,22332,324,457,22468
,NEW ZEALAND,3913,1,3134,2715,6629,251,132,6509
,NORWAY,23127,0,20954,61,23188,263,1115,24041
,PORTUGAL,3071,0,2546,31,3102,99,133,3134
,SLOVAKIA,1939,0,1896,481,2420,52,11,2380
,SPAIN,41181,51,30008,961,42193,1802,3167,43558
,OTHER NON G-10 DEV.,15732,2,15115,2,15736,1643,355,14449
,Total,271744,7682,210737,104975,384401,19290,17923,383028
,,,,,,,,,
,Eastern Europe,,,,,,,,
,BULGARIA,157,78,164,430,665,44,3,625
,CZECH REPUBLIC,4255,622,4152,2882,7759,270,109,7597
,HUNGARY,1563,227,1627,1839,3629,229,51,3452
,KOSOVO,1,0,0,0,1,0,0,1
,POLAND,6322,1582,6779,10709,18613,874,675,18412
,ROMANIA,1472,400,1571,2881,4753,324,10,4441
,RUSSIA,1175,11,1014,12678,13864,49,0,13814
,TURKEY,18112,713,14068,2226,21051,2550,3431,21930
,OTHER E. EUROPE,4966,1,4054,1547,6514,803,141,5847
,Total,38023,3634,33429,35192,76849,5143,4420,76119
,,,,,,,,,
,Latin America and Caribbean,,,,,,,,
,ANGUILLA,2,0,1,0,2,1,0,1
,ARGENTINA,1293,689,1719,3252,5234,852,46,4424
,BRAZIL,48344,4782,43668,55053,108179,3453,8776,113502
,CHILE,7847,7,6904,3382,11236,495,503,11243
,COLOMBIA,4183,42,2191,4352,8577,1215,227,7592
,COSTA RICA,209,245,412,1064,1518,71,17,1464
,DOMINICAN REPUBLIC,1637,55,1541,379,2071,386,66,1750
,ECUADOR,904,585,1294,0,1489,527,34,997
,EL SALVADOR,302,204,421,0,506,64,51,493
,FRENCH GUIANA,0,0,0,0,0,0,0,0
,GUATEMALA,1046,21,993,360,1427,196,259,1488
,HONDURAS,480,39,485,346,865,108,27,787
,MEXICO,22850,7548,23335,75757,106155,7204,2874,101829
,MONTSERRAT,0,0,0,0,0,0,0,0
,PERU,4348,491,3579,1594,6433,1189,552,5797
,URUGUAY,812,105,830,514,1431,196,88,1324
,VENEZUELA,699,0,627,0,699,115,3,589
,OTHER LAT. AM. & CAR.,43914,508,40371,827,45249,6937,1306,39617
,Total,138870,15321,128371,146880,301071,23009,14829,292897
,,,,,,,,,
,Asia and Pacific,,,,,,,,
,CHINA-MAINLAND,102933,2627,101587,38135,143695,3680,4508,144525
,INDIA,32271,2780,29196,65803,100854,3603,3192,100447
,INDONESIA,11100,3382,12673,5811,20293,970,505,19825
,"KOREA, SOUTH",56689,3071,53176,39074,98834,1355,10113,107595
,KUWAIT,17767,0,17440,222,17989,121,98,17966
,MALAYSIA,3342,2837,5493,13254,19433,933,375,18875
,PAKISTAN,285,27,235,1190,1502,135,0,1366
,PHILIPPINES,4116,1743,5533,4874,10733,453,262,10544
,QATAR,8727,0,6352,27,8754,97,805,9464
,SAUDI ARABIA,28228,306,23224,1275,29809,2915,1573,28462
,TAIWAN,59222,3641,61388,11464,74327,881,1851,75300
,THAILAND,2798,158,2819,9706,12662,474,215,12402
,UNITED ARAB EMIRATES,25475,1634,20970,6854,33963,1748,1165,33377
,WEST BANK AND GAZA,3,0,0,0,3,0,0,3
,OTHER ASIA AND PACIFIC,9665,1417,8925,4650,15732,3495,433,12668
,Total,362621,23623,349011,202339,588583,20860,25095,592819
,,,,,,,,,
,Africa,,,,,,,,
,ALGERIA,27,85,110,1163,1275,193,0,1081
,EGYPT,12995,178,12459,2288,15461,817,56,14701
,GHANA,209,0,180,0,209,43,0,166
,KENYA,595,133,624,713,1441,235,64,1270
,MOROCCO,344,13,330,804,1161,35,0,1126
,NIGERIA,10687,56,9693,1059,11802,200,94,11696
,SAINT HELENA,0,0,0,0,0,0,0,0
,SOUTH AFRICA,5387,209,3821,10341,15937,592,702,16049
,SOUTH SUDAN,2,0,2,0,2,2,0,0
,OTHER AFRICA,5570,489,4553,2284,8343,2618,307,6033
,Total,35816,1163,31772,18652,55631,4735,1223,52122
,,,,,,,,,
,Banking Centers,,,,,,,,
,BAHAMAS,6782,159,6485,105,7046,3507,691,4228
,BAHRAIN,6563,2,4868,116,6681,1926,61,4814
,BERMUDA,24547,7,16590,0,24554,5280,3755,23029
,CAYMAN ISLANDS,626496,654,458641,4,627154,56107,12937,583982
,HONG KONG,28209,13314,36795,44266,85789,9114,2842,79274
,LEBANON,149,13,114,48,210,0,0,210
,MAURITIUS,2700,108,2070,125,2933,723,15,2224
,PANAMA,5032,695,3998,26,5753,1983,796,4563
,SINGAPORE,64180,16959,76814,41326,122465,7942,2890,117410
,OTHER BANKING CENTERS,37686,282,20511,271,38239,2347,3083,38973
,Total,802344,32193,626886,86287,920824,88929,27070,858707
,,,,,,,,,
,International & Regional Organizations,,,,,,,,
,AFRICAN,889,0,641,0,889,71,357,1174
,ASIAN,4495,0,2732,0,4495,0,313,4807
,CARIBBEAN,0,0,0,0,0,0,0,0
,EUROPEAN,30339,0,12374,0,30339,31,401,30710
,INTERNATIONAL,12469,0,5750,0,12469,47,3410,15831
,LATIN AMERICAN,4635,0,1900,0,4635,61,103,4677
,MIDDLE EASTERN,6,0,6,0,6,0,0,6
,Total,52833,0,23403,0,52833,210,4584,57205
,,,,,,,,,
,UNITED STATES,259600,42142,256542,10081712,10383454,618771,668427,10433426
,,,,,,,,,
,Grand Total,2775594,277136,2397383,11636388,14689118,866823,866830,14689107
