,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2024
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,359,1586,1945,24041,-1716,,1727,7129,2005,2874,0,870,,2874
,CANADA,9215,39757,48972,64605,34639,,7681,42021,11963,68900,0,12494,,68900
,FRANCE,7310,45950,53260,103723,17177,,4541,42758,10116,69190,0,23067,,69190
,GERMANY,29841,175184,205025,143021,252957,,7790,45805,13256,14149,0,6659,,14149
,ITALY,1478,17129,18607,66242,-10297,,2472,45172,14207,13413,0,3456,,13413
,JAPAN,13541,101555,115096,162612,275882,,9848,155947,39210,162519,0,75450,,162519
,LUXEMBOURG,78284,63652,141936,96000,-119686,,2948,12832,649,11927,0,1588,,11927
,NETHERLANDS,32969,19609,52578,83449,-50385,,943,20855,3608,4615,0,357,,4615
,SWEDEN,29,695,724,20837,-549,,275,6262,603,3882,0,370,,3882
,SWITZERLAND,6065,4469,10534,50544,21240,,9,12500,694,6333,0,1318,,6333
,UNITED KINGDOM,1190010,295771,1485781,385447,158073,,39560,89207,20951,50675,0,21389,,50675
,Total,1369101,765357,2134458,1200521,577335,,77794,480488,117262,408477,0,147018,,408477
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,6133,61549,67682,88650,17906,,6457,21218,2486,14076,0,10695,,14076
,AUSTRIA,41,263,304,9483,-282,,1092,4703,1378,1865,0,36,,1865
,CYPRUS,0,0,0,4576,-3,,0,324,37,5,0,5,,5
,DENMARK,24,577,601,15916,-11,,120,6355,534,1759,0,192,,1759
,FINLAND,0,188,188,10396,-180,,820,4621,910,3382,0,53,,3382
,GREECE,52,1730,1782,6779,-1498,,0,4432,411,1625,0,480,,1625
,IRELAND,16256,44063,60319,118989,65427,,13310,21701,1083,18802,0,382,,18802
,ISRAEL,1029,2730,3759,10959,-738,,1133,5365,218,10631,0,8389,,10631
,NEW ZEALAND,152,1329,1481,5134,1247,,279,1315,144,818,0,579,,818
,NORWAY,0,432,432,7537,-364,,83,3016,508,14482,0,492,,14482
,PORTUGAL,7,203,210,4022,-167,,63,2433,1090,161,0,10,,161
,SLOVAKIA,120,636,756,1258,-254,,144,677,415,1160,0,281,,1160
,SPAIN,403,2379,2782,39113,-1569,,1127,23621,6390,3780,0,495,,3780
,OTHER NON G-10 DEV.,11,5,16,16604,21,,0,598,14,1032,0,0,,1032
,Total,24228,116084,140312,339416,79535,,24628,100379,15618,73578,0,22089,,73578
,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,
,BULGARIA,522,559,1081,1265,-590,,101,100,36,0,0,0,,0
,CZECH REPUBLIC,2083,1850,3933,4535,-166,,1255,1040,337,3868,0,3752,,3868
,HUNGARY,1253,1342,2595,6199,-314,,1051,1023,267,421,0,177,,421
,KOSOVO,0,0,0,0,0,,0,0,0,0,0,0,,0
,POLAND,4252,11137,15389,19057,1297,,5659,4774,669,409,0,409,,409
,ROMANIA,951,2467,3418,4211,-131,,2037,1141,536,330,0,220,,330
,RUSSIA,306,6930,7236,6899,4324,,154,91,6,0,0,0,,0
,TURKEY,724,1142,1866,8959,1069,,88,10115,388,3329,0,3298,,3329
,OTHER E. EUROPE,362,1233,1595,5608,0,,222,1113,274,2649,0,0,,2649
,Total,10453,26660,37113,56733,5489,,10567,19397,2513,11006,0,7856,,11006
,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,
,ANGUILLA,0,0,0,27,0,,0,0,0,0,0,0,,0
