,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2024
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,9961,61,64,10086,10061,0,7664,30,351,8045,7580,0,3309,43,52,3404,,3319,21
,CANADA,27110,10258,1836,39204,21104,4118,12238,25209,686,38133,12070,16,69817,15871,2074,87762,,71219,3903
,FRANCE,42325,568,3638,46531,40299,27,27162,13293,5006,45461,24570,0,49997,6782,3484,60263,,52019,222
,GERMANY,16855,8221,1297,26373,15791,495,20628,189590,6776,216994,14117,3,11404,10927,12834,35165,,15351,474
,ITALY,18734,326,427,19487,18496,2,33435,289,4847,38571,32482,0,12625,4171,1037,17833,,12969,68
,JAPAN,42635,34328,718,77681,36476,27045,22500,160084,4851,187435,22442,0,15887,131383,5588,152858,,13935,664
,LUXEMBOURG,2477,276,8,2761,4521,53,853,1386,28,2267,514,103,72447,3711,5617,81775,,75998,2367
,NETHERLANDS,9297,38,579,9914,6402,19,3378,16419,4838,24635,3234,45,14632,141,1943,16716,,17189,78
,SWEDEN,7239,3,165,7407,7761,0,613,112,13,738,311,1,4196,8,234,4438,,3963,0
,SWITZERLAND,8679,81,206,8966,7538,50,1904,20668,45,22617,1716,0,8607,5738,724,15069,,7783,5719
,UNITED KINGDOM,9131,28397,1073,38601,7193,25383,5842,180634,17216,203692,5479,10719,48915,103894,10147,162956,,47228,36700
,Total,194443,82557,10011,287011,175642,57192,136217,607714,44657,788588,124515,10887,311836,282669,43734,638239,,320973,50216
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,4791,7368,1292,13451,5023,331,573,26235,215,27023,566,165,14324,31281,1779,47384,,14396,2735
,AUSTRIA,2867,0,88,2955,2732,0,3735,10,675,4420,3671,0,562,6,100,668,,523,3
