,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  September 30, 2024
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,2444,22,2466,2,41,43,255,2764,2937,33,2970,0,,3,3
,CANADA,20889,865,21754,25163,280,25443,1212,48409,17278,676,17954,10324,,22,10346
,FRANCE,21600,201,21801,4204,405,4609,2392,28802,20688,199,20887,659,,6,665
,GERMANY,24872,270,25142,3146,326,3472,2584,31198,20528,391,20919,40,,14,54
,ITALY,9975,249,10224,2095,659,2754,338,13316,9080,232,9312,198,,114,312
,JAPAN,21479,252,21731,48642,0,48642,535,70908,18038,147,18185,2003,,0,2003
,LUXEMBOURG,17971,9,17980,194,13,207,931,19118,31618,9,31627,71,,3,74
,NETHERLANDS,21609,176,21785,338,26,364,1728,23877,23427,198,23625,242,,2,244
,SWEDEN,7644,56,7700,5,0,5,406,8111,7565,59,7624,2,,0,2
,SWITZERLAND,15768,476,16244,473,1294,1767,1524,19535,15029,506,15535,431,,826,1257
,UNITED KINGDOM,22935,3684,26619,42972,3624,46596,6601,79816,20366,3609,23975,17012,,1111,18123
,Total,187186,6260,193446,127234,6668,133902,18506,345854,186554,6059,192613,30982,,2101,33083
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,6719,227,6946,8710,229,8939,696,16581,5312,235,5547,1431,,0,1431
,AUSTRIA,1472,8,1480,1,0,1,77,1558,1970,53,2023,0,,0,0
,CYPRUS,879,97,976,0,0,0,2,978,726,68,794,0,,0,0
,DENMARK,5637,17,5654,6,0,6,535,6195,5221,16,5237,0,,0,0
,FINLAND,2391,1,2392,0,0,0,110,2502,2174,5,2179,0,,0,0
,GREECE,1662,61,1723,31,0,31,32,1786,1658,61,1719,0,,0,0
,IRELAND,18174,668,18842,2071,0,2071,898,21811,16383,688,17071,932,,0,932
,ISRAEL,4261,207,4468,154,0,154,213,4835,3923,255,4178,102,,0,102
,NEW ZEALAND,891,20,911,188,0,188,113,1212,830,20,850,1,,0,1
,NORWAY,3356,12,3368,0,0,0,182,3550,3386,12,3398,0,,0,0
,PORTUGAL,878,69,947,0,0,0,179,1126,857,69,926,0,,0,0
,SLOVAKIA,95,0,95,70,0,70,4,169,115,0,115,0,,0,0
,SPAIN,9916,443,10359,414,0,414,967,11740,9477,408,9885,48,,0,48
,OTHER NON G-10 DEV.,862,193,1055,0,0,0,46,1101,714,117,831,0,,0,0
,Total,57193,2023,59216,11645,229,11874,4054,75144,52746,2007,54753,2514,,0,2514
,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,
,BULGARIA,19,11,30,119,0,119,26,175,28,11,39,47,,0,47
,CZECH REPUBLIC,370,12,382,530,0,530,86,998,373,12,385,439,,0,439
,HUNGARY,338,2,340,149,0,149,50,539,404,4,408,218,,0,218
,KOSOVO,0,1,1,0,0,0,0,1,0,1,1,0,,0,0
,POLAND,1384,21,1405,2181,1629,3810,1305,6520,1565,21,1586,604,,8,612
,ROMANIA,86,15,101,307,0,307,6,414,187,15,202,318,,0,318
