,,,,,,,,,
,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2024
   
Table 2 - Claims On Foreign Obligors Held by U.S. Banks on an Immediate-Counterparty Basis & Risk Transfers
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,
,,,,,,,,,
,,Claims - Immediate-Counterparty Basis /6,,,,,Risk Transfers,,
,,Cross-Border Claims (Excluding Claims from the Fair Value of Derivative Products),"
Claims on Local Residents in Non-Local Currency (Excluding Claims from the Fair Value of Derivative Products)",Remaining Maturity (less than or equal to 1 year), Claims on Local Residents in Local Currency (Excluding Claims from the Fair Value of Derivative Products),Total Cross-Border and Local Claims on Immediate-Counterparty Basis (Excluding claims from the Fair Value of Derivative Products),Outward Risk Transfers /7,Inward Risk Transfers /8,Total Cross-Border and Local Claims on Ultimate-Risk Basis (Excluding claims from the Fair value of Derivative Products)
,G-10 and Luxembourg,,,,,,,,
,BELGIUM,19734,253,16760,7247,27234,857,815,27183
,CANADA,155485,42995,129171,70138,268618,11779,32614,261935
,FRANCE,138501,3093,101312,20054,161648,4409,18507,172987
,GERMANY,69222,6196,51984,191373,266791,10366,51708,302709
,ITALY,58732,5125,49505,9033,72890,1237,3394,70233
,JAPAN,101532,26334,101836,306210,434076,2448,20094,450931
,LUXEMBOURG,109895,1727,73104,9511,121133,28828,7368,99641
,NETHERLANDS,48054,499,31102,15908,64461,9304,9099,63767
,SWEDEN,16442,10,12888,259,16711,1096,1704,17267
,SWITZERLAND,30068,6937,30530,19175,56180,4056,22295,74369
,UNITED KINGDOM,177582,169727,165705,283262,630571,67334,36671,513577
,Total,925247,262896,763897,932170,2120313,141714,204269,2054599
,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,
,AUSTRALIA,30349,6047,25171,68374,104770,6254,4915,103333
,AUSTRIA,8364,593,5240,121,9078,782,522,8226
,CYPRUS,1863,0,1596,0,1863,153,298,2007
,DENMARK,7263,3,5664,396,7662,381,1254,8530
,FINLAND,8412,316,6199,93,8821,158,1623,9968
,GREECE,5252,0,4826,143,5395,72,39,5357
,IRELAND,110614,3080,72201,21392,135086,20974,7066,121190
,ISRAEL,20321,165,16624,3975,24461,318,1073,25142
,NEW ZEALAND,3588,7,2676,2974,6569,384,221,6404
