,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2024
   
Table 3 - Foreign-Office Liabilities & Memorandum Items
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Foreign Office Liabilities,,,,,,Memorandum Items /9,,,,,,,
,,By Country of Foreign Office,,,,,,,Trading Assets,,Collateralized Claims Not Subject to Risk Transfers /11,,,,
,,Non-Local Currency,Local Currency,Total,By Country of Creditor,Net Due To (or Due From) Own Related Offices in Other Countries,,Securities - HTM and AFS,Assets Held for Trading,Offsetting Positions for Trading Book /10,Total Collateral,Of Which Cash,Of Which Same Country,,Of Which Resale/Reverse Repurchase Agreements & Securities Lending
,G-10 and Luxembourg,,,,,,,,,,,,,,
,BELGIUM,4407,3492,7899,22216,14837,,3060,6513,1564,1714,0,153,,1714
,CANADA,9909,42151,52060,60127,18957,,18314,33116,7328,71679,1269,11251,,71577
,FRANCE,3622,36846,40468,91976,17677,,8353,38710,9673,69658,1,22137,,69658
,GERMANY,26206,151720,177926,125874,202909,,16174,34947,7612,42162,0,5091,,42162
,ITALY,1405,18583,19988,59132,-9825,,2566,39245,11016,9021,0,2644,,9021
,JAPAN,10759,96501,107260,148221,246438,,14784,94923,32060,163377,0,71621,,163376
,LUXEMBOURG,85186,71604,156790,121130,-128199,,2912,8927,448,9347,0,1242,,9342
,NETHERLANDS,33055,22288,55343,78861,-53223,,4535,18559,2526,1553,0,307,,1539
,SWEDEN,32,798,830,17896,-476,,1141,5287,458,1339,0,228,,1336
,SWITZERLAND,5875,4004,9879,49839,19582,,848,9797,840,3802,0,188,,3799
,UNITED KINGDOM,1103948,287279,1391227,370596,143839,,45419,78728,13695,67366,320,21217,,67314
,Total,1284404,735266,2019670,1145868,472516,,118106,368752,87220,441018,1590,136079,,440838
,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,
,AUSTRALIA,10835,51364,62199,79414,23869,,9193,18232,2070,12467,0,7415,,12458
,AUSTRIA,30,318,348,7044,-223,,2674,3338,1047,955,0,26,,955
,CYPRUS,0,0,0,4325,-4,,0,268,53,0,0,0,,0
,DENMARK,6,461,467,16556,-56,,268,3615,268,565,0,20,,565
,FINLAND,0,165,165,9379,-90,,2510,3109,570,1030,0,8,,1030
,GREECE,47,1666,1713,5689,-1440,,0,4133,324,208,0,104,,208
