,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2024
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
All U.S. Banks - Group A",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,7833,1694,50,9577,7751,207,6254,5500,375,12129,6040,0,2934,150,45,3129,,2971,43
,CANADA,62687,12927,2778,78392,42234,2830,9852,25360,812,36024,9677,778,74918,10526,6011,91455,,75417,1549
,FRANCE,59367,338,5282,64987,47143,16,23897,11856,5052,40805,20993,0,42904,4012,5930,52846,,45148,157
,GERMANY,50079,4156,2639,56874,17470,289,24994,177309,7188,209491,17080,0,7599,5024,9946,22569,,10841,231
,ITALY,16051,354,627,17032,15092,2,24676,479,4694,29849,23678,0,10156,3884,1306,15346,,10513,85
,JAPAN,60131,27803,2213,90147,51008,23478,22149,162813,6929,191891,22072,0,16575,106797,7854,131226,,14286,898
,LUXEMBOURG,2055,375,72,2502,4232,66,183,7391,86,7660,190,1,69426,2758,8539,80723,,68894,1619
,NETHERLANDS,6991,163,940,8094,3839,17,5283,14995,3821,24099,4839,53,12893,252,2749,15894,,15045,78
,SWEDEN,4584,19,286,4889,4260,0,1425,107,124,1656,1318,0,3711,7,829,4547,,3556,0
,SWITZERLAND,21854,110,560,22524,7138,54,3820,18117,168,22105,1037,0,7850,6018,2210,16078,,7002,5590
,UNITED KINGDOM,51171,28930,2646,82747,81046,29351,8970,178824,16071,203865,7397,10077,57719,90632,15230,163581,,56865,26573
,Total,342803,76869,18093,437765,281213,56310,131503,602751,45320,779574,114321,10909,306685,230060,60649,597394,,310538,36823
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,8887,5566,486,14939,8747,487,485,21237,374,22096,586,40,14911,28306,8836,52053,,15033,4075
,AUSTRIA,2456,0,62,2518,2370,0,3830,3,740,4573,3808,0,540,3,128,671,,458,0
,CYPRUS,41,0,0,41,41,0,93,0,0,93,93,0,1145,0,48,1193,,1182,0
,DENMARK,1015,5,546,1566,1117,0,861,380,185,1426,352,3,1160,3,2140,3303,,1091,0
,FINLAND,1716,0,94,1810,1395,0,4094,1,840,4935,3351,0,1908,22,546,2476,,1640,0
,GREECE,805,0,190,995,809,0,2342,3,0,2345,2342,0,541,66,2,609,,541,0
,IRELAND,944,884,26,1854,836,196,894,15373,75,16342,896,51,72511,4716,5324,82551,,88596,1802
,ISRAEL,9424,41,126,9591,9361,8,2832,3765,736,7333,2822,2,3686,147,410,4243,,3713,0
,NEW ZEALAND,619,549,15,1183,793,3,805,1925,594,3324,803,0,921,1,456,1378,,944,0
,NORWAY,3972,5,233,4210,4392,1,34967,47,273,35287,34250,0,1154,12,232,1398,,1107,5
,PORTUGAL,373,1,0,374,321,0,1718,9,40,1767,1716,0,113,0,76,189,,125,0
,SLOVAKIA,475,5,2,482,475,0,1063,344,45,1452,1063,0,3,19,0,22,,3,0
,SPAIN,11339,358,2529,14226,10884,7,12002,453,476,12931,10996,0,5331,65,502,5898,,5899,0
,OTHER NON G-10 DEV.,232,2,31,265,1412,2,11316,0,70,11386,11312,0,390,0,51,441,,419,0
,Total,42298,7416,4340,54054,42953,704,77302,43540,4448,125290,74390,96,104314,33360,18751,156425,,120751,5882
,,,,,,,,,,,,,,,,,,,,
,Eastern Europe,,,,,,,,,,,,,,,,,,,
,BULGARIA,167,0,0,167,171,0,32,416,0,448,32,42,5,0,12,17,,5,0
,CZECH REPUBLIC,1123,278,14,1415,1292,272,647,2870,29,3546,647,8,255,33,5,293,,255,0
,HUNGARY,599,120,9,728,647,5,686,1454,135,2275,686,4,38,27,40,105,,38,0
,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
,POLAND,1121,437,50,1608,1486,75,2896,8259,0,11155,2682,798,589,1044,171,1804,,582,16
,ROMANIA,104,58,0,162,131,0,663,2595,5,3263,663,81,17,25,5,47,,17,0
,RUSSIA,2325,69,0,2394,2368,0,25,2100,0,2125,25,0,35,2702,0,2737,,35,0
,TURKEY,12573,89,77,12739,10203,14,3775,1949,9,5733,4155,264,825,46,17,888,,809,0
,OTHER E. EUROPE,273,0,13,286,334,0,1178,1485,33,2696,1626,0,68,0,16,84,,68,0
,Total,18285,1051,163,19499,16632,366,9902,21128,211,31241,10516,1197,1832,3877,266,5975,,1809,16
,,,,,,,,,,,,,,,,,,,,
,Latin America and Caribbean,,,,,,,,,,,,,,,,,,,
,ANGUILLA,84,0,0,84,82,0,0,0,0,0,0,0,17,0,0,17,,11,0
,ARGENTINA,99,274,0,373,66,118,514,3538,0,4052,497,654,80,5,2,87,,53,0
,BRAZIL,13644,4039,135,17818,6737,0,20261,31878,111,52250,20243,1025,3731,5069,1864,10664,,3732,4
,CHILE,5092,45,84,5221,5063,1,397,734,13,1144,392,0,912,2179,233,3324,,846,0
,COLOMBIA,1374,75,6,1455,1617,0,295,2295,17,2607,289,0,468,665,81,1214,,569,0
,COSTA RICA,78,167,0,245,99,68,40,890,0,930,39,177,49,0,1,50,,47,0
,DOMINICAN REPUBLIC,783,4,0,787,782,0,665,279,5,949,743,24,40,15,1,56,,25,7
,ECUADOR,106,33,15,154,108,33,110,199,0,309,110,199,18,13,0,31,,24,13
,EL SALVADOR,59,8,0,67,62,8,59,168,0,227,58,168,8,0,0,8,,2,0
,FRENCH GUIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
