,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2024
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
All Other U.S. Banks - Group C",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,249,10,259,31,87,118,0,377,263,19,282,0,,0,0
,CANADA,9775,3246,13021,5760,5832,11592,258,24871,9184,3148,12332,22925,,5662,28587
,FRANCE,1028,86,1114,477,956,1433,15,2562,845,83,928,2167,,521,2688
,GERMANY,2543,125,2668,845,1252,2097,13,4778,2221,120,2341,4003,,1257,5260
,ITALY,96,33,129,757,1296,2053,0,2182,49,39,88,4746,,0,4746
,JAPAN,1097,140,1237,2816,3942,6758,0,7995,756,149,905,0,,0,0
,LUXEMBOURG,2628,81,2709,21,0,21,16,2746,3329,78,3407,1,,0,1
,NETHERLANDS,2382,11,2393,132,274,406,57,2856,2347,11,2358,250,,0,250
,SWEDEN,245,421,666,41,87,128,0,794,407,415,822,0,,0,0
,SWITZERLAND,1474,140,1614,0,0,0,10,1624,1234,147,1381,0,,0,0
,UNITED KINGDOM,8446,1038,9484,4585,10708,15293,130,24907,8162,1033,9195,73957,,12065,86022
,Total,29963,5331,35294,15465,24434,39899,499,75692,28797,5242,34039,108049,,19505,127554
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,1758,105,1863,4860,1940,6800,35,8698,1472,104,1576,27,,0,27
,AUSTRIA,115,17,132,38,69,107,0,239,94,22,116,593,,0,593
,CYPRUS,30,25,55,0,0,0,0,55,1,23,24,0,,0,0
,DENMARK,204,7,211,6,0,6,0,217,185,3,188,0,,0,0
,FINLAND,11,19,30,11,56,67,0,97,36,5,41,0,,316,316
,GREECE,79,18,97,0,0,0,0,97,69,18,87,0,,0,0
,IRELAND,3993,24,4017,28,0,28,59,4104,4123,33,4156,10,,0,10
