,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2024
   
Table 1 - Claims On Foreign Obligors Held by U.S. Banks on an Ultimate Risk Basis  (Adjusted to Reflect Guarantees and Other Risk Transfers) & Off-Balance-Sheet Items
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims - Ultimate-Risk Basis /2,,,,,,,Off-Balance Sheet Items,,,,,,,
,, , Claims on Local Residents (Excluding Claims from the Fair Value of Derivative Products),,, , ,,Cross-Border and  Local Commitments and Guarantees,,"Credit Derivatives
 (By Reference Entity)",,,,, 
,, , , , , , ,, , ,Gross,,Gross-Net /5,,, 
,,"Cross-border Claims
(Excluding Claims from the Fair Value of Derivative Products)",Total,In Non-Local Currency,In Local Currency,Claims Resulting From the Fair Value of Derivative Products /3,Country Risk Claims /4,,Unused Commitments,Guarantees (Excluding Credit Derivatives Sold),Total Credit Derivatives Sold,Total Credit Derivatives Purchased,Total Credit Derivatives Sold,,Total Credit Derivatives Purchased,Trade Finance
,,(A),(B),(B1),(B2 = B - B1),(C),(D = A+B+C),,,,,,,,,
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,18163,191,26,165,646,19000,,4881,270,13335,13625,5601,,5890,115
,CANADA,110851,63174,11148,52026,9848,183873,,48617,21601,33287,31348,17344,,15404,372
,FRANCE,126920,18838,405,18433,18329,164087,,217963,5636,224737,225695,80681,,81614,185
,GERMANY,61575,179154,676,178478,22120,262849,,58159,4638,166877,167872,63903,,64899,561
,ITALY,59978,6862,390,6472,6969,73809,,11690,827,143217,143544,43641,,43970,765
,JAPAN,99527,322461,25500,296961,17335,439323,,76884,6853,71529,73434,24242,,26146,153
,LUXEMBOURG,80897,4129,1176,2953,9308,94334,,35424,12260,28103,27623,13243,,12762,378
,NETHERLANDS,41887,13729,161,13568,9592,65208,,32054,3858,123160,125201,44607,,46649,350
,SWEDEN,14491,134,10,124,1693,16318,,9033,317,36831,35861,15921,,14950,193
,SWITZERLAND,28511,25711,6872,18839,3966,58188,,18669,3952,55783,55147,22109,,21472,458
,UNITED KINGDOM,79320,302382,69655,232727,36476,418178,,99866,10590,272119,270093,103344,,101137,768
,Total,722120,936765,116019,820746,136282,1795167,,613240,70802,1168978,1169443,434636,,434893,4298
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,21824,62127,5509,56618,7727,91678,,20636,2271,10084,10224,6077,,6218,117
,AUSTRIA,5971,4,0,4,1015,6990,,1680,81,5840,6322,2152,,2633,82
,CYPRUS,1952,0,0,0,49,2001,,236,133,3,3,3,,3,80
