,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2024
   
Table 4.1 - U.S. Banks' Claims by Sector (Banking, Public and Non-Bank Financial) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Claims on Banking Sector,,,,,,Claims on Public Sector,,,,,,Claims on Non-Bank Financial Sector,,,,,,
,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,Immediate Counterparty Basis Claims /6,,Ultimate Risk Claims /2,,,,,Immediate Counterparty Basis Claims /6,
,,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,Cross-Border Claims,Claims on Local Residents in Non-Local Currency,Cross-Border Claims,Claims on Local Residents,"Fair Value
 of
 Derivatives
 /3",Total Claims,,Cross-Border Claims,Claims on Local Residents in Non-Local Currency
,G-10 and Luxembourg,,,,,,,,,,,,,,,,,,,
,BELGIUM,6915,68,50,7033,6789,0,5950,36,374,6360,5886,0,2901,43,45,2989,,2939,23
,CANADA,22345,7685,1805,31835,17371,1484,8202,23889,810,32901,8077,14,61594,9258,5826,76678,,62901,1329
,FRANCE,38879,295,4180,43354,37694,16,21033,11778,5051,37862,18527,0,41702,4005,5545,51252,,43841,157
,GERMANY,9969,4070,2137,16176,8227,285,19718,166237,7163,193118,13620,0,6964,4988,9946,21898,,10519,228
,ITALY,15330,173,627,16130,14926,2,24597,283,4694,29574,23599,0,10127,3879,1306,15312,,10485,85
,JAPAN,52026,27202,1906,81134,46427,22975,16892,161067,6882,184841,16815,0,11579,106554,7788,125921,,9370,898
,LUXEMBOURG,1864,145,72,2081,3482,52,73,1202,86,1361,80,1,64407,2612,8292,75311,,64312,1583
,NETHERLANDS,5345,100,837,6282,2275,15,3793,13312,3821,20926,3716,51,12548,127,2727,15402,,14740,74
,SWEDEN,3746,1,285,4032,3576,0,510,106,124,740,268,0,3635,7,829,4471,,3478,0
,SWITZERLAND,6876,105,305,7286,5992,53,1132,18094,167,19393,1035,0,7313,5716,2185,15214,,6555,5589
,UNITED KINGDOM,8840,24489,609,33938,7202,22553,7279,150494,16065,173838,6546,10073,38187,79859,13861,131907,,37502,26203
,Total,172135,64333,12813,249281,153961,47435,109179,546498,45237,700914,98169,10139,260957,217048,58350,536355,,266642,36169
,,,,,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,,,,,
,AUSTRALIA,4598,4804,195,9597,4426,487,485,19021,374,19880,586,40,11504,28261,6436,46201,,11632,4068
,AUSTRIA,1894,0,62,1956,1805,0,2611,1,740,3352,2589,0,312,2,125,439,,240,0
,CYPRUS,41,0,0,41,41,0,93,0,0,93,93,0,1145,0,48,1193,,1182,0
,DENMARK,952,4,509,1465,1063,0,719,380,185,1284,304,3,1030,2,2140,3172,,969,0
,FINLAND,1374,0,94,1468,1148,0,2963,0,840,3803,2293,0,1527,1,546,2074,,1259,0
,GREECE,800,0,190,990,803,0,2342,3,0,2345,2342,0,541,66,2,609,,541,0
,IRELAND,767,595,26,1388,750,37,814,11317,75,12206,816,51,66266,4379,4900,75545,,73481,1658
,ISRAEL,8947,37,126,9110,8884,7,2581,3764,736,7081,2576,2,3586,147,410,4143,,3688,0
,NEW ZEALAND,485,511,15,1011,607,0,797,1924,594,3315,797,0,875,1,362,1238,,922,0
,NORWAY,3207,0,191,3398,3238,0,34101,46,273,34420,33623,0,689,2,192,883,,642,0
,PORTUGAL,327,1,0,328,268,0,1593,9,40,1642,1591,0,112,0,64,176,,124,0
,SLOVAKIA,227,5,2,234,227,0,816,344,45,1205,816,0,3,19,0,22,,3,0
,SPAIN,10520,79,1782,12381,10354,7,11118,424,472,12014,10114,0,5259,65,502,5826,,5859,0
