,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Country Exposure Lending Survey /1:  December 31, 2024
   
Table 4.2 - U.S. Banks' Claims by Sector (Other - Households & Corporate) of Obligor/Debtor
   
($ Millions)
   
Large Financial Institutions (LFI) - Group B",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Claims on Other Sector,,,,,,,,,,,,,,
,,Ultimate Risk Claims /2,,,,,,,,Immediate Counterparty Basis Claims /6,,,,,,
,,Cross-Border Claims,,,Claims on Local Residents,,,,,Cross-Border Claims,,,Claims on Local Residents,,,
,,Corporate,Households,Total (Other),Corporate,Households,Total (Other),"Fair Value
 of
 Derivatives
 /3",Total Claims,Corporate,Households,Total (Other),Corporate,,Households,Total (Other)
,G-10 and Luxembourg,,,,,,,,,,,,,,,
,BELGIUM,2372,25,2397,1,43,44,177,2618,2657,33,2690,0,,3,3
,CANADA,17948,762,18710,22258,84,22342,1407,42459,15166,659,15825,9229,,22,9251
,FRANCE,25107,199,25306,2362,398,2760,3553,31619,24085,204,24289,225,,7,232
,GERMANY,24682,242,24924,3550,309,3859,2874,31657,20774,716,21490,394,,22,416
,ITALY,9635,289,9924,1885,642,2527,342,12793,9082,279,9361,172,,120,292
,JAPAN,18823,207,19030,27638,0,27638,759,47427,13120,141,13261,1958,,0,1958
,LUXEMBOURG,14544,9,14553,156,14,170,858,15581,33162,10,33172,36,,4,40
,NETHERLANDS,20049,152,20201,162,28,190,2207,22598,21793,180,21973,101,,0,101
,SWEDEN,6523,77,6600,20,0,20,455,7075,6351,135,6486,10,,0,10
,SWITZERLAND,12744,446,13190,442,1354,1796,1309,16295,13038,472,13510,408,,885,1293
,UNITED KINGDOM,22036,2978,25014,43788,3752,47540,5941,78495,19782,3297,23079,16817,,887,17704
,Total,174463,5386,179849,102262,6624,108886,19882,308617,179010,6126,185136,29350,,1950,31300
,,,,,,,,,,,,,,,,
,Non G-10 Developed Countries,,,,,,,,,,,,,,,
,AUSTRALIA,5044,193,5237,9975,66,10041,722,16000,4094,313,4407,1418,,0,1418
,AUSTRIA,1146,8,1154,1,0,1,88,1243,1568,44,1612,0,,0,0
,CYPRUS,603,70,673,0,0,0,1,674,455,68,523,0,,0,0
,DENMARK,4867,17,4884,5,0,5,446,5335,4499,16,4515,0,,0,0
,FINLAND,2129,1,2130,0,0,0,92,2222,1980,5,1985,0,,0,0
,GREECE,1410,65,1475,28,0,28,9,1512,1408,65,1473,0,,0,0
,IRELAND,18787,174,18961,2402,460,2862,530,22353,15931,199,16130,1021,,0,1021
,ISRAEL,4351,214,4565,158,0,158,241,4964,3818,260,4078,96,,0,96
,NEW ZEALAND,879,16,895,115,0,115,137,1147,820,20,840,2,,0,2
,NORWAY,3118,9,3127,0,0,0,272,3399,3099,12,3111,0,,0,0
,PORTUGAL,555,68,623,13,0,13,180,816,571,67,638,0,,0,0
