fecha;Determinacion;Publicacion DOF;para solventar obligaciones
01/01/2015;N/E;N/E;14,7348
02/01/2015;14,8290;14,7414;14,7348
03/01/2015;N/E;N/E;14,7414
04/01/2015;N/E;N/E;14,7414
05/01/2015;14,9469;14,8290;14,7414
06/01/2015;14,8479;14,9469;14,8290
07/01/2015;14,7936;14,8479;14,9469
08/01/2015;14,6274;14,7936;14,8479
09/01/2015;14,5804;14,6274;14,7936
10/01/2015;N/E;N/E;14,6274
11/01/2015;N/E;N/E;14,6274
12/01/2015;14,6398;14,5804;14,6274
13/01/2015;14,5559;14,6398;14,5804
14/01/2015;14,5644;14,5559;14,6398
15/01/2015;14,5821;14,5644;14,5559
16/01/2015;14,6223;14,5821;14,5644
17/01/2015;N/E;N/E;14,5821
18/01/2015;N/E;N/E;14,5821
19/01/2015;14,6524;14,6223;14,5821
20/01/2015;14,6484;14,6524;14,6223
21/01/2015;14,6983;14,6484;14,6524
22/01/2015;14,6120;14,6983;14,6484
23/01/2015;14,6499;14,6120;14,6983
24/01/2015;N/E;N/E;14,6120
25/01/2015;N/E;N/E;14,6120
26/01/2015;14,5887;14,6499;14,6120
27/01/2015;14,5872;14,5887;14,6499
28/01/2015;14,6878;14,5872;14,5887
29/01/2015;14,8414;14,6878;14,5872
30/01/2015;14,9885;14,8414;14,6878
31/01/2015;N/E;N/E;14,8414
01/02/2015;N/E;N/E;14,8414
02/02/2015;N/E;N/E;14,8414
03/02/2015;14,7566;14,9885;14,8414
04/02/2015;14,8011;14,7566;14,9885
05/02/2015;14,7548;14,8011;14,7566
06/02/2015;14,9024;14,7548;14,8011
07/02/2015;N/E;N/E;14,7548
08/02/2015;N/E;N/E;14,7548
09/02/2015;14,8014;14,9024;14,7548
10/02/2015;14,9309;14,8014;14,9024
11/02/2015;15,1099;14,9309;14,8014
12/02/2015;14,9167;15,1099;14,9309
13/02/2015;14,8605;14,9167;15,1099
14/02/2015;N/E;N/E;14,9167
15/02/2015;N/E;N/E;14,9167
16/02/2015;14,8979;14,8605;14,9167
17/02/2015;14,8971;14,8979;14,8605
18/02/2015;14,9473;14,8971;14,8979
19/02/2015;14,9583;14,9473;14,8971
20/02/2015;15,0757;14,9583;14,9473
21/02/2015;N/E;N/E;14,9583
22/02/2015;N/E;N/E;14,9583
23/02/2015;15,0832;15,0757;14,9583
24/02/2015;14,9712;15,0832;15,0757
25/02/2015;14,9228;14,9712;15,0832
26/02/2015;14,9624;14,9228;14,9712
27/02/2015;14,9553;14,9624;14,9228
28/02/2015;N/E;N/E;14,9624
01/03/2015;N/E;N/E;14,9624
02/03/2015;14,9862;14,9553;14,9624
03/03/2015;14,9544;14,9862;14,9553
04/03/2015;15,0756;14,9544;14,9862
05/03/2015;15,1686;15,0756;14,9544
06/03/2015;15,4445;15,1686;15,0756
07/03/2015;N/E;N/E;15,1686
08/03/2015;N/E;N/E;15,1686
09/03/2015;15,4544;15,4445;15,1686
10/03/2015;15,5837;15,4544;15,4445
11/03/2015;15,4455;15,5837;15,4544
12/03/2015;15,4003;15,4455;15,5837
13/03/2015;15,4892;15,4003;15,4455
14/03/2015;N/E;N/E;15,4003
15/03/2015;N/E;N/E;15,4003
16/03/2015;N/E;N/E;15,4003
17/03/2015;15,4271;15,4892;15,4003
18/03/2015;15,4192;15,4271;15,4892
19/03/2015;15,2960;15,4192;15,4271
20/03/2015;15,0317;15,2960;15,4192
21/03/2015;N/E;N/E;15,2960
22/03/2015;N/E;N/E;15,2960
