"","PN01214PM","PN01215PM"
"","Tipo de cambio - fin de periodo (S/ por US$) - Interbancario - Compra","Tipo de cambio - fin de periodo (S/ por US$) - Interbancario - Venta"
Sep94,2.238,2.243
Oct94,2.225,2.231
Nov94,2.161,2.167
Dic94,2.173,2.184
Ene95,2.186,2.194
Feb95,2.237,2.244
Mar95,2.254,2.259
Abr95,2.233,2.238
May95,2.24,2.243
Jun95,2.222,2.227
Jul95,2.223,2.228
Ago95,2.248,2.253
Sep95,2.239,2.245
Oct95,2.266,2.271
Nov95,2.321,2.328
Dic95,2.3,2.317
Ene96,2.354,2.359
Feb96,2.355,2.359
Mar96,2.35,2.353
Abr96,2.37,2.374
May96,2.414,2.418
Jun96,2.442,2.447
Jul96,2.464,2.467
Ago96,2.462,2.467
Sep96,2.508,2.512
Oct96,2.571,2.576
Nov96,2.582,2.587
Dic96,2.596,2.604
Ene97,2.642,2.646
Feb97,2.644,2.647
Mar97,2.649,2.653
Abr97,2.664,2.667
May97,2.665,2.668
Jun97,2.651,2.655
Jul97,2.653,2.656
Ago97,2.653,2.656
Sep97,2.648,2.651
Oct97,2.708,2.719
Nov97,2.72,2.724
Dic97,2.725,2.728
Ene98,2.773,2.777
Feb98,2.81,2.814
Mar98,2.803,2.807
Abr98,2.825,2.827
May98,2.863,2.866
Jun98,2.935,2.938
Jul98,2.928,2.931
Ago98,3.027,3.03
Sep98,3.053,3.056
Oct98,3.067,3.07
Nov98,3.122,3.126
Dic98,3.155,3.158
Ene99,3.358,3.364
Feb99,3.438,3.444
Mar99,3.3264,3.3304
Abr99,3.3354,3.3374
May99,3.3324,3.3348
Jun99,3.3324,3.3338
Jul99,3.3333,3.3351
Ago99,3.3829,3.386
Sep99,3.4613,3.4638
Oct99,3.4908,3.4938
Nov99,3.4886,3.4905
Dic99,3.5042,3.5072
Ene00,3.4888,3.4915
Feb00,3.4413,3.4445
Mar00,3.4865,3.4891
Abr00,3.4763,3.4786
May00,3.5024,3.5051
Jun00,3.4877,3.4893
Jul00,3.4716,3.4728
Ago00,3.4718,3.4728
Sep00,3.5086,3.5106
Oct00,3.5114,3.5128
Nov00,3.5284,3.5294
Dic00,3.5246,3.5263
Ene01,3.5318,3.5331
Feb01,3.5213,3.5228
Mar01,3.5235,3.5245
Abr01,3.5827,3.5845
May01,3.6238,3.6278
Jun01,3.5093,3.5115
Jul01,3.4865,3.4878
Ago01,3.4804,3.4815
Sep01,3.481,3.482
Oct01,3.4401,3.4412
Nov01,3.4342,3.4351
Dic01,3.4433,3.4441
Ene02,3.4774,3.4788
Feb02,3.4693,3.4703
Mar02,3.4447,3.4456
Abr02,3.4336,3.4344
May02,3.4596,3.4611
Jun02,3.5089,3.51
Jul02,3.5508,3.5545
Ago02,3.6124,3.6145
Sep02,3.6423,3.6457
Oct02,3.6,3.6016
Nov02,3.5043,3.5069
Dic02,3.5123,3.5141
Ene03,3.4773,3.4842
Feb03,3.4793,3.4799
Mar03,3.4733,3.4741
Abr03,3.4611,3.4617
May03,3.4946,3.4958
Jun03,3.4695,3.4702
Jul03,3.4724,3.4728
Ago03,3.47984166666667,3.48030833333333
Sep03,3.4826,3.4831
Oct03,3.4716,3.4722
Nov03,3.4798,3.4804
Dic03,3.4627,3.4634
Ene04,3.4987,3.5017
Feb04,3.4725,3.4731
Mar04,3.4595,3.4606
Abr04,3.4826,3.4845
May04,3.4857,3.4871
Jun04,3.4695,3.4711
Jul04,3.4178,3.4215
Ago04,3.3542,3.3573
Sep04,3.3395,3.3425
Oct04,3.32,3.325
Nov04,3.301,3.305
Dic04,3.277,3.283
Ene05,3.2595,3.2635
Feb05,3.256,3.257
Mar05,3.2585,3.261
Abr05,3.2555,3.2565
May05,3.2525,3.254
Jun05,3.2535,3.255
Jul05,3.2528,3.2537
Ago05,3.2826,3.2845
Sep05,3.3425,3.3453
Oct05,3.3757,3.3789
Nov05,3.411,3.4139
Dic05,3.4272,3.4302
Ene06,3.3114,3.3145
Feb06,3.292,3.2934
Mar06,3.3554,3.3621
Abr06,3.3068,3.311
May06,3.2903,3.2949
Jun06,3.2588,3.2613
Jul06,3.24,3.2415
Ago06,3.2395,3.2413
Sep06,3.2479,3.2493
Oct06,3.2126,3.2149
Nov06,3.2205,3.2213
Dic06,3.1942,3.196
Ene07,3.1964,3.1983
Feb07,3.189,3.1904
Mar07,3.1823,3.1834
Abr07,3.1705,3.1725
May07,3.1736,3.1752
Jun07,3.1669,3.1688
Jul07,3.1605,3.1619
Ago07,3.1613,3.1626
Sep07,3.0846,3.0867
Oct07,2.9974,2.9997
Nov07,2.9974,2.9994
Dic07,2.9937,2.9987
Ene08,2.931,2.9335
Feb08,2.8862,2.8881
Mar08,2.7447,2.7477
Abr08,2.8408,2.8483
May08,2.8384,2.8452
Jun08,2.9631,2.9667
Jul08,2.8133,2.8179
Ago08,2.9506,2.9549
Sep08,2.9765,2.9788
Oct08,3.0839,3.0904
Nov08,3.095,3.0994
Dic08,3.1402,3.143
Ene09,3.1743,3.1765
Feb09,3.2486,3.2514
Mar09,3.158,3.1617
Abr09,2.9887,2.993
May09,2.9918,2.9943
Jun09,3.008,3.0122
Jul09,2.9844,2.9868
Ago09,2.9471,2.9495
Sep09,2.8834,2.8857
Oct09,2.9019,2.907
Nov09,2.8792,2.881
Dic09,2.8882,2.8907
Ene10,2.8553,2.8569
Feb10,2.8464,2.8481
Mar10,2.8385,2.8407
Abr10,2.8476,2.8489
May10,2.8426,2.8439
Jun10,2.8256,2.8265
Jul10,2.8221,2.8225
Ago10,2.7964,2.7975
Sep10,2.7864,2.7875
Oct10,2.7964,2.7979
Nov10,2.8322,2.8338
Dic10,2.8064,2.8087
Ene11,2.7703,2.7723
Feb11,2.7734,2.7749
Mar11,2.8023,2.8046
Abr11,2.8209,2.8218
May11,2.767,2.7687
Jun11,2.7479,2.7492
Jul11,2.7373,2.7392
Ago11,2.7252,2.7269
Sep11,2.7724,2.7737
Oct11,2.7054,2.7071
Nov11,2.6996,2.701
Dic11,2.6957,2.6968
Ene12,2.688,2.6896
Feb12,2.6755,2.6765
Mar12,2.6666,2.6678
Abr12,2.6378,2.6387
May12,2.7089,2.7101
Jun12,2.6693,2.6707
Jul12,2.6273,2.6291
Ago12,2.6094,2.6103
Sep12,2.5969,2.5983
Oct12,2.5919,2.5927
Nov12,2.578,2.5786
Dic12,2.5364,2.5516
Ene13,2.5788,2.5814
Feb13,2.5863,2.5879
Mar13,2.589,2.5905
Abr13,2.6432,2.6455
May13,2.7332,2.737
Jun13,2.7803,2.7829
Jul13,2.7915,2.7939
Ago13,2.8054,2.8077
Sep13,2.7817,2.7839
Oct13,2.7719,2.7752
Nov13,2.7998,2.8008
Dic13,2.7948,2.7969
Ene14,2.8209,2.8223
Feb14,2.7981,2.8004
Mar14,2.8077,2.8097
Abr14,2.8072,2.8086
May14,2.7641,2.7668
Jun14,2.794,2.7972
Jul14,2.7962,2.7978
Ago14,2.8423,2.8441
Sep14,2.8898,2.8914
Oct14,2.9216,2.9241
Nov14,2.9187,2.9212
Dic14,2.979,2.981
Ene15,3.0579,3.0595
Feb15,3.0928,3.095
Mar15,3.0965,3.0986
Abr15,3.1263,3.1285
May15,3.1565,3.1581
Jun15,3.177,3.1792
Jul15,3.1897,3.1919
Ago15,3.234,3.2382
Sep15,3.2212,3.2244
Oct15,3.2848,3.2876
Nov15,3.3743,3.3767
Dic15,3.4105,3.4133
Ene16,3.4696,3.4712
Feb16,3.523,3.5253
Mar16,3.3186,3.3254
Abr16,3.2757,3.2776
May16,3.3707,3.3738
Jun16,3.2873,3.2911
Jul16,3.3523,3.3567
Ago16,3.3923,3.3954
Sep16,3.3948,3.3974
Oct16,3.3621,3.364
Nov16,3.4096,3.4132
Dic16,3.3544,3.3576
Ene17,3.2807,3.2833
Feb17,3.2612,3.2629
Mar17,3.2473,3.2508
Abr17,3.2418,3.2448
May17,3.2699,3.274
Jun17,3.2504,3.2529
Jul17,3.2401,3.241
Ago17,3.2388,3.2432
Sep17,3.255,3.2667
Oct17,3.2456,3.2499
Nov17,3.2306,3.239
Dic17,3.2391,3.241
Ene18,3.2147,3.216
Feb18,3.2596,3.2627
Mar18,3.2264,3.2283
Abr18,3.2484,3.2501
May18,3.2726,3.274
Jun18,3.2726,3.2737
Jul18,3.2718,3.2739
Ago18,3.2962,3.2981
Sep18,3.2978,3.3
Oct18,3.3664,3.368
Nov18,3.3817,3.3836
Dic18,3.3726,3.3759
Ene19,3.3306,3.332
Feb19,3.3012,3.3037
Mar19,3.3181,3.3203
Abr19,3.3077,3.309
May19,3.3735,3.3755
Jun19,3.2878,3.29
Jul19,3.3075,3.3104
Ago19,3.3962,3.3981
Sep19,3.3825,3.3843
Oct19,3.3474,3.3496
Nov19,3.3981,3.3998
Dic19,3.309,3.314
Ene20,3.3754,3.3784
Feb20,3.4522,3.4598
Mar20,3.4326,3.4386
Abr20,3.377,3.3821
May20,3.4292,3.4322
Jun20,3.5402,3.5444
Jul20,3.527,3.5315
Ago20,3.5434,3.5463
Sep20,3.5977,3.5999
Oct20,3.6128,3.614
Nov20,3.6054,3.607
Dic20,3.6181,3.6236
Ene21,3.6362,3.6396
Feb21,3.6492,3.6507
Mar21,3.7539,3.7572
Abr21,3.7854,3.7907
May21,3.8263,3.8289
Jun21,3.8495,3.8598
Jul21,4.0492,4.0576
Ago21,4.0848,4.0877
Sep21,4.1336,4.1364
Oct21,3.9896,3.9916
Nov21,4.0632,4.0664
Dic21,3.9829,3.9894
Ene22,3.8413,3.8439
Feb22,3.7548,3.7591
Mar22,3.6893,3.6935
Abr22,3.8323,3.8366
May22,3.7006,3.7054
Jun22,3.8236,3.8253
Jul22,3.9183,3.9224
Ago22,3.8417,3.8459
Sep22,3.9787,3.984
Oct22,3.988,3.9911
Nov22,3.8517,3.8545
Dic22,3.8108,3.8152
Ene23,3.8446,3.8489
Feb23,3.802,3.8062
Mar23,3.7594,3.7628
Abr23,3.7092,3.712
May23,3.6771,3.6801
Jun23,3.6251,3.6282
Jul23,3.6083,3.6118
Ago23,3.6935,3.6957
Sep23,3.7898,3.7943
Oct23,3.8349,3.8379
Nov23,3.7345,3.7383
Dic23,3.6934,3.7115
Ene24,3.8012,3.8053
Feb24,3.7783,3.7815
Mar24,3.717,3.719
Abr24,3.7493,3.7535
May24,3.7343,3.7371
Jun24,3.8326,3.838
Jul24,3.7138,3.717
Ago24,3.7454,3.7478
Sep24,3.7034,3.7071
Oct24,3.7665,3.7689
Nov24,3.74,3.7448
Dic24,3.7668,3.7688
Ene25,3.7212,3.7239
Feb25,3.6784,3.6811
Mar25,3.6705,3.6741
Abr25,3.6722,3.675
May25,3.6246,3.6272
Jun25,3.5382,3.5433
Jul25,3.5851,3.5891
Ago25,3.5321,3.534
Sep25,3.4684,3.4712
Oct25,3.3709,3.3755
