Concepto,institucion,share,año,mes,my,total,amount,size,inst_clean,institucion_std
Tarjetas de crédito,B. Continental,0.00311819137653923,2011,4,2011-4,27163714.08031,847.01659,Corporate,b. continental,B. BBVA Perú
Tarjetas de crédito,B. de Comercio,2.12705177752296e-05,2011,4,2011-4,1132083.39611,0.2408,Corporate,b. de comercio,Bancom (Banco de Comercio)
Tarjetas de crédito,B. de Crédito del Perú (con sucursales en el exterior),0.0090377031498744,2011,4,2011-4,40217093.76514,3634.70155,Corporate,b. de credito del peru,Banco de Crédito del Perú
Tarjetas de crédito,B. Financiero,1.15734776893508e-05,2011,4,2011-4,2713099.79963,0.314,Corporate,b. financiero,B. Pichincha
Tarjetas de crédito,B. Interamericano de Finanzas,0.00360650073381076,2011,4,2011-4,3304827.83166,119.18864,Corporate,b. interamericano de finanzas,BanBif (Banco Interamericano de Finanzas)
Tarjetas de crédito,Scotiabank Perú (con sucursales en el exterior),0.00118828067828184,2011,4,2011-4,18154261.35784,215.72358,Corporate,scotiabank peru,Scotiabank Perú
Tarjetas de crédito,Citibank,0,2011,4,2011-4,2353153.97981,0,Corporate,citibank,Citibank
Tarjetas de crédito,Interbank (con sucursales en el exterior),0.00117665145259402,2011,4,2011-4,12934651.9451,152.19577,Corporate,interbank,Interbank
Tarjetas de crédito,Mibanco,0,2011,4,2011-4,3782239.77529,0,Corporate,mibanco,Mibanco
Tarjetas de crédito,HSBC Bank Perú,0,2011,4,2011-4,1886938.40919,0,Corporate,hsbc bank peru,B. GNB
Tarjetas de crédito,B. Falabella Perú,0,2011,4,2011-4,1475339.27505,0,Corporate,b. falabella peru,B. Falabella Perú
Tarjetas de crédito,B. Santander Perú,0,2011,4,2011-4,873726.15014,0,Corporate,b. santander peru,B. Santander Perú
Tarjetas de crédito,B. Ripley,0.0241530832252968,2011,4,2011-4,930853.99451,224.82994,Corporate,b. ripley,B. Ripley
Tarjetas de crédito,B. Azteca Perú,0,2011,4,2011-4,273266.10327,0,Corporate,b. azteca peru,Alfin Banco
Tarjetas de crédito,Deutsche Bank Perú,0,2011,4,2011-4,0,0,Corporate,deutsche bank peru,Deutsche Bank Perú
Descuentos,B. Continental,0.359381106027626,2011,4,2011-4,27163714.08031,97621.2561,Corporate,b. continental,B. BBVA Perú
Descuentos,B. de Comercio,0,2011,4,2011-4,1132083.39611,0,Corporate,b. de comercio,Bancom (Banco de Comercio)
Descuentos,B. de Crédito del Perú (con sucursales en el exterior),0.244117081988404,2011,4,2011-4,40217093.76514,98176.79576,Corporate,b. de credito del peru,Banco de Crédito del Perú
Descuentos,B. Financiero,0.254950208279965,2011,4,2011-4,2713099.79963,6917.05359,Corporate,b. financiero,B. Pichincha
Descuentos,B. Interamericano de Finanzas,1.87140435115903,2011,4,2011-4,3304827.83166,61846.69184,Corporate,b. interamericano de finanzas,BanBif (Banco Interamericano de Finanzas)
Descuentos,Scotiabank Perú (con sucursales en el exterior),0.172529549082831,2011,4,2011-4,18154261.35784,31321.46526,Corporate,scotiabank peru,Scotiabank Perú
Descuentos,Citibank,0,2011,4,2011-4,2353153.97981,0,Corporate,citibank,Citibank
Descuentos,Interbank (con sucursales en el exterior),0.24322955309144,2011,4,2011-4,12934651.9451,31460.89612,Corporate,interbank,Interbank
Descuentos,Mibanco,0,2011,4,2011-4,3782239.77529,0,Corporate,mibanco,Mibanco
Descuentos,HSBC Bank Perú,0.610733920295096,2011,4,2011-4,1886938.40919,11524.17292,Corporate,hsbc bank peru,B. GNB
Descuentos,B. Falabella Perú,0,2011,4,2011-4,1475339.27505,0,Corporate,b. falabella peru,B. Falabella Perú
Descuentos,B. Santander Perú,26.7880546407472,2011,4,2011-4,873726.15014,234054.23851,Corporate,b. santander peru,B. Santander Perú
Descuentos,B. Ripley,0,2011,4,2011-4,930853.99451,0,Corporate,b. ripley,B. Ripley
Descuentos,B. Azteca Perú,0,2011,4,2011-4,273266.10327,0,Corporate,b. azteca peru,Alfin Banco
Descuentos,Deutsche Bank Perú,0,2011,4,2011-4,0,0,Corporate,deutsche bank peru,Deutsche Bank Perú
Préstamos,B. Continental,10.8057451724823,2011,4,2011-4,27163714.08031,2935241.7229,Corporate,b. continental,B. BBVA Perú
Préstamos,B. de Comercio,0.0719953064235919,2011,4,2011-4,1132083.39611,815.04691,Corporate,b. de comercio,Bancom (Banco de Comercio)
Préstamos,B. de Crédito del Perú (con sucursales en el exterior),11.0256929215347,2011,4,2011-4,40217093.76514,4434213.26051,Corporate,b. de credito del peru,Banco de Crédito del Perú
Préstamos,B. Financiero,0.94091105581451,2011,4,2011-4,2713099.79963,25527.85597,Corporate,b. financiero,B. Pichincha
Préstamos,B. Interamericano de Finanzas,4.88925564660469,2011,4,2011-4,3304827.83166,161581.48137,Corporate,b. interamericano de finanzas,BanBif (Banco Interamericano de Finanzas)
Préstamos,Scotiabank Perú (con sucursales en el exterior),10.6266526772067,2011,4,2011-4,18154261.35784,1929190.30061,Corporate,scotiabank peru,Scotiabank Perú
Préstamos,Citibank,11.3237208417409,2011,4,2011-4,2353153.97981,266464.58765,Corporate,citibank,Citibank
Préstamos,Interbank (con sucursales en el exterior),5.67013339665345,2011,4,2011-4,12934651.9451,733412.01968,Corporate,interbank,Interbank
Préstamos,Mibanco,0.233891541667839,2011,4,2011-4,3782239.77529,8846.33892,Corporate,mibanco,Mibanco
Préstamos,HSBC Bank Perú,2.90309442974957,2011,4,2011-4,1886938.40919,54779.60385,Corporate,hsbc bank peru,B. GNB
Préstamos,B. Falabella Perú,0,2011,4,2011-4,1475339.27505,0,Corporate,b. falabella peru,B. Falabella Perú
Préstamos,B. Santander Perú,0.168454457928742,2011,4,2011-4,873726.15014,1471.83065,Corporate,b. santander peru,B. Santander Perú
Préstamos,B. Ripley,0,2011,4,2011-4,930853.99451,0,Corporate,b. ripley,B. Ripley
Préstamos,B. Azteca Perú,0,2011,4,2011-4,273266.10327,0,Corporate,b. azteca peru,Alfin Banco
Préstamos,Deutsche Bank Perú,0,2011,4,2011-4,0,0,Corporate,deutsche bank peru,Deutsche Bank Perú
Factoring,B. Continental,0.0306534890824656,2011,4,2011-4,27163714.08031,8326.62613,Corporate,b. continental,B. BBVA Perú
Factoring,B. de Comercio,0,2011,4,2011-4,1132083.39611,0,Corporate,b. de comercio,Bancom (Banco de Comercio)
Factoring,B. de Crédito del Perú (con sucursales en el exterior),0.994244588893178,2011,4,2011-4,40217093.76514,399856.27857,Corporate,b. de credito del peru,Banco de Crédito del Perú
