date,year,month,tf_usd_millions,tf_ma3
2012-01-01,2012,1,36675.035204716085,NA
2012-02-01,2012,2,38040.01050972251,37855.06678589974
2012-03-01,2012,3,38850.15464326063,39068.05024657204
2012-04-01,2012,4,40313.985586733,39633.10289222954
2012-05-01,2012,5,39735.16844669499,39475.99033380517
2012-06-01,2012,6,38378.81696798753,40045.5197274295
2012-07-01,2012,7,42022.57376760599,41078.993245435246
2012-08-01,2012,8,42835.58900071223,42562.379286042764
2012-09-01,2012,9,42828.97508981007,43233.82715850289
2012-10-01,2012,10,44036.91738498638,42994.81561262112
2012-11-01,2012,11,42118.5543630669,42260.01498817121
2012-12-01,2012,12,40624.57321646035,41498.27219076862
2013-01-01,2013,1,41751.688992778596,42996.59850682965
2013-02-01,2013,2,46613.53331124999,45223.72653269008
2013-03-01,2013,3,47305.95729404163,47421.40796880601
2013-04-01,2013,4,48344.73330112636,48244.389720066356
2013-05-01,2013,5,49082.47856503102,47867.02893219996
2013-06-01,2013,6,46173.87493044245,46770.77505134465
2013-07-01,2013,7,45055.97165856043,44972.704860404454
2013-08-01,2013,8,43688.26799221043,44489.174567567585
2013-09-01,2013,9,44723.28405193184,44747.41473494212
2013-10-01,2013,10,45830.69216068403,44588.619838299426
2013-11-01,2013,11,43211.88330228233,43977.85683115284
2013-12-01,2013,12,42890.99503049211,42794.7490217042
2014-01-01,2014,1,42281.36873233811,42894.874664826326
2014-02-01,2014,2,43512.26023164871,43705.727274523866
2014-03-01,2014,3,45323.55285958471,45630.66944543538
2014-04-01,2014,4,48056.195245072646,47647.83151026931
2014-05-01,2014,5,49563.74642615048,48293.96913545216
2014-06-01,2014,6,47261.96573513326,48339.24287501547
2014-07-01,2014,7,48192.016463762586,47213.690683571556
2014-08-01,2014,8,46187.089851818724,46636.15645751951
2014-09-01,2014,9,45529.363056977134,45779.81899840702
2014-10-01,2014,10,45623.00408642512,46101.77747618078
2014-11-01,2014,11,47152.96528514001,45988.01214941632
2014-12-01,2014,12,45188.067076683736,46027.264309931685
2015-01-01,2015,1,45740.76056797123,44700.369377165836
2015-02-01,2015,2,43172.280486842465,43014.05419095323
2015-03-01,2015,3,40129.121518045926,41953.57668931546
2015-04-01,2015,4,42559.3280630579,41931.25038440283
2015-05-01,2015,5,43105.30157210459,43097.64476004763
2015-06-01,2015,6,43628.30464498032,43324.81024182423
2015-07-01,2015,7,43240.8245083877,42372.16841859766
2015-08-01,2015,8,40247.37610242489,40000.34149879013
2015-09-01,2015,9,36512.8238855577,37803.899016009265
2015-10-01,2015,10,36651.49706004512,36968.330661124994
2015-11-01,2015,11,37740.671037772074,37358.49603241807
2015-12-01,2015,12,37683.31999943693,37259.0677030209
2016-01-01,2016,1,36353.2120718536,36862.948869740045
2016-02-01,2016,2,36552.31453792952,37212.70217207545
2016-03-01,2016,3,38732.57990644312,38435.28697505501
2016-04-01,2016,4,40020.96648079228,40152.93232390598
2016-05-01,2016,5,41705.25058448245,44036.15263578027
2016-06-01,2016,6,50382.24084206598,48151.494200058536
2016-07-01,2016,7,52366.99117362709,51975.71919813662
2016-08-01,2016,8,53177.925578716706,52210.20953881229
2016-09-01,2016,9,51085.711864093006,51987.656411079115
2016-10-01,2016,10,51699.33179042756,50301.574342123466
2016-11-01,2016,11,48119.679371849765,48850.48912819902
2016-12-01,2016,12,46732.45622231967,47622.924996396214
2017-01-01,2017,1,48016.63939501916,48242.65353292603
2017-02-01,2017,2,49978.86498143923,49622.32693382318
2017-03-01,2017,3,50871.47642501112,50733.47365619483
2017-04-01,2017,4,51350.07956213413,50584.059643564724
2017-05-01,2017,5,49530.62294354893,49621.031889386206
2017-06-01,2017,6,47982.393162475564,48878.951593410464
2017-07-01,2017,7,49123.83867420693,49395.634901113524
