date,year,month,tf_month,exports_annual,tf_pct_exports
2012-01-01,2012,1,36675.035204716085,292646.63,12.532191197525863
2012-02-01,2012,2,38040.01050972251,292646.63,12.99861560330372
2012-03-01,2012,3,38850.15464326063,292646.63,13.27544918021459
2012-04-01,2012,4,40313.985586733,292646.63,13.775653451650202
2012-05-01,2012,5,39735.16844669499,292646.63,13.577866400407546
2012-06-01,2012,6,38378.81696798753,292646.63,13.114388834065005
2012-07-01,2012,7,42022.57376760599,292646.63,14.359493484550287
2012-08-01,2012,8,42835.58900071223,292646.63,14.63730814214817
2012-09-01,2012,9,42828.97508981007,292646.63,14.63504810898047
2012-10-01,2012,10,44036.91738498638,292646.63,15.047812915182512
2012-11-01,2012,11,42118.5543630669,292646.63,14.392290922012974
2012-12-01,2012,12,40624.57321646035,292646.63,13.881784053505195
2013-01-01,2013,1,41751.688992778596,290023.69,14.395958134585005
2013-02-01,2013,2,46613.53331124999,290023.69,16.072319234077046
2013-03-01,2013,3,47305.95729404163,290023.69,16.311066621503105
2013-04-01,2013,4,48344.73330112636,290023.69,16.669235985903896
2013-05-01,2013,5,49082.47856503102,290023.69,16.92361012475602
2013-06-01,2013,6,46173.87493044245,290023.69,15.920725279525424
2013-07-01,2013,7,45055.97165856043,290023.69,15.535272880143147
2013-08-01,2013,8,43688.26799221043,290023.69,15.063689449717169
2013-09-01,2013,9,44723.28405193184,290023.69,15.420562386449136
2013-10-01,2013,10,45830.69216068403,290023.69,15.802396059674997
2013-11-01,2013,11,43211.88330228233,290023.69,14.89943228509448
2013-12-01,2013,12,42890.99503049211,290023.69,14.788790195205125
2014-01-01,2014,1,42281.36873233811,270391.16,15.637112075830478
2014-02-01,2014,2,43512.26023164871,270391.16,16.092338311521985
2014-03-01,2014,3,45323.55285958471,270391.16,16.762216952501227
2014-04-01,2014,4,48056.195245072646,270391.16,17.77284259036895
2014-05-01,2014,5,49563.74642615048,270391.16,18.33038714215009
2014-06-01,2014,6,47261.96573513326,270391.16,17.479109056351273
2014-07-01,2014,7,48192.016463762586,270391.16,17.823073973188546
2014-08-01,2014,8,46187.089851818724,270391.16,17.081582789843694
2014-09-01,2014,9,45529.363056977134,270391.16,16.838332679580624
2014-10-01,2014,10,45623.00408642512,270391.16,16.87296436999831
2014-11-01,2014,11,47152.96528514001,270391.16,17.43879692114935
2014-12-01,2014,12,45188.067076683736,270391.16,16.712109625434405
2015-01-01,2015,1,45740.76056797123,231639.91,19.746493843816133
2015-02-01,2015,2,43172.280486842465,231639.91,18.637669340677288
2015-03-01,2015,3,40129.121518045926,231639.91,17.32392380831348
2015-04-01,2015,4,42559.3280630579,231639.91,18.37305499862174
2015-05-01,2015,5,43105.30157210459,231639.91,18.608754239329738
2015-06-01,2015,6,43628.30464498032,231639.91,18.834537038535508
2015-07-01,2015,7,43240.8245083877,231639.91,18.667260105733806
2015-08-01,2015,8,40247.37610242489,231639.91,17.37497484886127
2015-09-01,2015,9,36512.8238855577,231639.91,15.762751714744535
2015-10-01,2015,10,36651.49706004512,231639.91,15.822617553272714
2015-11-01,2015,11,37740.671037772074,231639.91,16.292818900582407
2015-12-01,2015,12,37683.31999943693,231639.91,16.268060197155545
2016-01-01,2016,1,36353.2120718536,224327.08,16.205449681711904
2016-02-01,2016,2,36552.31453792952,224327.08,16.294205112432042
2016-03-01,2016,3,38732.57990644312,224327.08,17.266118698840604
2016-04-01,2016,4,40020.96648079228,224327.08,17.84045264655176
2016-05-01,2016,5,41705.25058448245,224327.08,18.59126886708571
2016-06-01,2016,6,50382.24084206598,224327.08,22.459277249124796
2016-07-01,2016,7,52366.99117362709,224327.08,23.344034600560526
2016-08-01,2016,8,53177.925578716706,224327.08,23.705531039193623
2016-09-01,2016,9,51085.711864093006,224327.08,22.772868912702386
2016-10-01,2016,10,51699.33179042756,224327.08,23.046406965412988
2016-11-01,2016,11,48119.679371849765,224327.08,21.45067789936452
2016-12-01,2016,12,46732.45622231967,224327.08,20.832284814797962
2017-01-01,2017,1,48016.63939501916,258392.31,18.582843814128665
2017-02-01,2017,2,49978.86498143923,258392.31,19.34224164079776
2017-03-01,2017,3,50871.47642501112,258392.31,19.687689786515364
2017-04-01,2017,4,51350.07956213413,258392.31,19.87291323109969
2017-05-01,2017,5,49530.62294354893,258392.31,19.16876819730004
2017-06-01,2017,6,47982.393162475564,258392.31,18.569590233732406
2017-07-01,2017,7,49123.83867420693,258392.31,19.011339259363766
2017-08-01,2017,8,51080.672866658104,258392.31,19.76865057116371
2017-09-01,2017,9,52093.40597716798,258392.31,20.16058681358125
2017-10-01,2017,10,50611.944077516775,258392.31,19.58724858240432
2017-11-01,2017,11,48678.471698880094,258392.31,18.838978489290216
2017-12-01,2017,12,46950.28761671182,258392.31,18.17015669572822
2018-01-01,2018,1,48440.52908119517,280388.75,17.276202801002242
