date,year,month,tf_month,exports_annual,imports_annual,trade_annual,tf_pct_trade
2012-01-01,2012,1,36675.035204716085,292646.63,326134.81,618781.44,5.926977254637128
2012-02-01,2012,2,38040.01050972251,292646.63,326134.81,618781.44,6.147568115443558
2012-03-01,2012,3,38850.15464326063,292646.63,326134.81,618781.44,6.278493848047645
2012-04-01,2012,4,40313.985586733,292646.63,326134.81,618781.44,6.51506056592987
2012-05-01,2012,5,39735.16844669499,292646.63,326134.81,618781.44,6.42151911451885
2012-06-01,2012,6,38378.81696798753,292646.63,326134.81,618781.44,6.202321932601523
2012-07-01,2012,7,42022.57376760599,292646.63,326134.81,618781.44,6.7911819991895674
2012-08-01,2012,8,42835.58900071223,292646.63,326134.81,618781.44,6.9225717243090275
2012-09-01,2012,9,42828.97508981007,292646.63,326134.81,618781.44,6.921502863726822
2012-10-01,2012,10,44036.91738498638,292646.63,326134.81,618781.44,7.1167159417364525
2012-11-01,2012,11,42118.5543630669,292646.63,326134.81,618781.44,6.806693226459233
2012-12-01,2012,12,40624.57321646035,292646.63,326134.81,618781.44,6.56525399605721
2013-01-01,2013,1,41751.688992778596,290023.69,346868.81,636892.5,6.555531583866758
2013-02-01,2013,2,46613.53331124999,290023.69,346868.81,636892.5,7.318901276314289
2013-03-01,2013,3,47305.95729404163,290023.69,346868.81,636892.5,7.427620405962015
2013-04-01,2013,4,48344.73330112636,290023.69,346868.81,636892.5,7.590721087330493
2013-05-01,2013,5,49082.47856503102,290023.69,346868.81,636892.5,7.706556218675997
2013-06-01,2013,6,46173.87493044245,290023.69,346868.81,636892.5,7.249869472547164
2013-07-01,2013,7,45055.97165856043,290023.69,346868.81,636892.5,7.074344831908122
2013-08-01,2013,8,43688.26799221043,290023.69,346868.81,636892.5,6.859598439644119
2013-09-01,2013,9,44723.28405193184,290023.69,346868.81,636892.5,7.022108762771087
2013-10-01,2013,10,45830.69216068403,290023.69,346868.81,636892.5,7.195985532987755
2013-11-01,2013,11,43211.88330228233,290023.69,346868.81,636892.5,6.784800151090228
2013-12-01,2013,12,42890.99503049211,290023.69,346868.81,636892.5,6.734416723464652
2014-01-01,2014,1,42281.36873233811,270391.16,335743.47,606134.6299999999,6.975573847733814
2014-02-01,2014,2,43512.26023164871,270391.16,335743.47,606134.6299999999,7.178646141971582
2014-03-01,2014,3,45323.55285958471,270391.16,335743.47,606134.6299999999,7.477472927026908
2014-04-01,2014,4,48056.195245072646,270391.16,335743.47,606134.6299999999,7.928303856368123
