year,sector_short,tf_usd_millions
2012,Agriculture,18336.10551456862
2012,Construction,1633.6844214327887
2012,IT/Communication,2270.3939180168527
2012,Manufacturing,341255.65879531106
2012,Mining,17763.349011962087
2012,Other,20270.937418456593
2012,Transport/Logistics,5382.979898310937
2012,Wholesale/Retail,79547.2452036946
2013,Agriculture,19804.707625620926
2013,Construction,1748.9354305284826
2013,IT/Communication,813.2469540905084
2013,Manufacturing,382871.01585425617
2013,Mining,14538.359049068695
2013,Other,30489.980118384603
2013,Transport/Logistics,8622.279810127739
2013,Wholesale/Retail,85784.835748757
2014,Agriculture,20503.912320952142
2014,Construction,1486.42462285983
2014,IT/Communication,870.9286503364898
2014,Manufacturing,381412.43362883833
2014,Mining,10500.089396407888
2014,Other,36423.383236983624
2014,Transport/Logistics,10595.893255779602
2014,Wholesale/Retail,92078.52993857699
2015,Agriculture,20200.31917921993
2015,Construction,1619.3411313746467
2015,IT/Communication,1072.9869488447314
2015,Manufacturing,326358.1003623659
2015,Mining,20358.496974295263
2015,Other,29402.791368723054
2015,Transport/Logistics,9371.0445044528
2015,Wholesale/Retail,82028.52897735301
2016,Agriculture,21379.880605920745
2016,Construction,2617.094613704774
2016,IT/Communication,767.1483035444913
2016,Manufacturing,363978.15038707154
2016,Mining,39745.00403329653
2016,Other,30841.66593305178
2016,Transport/Logistics,9860.497733704466
2016,Wholesale/Retail,77739.21881430612
2017,Agriculture,23000.40668118781
2017,Construction,1961.1145418634446
2017,IT/Communication,593.8327361960131
2017,Manufacturing,407036.5905837776
2017,Mining,40608.020172059754
2017,Other,29713.98221209083
2017,Transport/Logistics,20204.223085087124
2017,Wholesale/Retail,73150.5273685088
2018,Agriculture,22590.388709693198
2018,Construction,1742.8380321172758
2018,IT/Communication,903.3370918031818
2018,Manufacturing,380114.26823689434
2018,Mining,11123.410437353294
2018,Other,29201.086684424674
2018,Transport/Logistics,38099.8737979542
2018,Wholesale/Retail,89080.72472341581
2019,Agriculture,24884.575948359754
2019,Construction,1777.1596719702252
2019,IT/Communication,972.4881611304279
2019,Manufacturing,362617.313546466
2019,Mining,13904.812722100023
2019,Other,23130.14119586864
2019,Transport/Logistics,38507.769020193366
2019,Wholesale/Retail,80173.47682157098
2020,Agriculture,20497.977640064975
2020,Construction,1507.1713802013403
2020,IT/Communication,1201.4740067092778
2020,Manufacturing,316967.7533240723
2020,Mining,7493.651509277756
2020,Other,22439.231296168666
2020,Transport/Logistics,37382.38595800954
2020,Wholesale/Retail,80396.06819120127
2021,Agriculture,23471.456502969566
2021,Construction,1620.6239265850306
2021,IT/Communication,1481.2962677298037
2021,Manufacturing,276989.10613207927
2021,Mining,5970.6033461699235
2021,Other,24702.596319022094
2021,Transport/Logistics,30023.476110789696
2021,Wholesale/Retail,95836.62638658365
2022,Agriculture,28823.32094605137
2022,Construction,2392.686860979814
2022,IT/Communication,2643.3297494547933
2022,Manufacturing,313571.90532357356
2022,Mining,5669.085035193769
2022,Other,30784.764535187544
2022,Transport/Logistics,34460.91465583349
2022,Wholesale/Retail,132707.2850666387
2023,Agriculture,31454.40416263807
2023,Construction,3510.853870629292
2023,IT/Communication,3669.149234163521
2023,Manufacturing,307413.9159461287
2023,Mining,11568.814553979408
2023,Other,36394.618085474736
2023,Transport/Logistics,37067.14946781738
2023,Wholesale/Retail,120893.95638082245
2024,Agriculture,30067.374979861106
2024,Construction,3470.3413520255995
2024,IT/Communication,2583.1990349736107
2024,Manufacturing,300826.4217369423
2024,Mining,23357.966573669994
2024,Other,32535.425057646244
2024,Transport/Logistics,39654.03908449024
2024,Wholesale/Retail,118298.03983698135
