date,year,month,accounting_system,tf_usd_millions
2022-01-01,2022,1,CMF,23601.491007137927
2022-02-01,2022,2,CMF,23741.246768609195
2022-03-01,2022,3,CMF,23732.357642333332
2022-04-01,2022,4,CMF,27647.537711268964
2022-05-01,2022,5,CMF,27104.39149496552
2022-06-01,2022,6,CMF,31530.800756144836
2022-07-01,2022,7,CMF,32256.48854776782
2022-08-01,2022,8,CMF,32465.401848862068
2022-09-01,2022,9,CMF,35202.57355926206
2022-10-01,2022,10,CMF,34284.409291629876
2022-11-01,2022,11,CMF,32343.957849820687
2022-12-01,2022,12,CMF,31807.593438043674
2023-01-01,2023,1,CMF,32184.70951037193
2023-02-01,2023,2,CMF,34642.073503560234
2023-03-01,2023,3,CMF,34445.03397047018
2023-04-01,2023,4,CMF,35452.9540420351
2023-05-01,2023,5,CMF,36167.7336319883
2023-06-01,2023,6,CMF,34885.66650083742
2023-07-01,2023,7,CMF,35839.02261832514
2023-08-01,2023,8,CMF,36878.78463707836
2023-09-01,2023,9,CMF,36978.48914955557
2023-10-01,2023,10,CMF,36335.63388114853
2023-11-01,2023,11,CMF,37502.117975483045
2023-12-01,2023,12,CMF,35659.57891359064
2024-01-01,2024,1,CMF,34930.39424263068
2024-02-01,2024,2,CMF,36163.52820265608
2024-03-01,2024,3,CMF,36540.090009100524
2024-04-01,2024,4,CMF,35880.08273918941
2024-05-01,2024,5,CMF,35418.91488998306
2024-06-01,2024,6,CMF,36062.44632879789
2024-07-01,2024,7,CMF,35761.07196733122
2024-08-01,2024,8,CMF,33696.889993326986
2024-09-01,2024,9,CMF,32780.1855699746
2024-10-01,2024,10,CMF,34721.057773333334
2024-11-01,2024,11,CMF,35794.55984490582
2024-12-01,2024,12,CMF,37202.621793847626
