date,accounting_system,hhi,hhi_ma6
2015-01-01,SBIF,1313.1167403217755,NA
2015-02-01,SBIF,1336.9525927759923,NA
2015-03-01,SBIF,1410.9414200463066,1391.2868202089605
2015-04-01,SBIF,1419.2316574646288,1413.218960138931
2015-05-01,SBIF,1432.0653656524864,1432.4209633081157
2015-06-01,SBIF,1435.4131449925744,1442.9533324625424
2015-07-01,SBIF,1444.7095799015965,1449.006710552202
2015-08-01,SBIF,1452.1646117911014,1439.5058153470443
2015-09-01,SBIF,1474.135634972866,1425.866209313301
2015-10-01,SBIF,1455.551926002587,1430.9175354824265
2015-11-01,SBIF,1375.0599944215396,1433.8854421575654
2015-12-01,SBIF,1353.5755087901155,1437.6294752204803
2016-01-01,SBIF,1475.0175369163494,1434.293915357781
2016-02-01,SBIF,1469.9720518419347,1446.6996856609974
2016-03-01,SBIF,1496.5998333503546,1453.0873360680555
2016-04-01,SBIF,1435.538566826392,1441.5134066438789
2016-05-01,SBIF,1449.4946162408362,1430.2186878737975
2016-06-01,SBIF,1391.9014112324653,1425.6452400874498
2016-07-01,SBIF,1405.57396037129,1424.8260037363814
2016-08-01,SBIF,1402.2037392214465,1424.525704387137
2016-09-01,SBIF,1469.1591466322682,1432.7170722025073
2016-10-01,SBIF,1430.6231487199805,1443.2732287015021
2016-11-01,SBIF,1447.6928201453695,1454.8399732873638
2016-12-01,SBIF,1441.0496181246863,1454.3387119742868
2017-01-01,SBIF,1468.9108993652592,1453.0641035281549
2017-02-01,SBIF,1471.6042067366159,1444.762688217338
2017-03-01,SBIF,1466.151578753807,1438.987405755911
2017-04-01,SBIF,1422.9754980431883,1432.4027254562952
2017-05-01,SBIF,1397.884328280469,1424.695348187822
2017-06-01,SBIF,1406.3979233561226,1416.2589460330184
2017-07-01,SBIF,1429.4028175675644,1413.3495862617444
2017-08-01,SBIF,1425.359943125777,1418.482711405912
2017-09-01,SBIF,1415.533165824986,1415.4921698027156
2017-10-01,SBIF,1405.5193394155424,1437.9236363055277
2017-11-01,SBIF,1428.6830791454743,1459.1472643038596
2017-12-01,SBIF,1388.4546737369444,1479.753094355401
2018-01-01,SBIF,1563.9916165844363,1499.3235974759082
2018-02-01,SBIF,1552.7017111157686,1513.6257858970384
2018-03-01,SBIF,1539.168146134234,1537.0752933196156
2018-04-01,SBIF,1522.942358138587,1535.0775981109616
2018-05-01,SBIF,1514.496209672255,1534.5045565652674
2018-06-01,SBIF,1529.1517182724074,1537.6410199774152
2018-07-01,SBIF,1552.0054453325115,1542.5741123791631
2018-08-01,SBIF,1549.2634618416037,1547.4460095079023
2018-09-01,SBIF,1557.986926607119,1550.9085574719302
2018-10-01,SBIF,1552.540912549074,1547.3124598234156
2018-11-01,SBIF,1543.7275924446903,1544.1070805069903
2018-12-01,SBIF,1549.9270060565734,1541.0617336257621
2019-01-01,SBIF,1530.4288594414245,1539.6680893883022
2019-02-01,SBIF,1530.0311859430515,1543.4002855011156
2019-03-01,SBIF,1539.7148453197506,1541.5308673866484
2019-04-01,SBIF,1544.1790471243132,1537.9573951188875
2019-05-01,SBIF,1566.1207691215695,1537.0455965025367
2019-06-01,SBIF,1538.71049736977,1535.0067710637395
2019-07-01,SBIF,1508.988025834858,1534.4201574098345
2019-08-01,SBIF,1524.5603942449472,1531.3892221356075
2019-09-01,SBIF,1527.481892686967,1532.1357500853628
2019-10-01,SBIF,1540.6593652008833,1533.5837768277854
2019-11-01,SBIF,1547.9351574762077,1533.5242105429406
2019-12-01,SBIF,1543.1896650683009,1526.2561061403696
2020-01-01,SBIF,1517.6761862893936,1517.0249212630124
2020-02-01,SBIF,1524.202996535879,1505.851419334198
2020-03-01,SBIF,1483.873266271542,1493.3003796588707
2020-04-01,SBIF,1485.2722559367396,1485.6128423562047
2020-05-01,SBIF,1480.8941459033206,1478.4344707164598
2020-06-01,SBIF,1467.8834270163375,1478.4878879512344
2020-07-01,SBIF,1471.5509624733986,1478.6590806143442
2020-08-01,SBIF,1481.1327666974103,1486.195316284746
2020-09-01,SBIF,1484.1937696801904,1495.0035691295989
2020-10-01,SBIF,1486.2994119153987,1503.5546377651788
2020-11-01,SBIF,1526.1115599257319,1513.0812857514545
2020-12-01,SBIF,1520.7329440854544,1521.4332762113709
2021-01-01,SBIF,1522.8573742868782,1526.0157442943084
2021-02-01,SBIF,1538.292654615065,1519.9277698067533
2021-03-01,SBIF,1534.3057124396892,1515.4646595009817
2021-04-01,SBIF,1513.7942204130243,1504.9693469036272
2021-05-01,SBIF,1489.5837130004002,1494.8079921269418
2021-06-01,SBIF,1493.9542822508251,1485.7688085258721
2021-07-01,SBIF,1459.885498702751,1476.95242567311
2021-08-01,SBIF,1477.3245259549535,1470.5540961225688
2021-09-01,SBIF,1480.0706108332702,1461.0197152221924
2021-10-01,SBIF,1460.8959232964503,1493.9830052958623
2021-11-01,SBIF,1451.1937356971544,1536.931572542444
2021-12-01,SBIF,1436.7479968485663,1566.0862624200947
2022-01-01,CMF,1657.6652391447706,1594.0207757182216
2022-02-01,CMF,1735.015929434443,1619.2056561846737
2022-03-01,CMF,1654.998750099175,1648.6308316054071
2022-04-01,CMF,1628.5030030852115,1646.6805101264624
2022-05-01,CMF,1602.3030184958673,1633.4073088449193
2022-06-01,CMF,1613.2990493729671,1645.6081303776193
2022-07-01,CMF,1645.963310271102,1660.3068975754225
2022-08-01,CMF,1655.3767217451839,1676.359607575294
2022-09-01,CMF,1728.203679295376,1685.1111179004702
2022-10-01,CMF,1716.6956062720299,1696.3443604438887
2022-11-01,CMF,1698.6192784950954,1703.8745126065376
2022-12-01,CMF,1665.8081113240244,1702.4766659672266
2023-01-01,CMF,1713.3627655316131,1692.5737053873306
2023-02-01,CMF,1700.5576347210765,1688.758406361837
2023-03-01,CMF,1719.8165994595108,1687.9010004187494
2023-04-01,CMF,1657.2778427926544,1671.5608976892554
2023-05-01,CMF,1675.7274843421344,1659.9902089785928
2023-06-01,CMF,1660.6636756654987,1645.7584071035405
2023-07-01,CMF,1615.3221491546485,1640.552486837809
2023-08-01,CMF,1631.1335024571003,1636.2916479764392
2023-09-01,CMF,1634.4257882091958,1637.6855002117636
2023-10-01,CMF,1626.0423211982659,1630.6524877382296
2023-11-01,CMF,1650.1624511739158,1623.448857557155
2023-12-01,CMF,1669.0267890774444,1616.6866510942139
2024-01-01,CMF,1573.1240743134451,1609.8991096491125
2024-02-01,CMF,1587.9117213706531,1594.0332758649984
2024-03-01,CMF,1593.8525494315497,1574.7090739886207
2024-04-01,CMF,1585.3170725276566,1569.4884164609803
2024-05-01,CMF,1554.9674484692312,1564.2155811430912
2024-06-01,CMF,1553.0815778191786,1552.901303456775
2024-07-01,CMF,1541.8001291476028,1535.646281370816
2024-08-01,CMF,1556.2747094633185,1524.6690585419312
2024-09-01,CMF,1525.9668833136511,1510.6555535053033
2024-10-01,CMF,1481.7869400119046,NA
2024-11-01,CMF,1489.104111495923,NA
2024-12-01,CMF,1469.0005475994105,NA
