date,year,month,lc_usd_millions
2022-01-01,2022,1,2231.909892878161
2022-02-01,2022,2,2207.5083907678163
2022-03-01,2022,3,2241.8830284942533
2022-04-01,2022,4,2397.9785842505744
2022-05-01,2022,5,2289.135136331034
2022-06-01,2022,6,2634.2015780919537
2022-07-01,2022,7,2739.4256670413793
2022-08-01,2022,8,2659.0889166091956
2022-09-01,2022,9,2844.704305291954
2022-10-01,2022,10,2986.216911351725
2022-11-01,2022,11,2728.827571287357
2022-12-01,2022,12,2461.9762219816093
2023-01-01,2023,1,2268.924516975439
2023-02-01,2023,2,2258.770224044445
2023-03-01,2023,3,2188.766469597661
2023-04-01,2023,4,2139.462678923977
2023-05-01,2023,5,2156.823439831579
2023-06-01,2023,6,2104.7478808865494
2023-07-01,2023,7,2177.2396851859644
2023-08-01,2023,8,2276.978120100585
2023-09-01,2023,9,2495.2734048
2023-10-01,2023,10,2493.4442839321637
2023-11-01,2023,11,2417.2161492959067
2023-12-01,2023,12,2376.797955719298
2024-01-01,2024,1,2300.044356097355
2024-02-01,2024,2,2157.819028933333
2024-03-01,2024,3,2188.8914913735453
2024-04-01,2024,4,2075.001135506878
2024-05-01,2024,5,1873.1255231047624
2024-06-01,2024,6,1952.7192253544972
2024-07-01,2024,7,2065.945314031746
2024-08-01,2024,8,2001.397258137566
2024-09-01,2024,9,2010.4964261206349
2024-10-01,2024,10,2300.8298442116397
2024-11-01,2024,11,2521.7761309671964
2024-12-01,2024,12,2586.6928108084658
