date,year,month,lc_usd_millions,total_liab_usd_millions,lc_pct_liabilities
2022-01-01,2022,1,2231.909892878161,2251687.0139162755,0.09912167539645232
2022-02-01,2022,2,2207.5083907678163,2274837.175574759,0.09704028114496013
2022-03-01,2022,3,2241.8830284942533,2337278.4622577582,0.09591852510071243
2022-04-01,2022,4,2397.9785842505744,2384373.994331297,0.10057057281918111
2022-05-01,2022,5,2289.135136331034,2348032.573809718,0.09749162604745633
2022-06-01,2022,6,2634.2015780919537,2529434.0761997113,0.10414193446977073
2022-07-01,2022,7,2739.4256670413793,2549682.691890552,0.10744182700672199
2022-08-01,2022,8,2659.0889166091956,2553462.2990297657,0.1041366037642132
2022-09-01,2022,9,2844.704305291954,2620486.550500316,0.10855634060586301
2022-10-01,2022,10,2986.216911351725,2575269.5880681383,0.1159574486953757
2022-11-01,2022,11,2728.827571287357,2545824.101838483,0.10718837838469347
2022-12-01,2022,12,2461.9762219816093,2541082.673924809,0.0968868997158201
2023-01-01,2023,1,2268.924516975439,2566723.3176423297,0.0883977054082933
2023-02-01,2023,2,2258.770224044445,2609750.019047889,0.08655121017562091
2023-03-01,2023,3,2188.766469597661,2583826.634571937,0.0847102681082268
2023-04-01,2023,4,2139.462678923977,2589851.331541819,0.08260947850046235
2023-05-01,2023,5,2156.823439831579,2567793.8312084978,0.08399519516006076
2023-06-01,2023,6,2104.7478808865494,2549311.730408835,0.08256141670634408
2023-07-01,2023,7,2177.2396851859644,2588885.433640898,0.08409949922442057
2023-08-01,2023,8,2276.978120100585,2579011.301148954,0.08828879962977236
2023-09-01,2023,9,2495.2734048,2624884.900964856,0.09506220268487912
2023-10-01,2023,10,2493.4442839321637,2648995.8140792977,0.09412790577771454
2023-11-01,2023,11,2417.2161492959067,2597906.1212764694,0.093044784393834
2023-12-01,2023,12,2376.797955719298,2592840.8200400495,0.0916677158639683
2024-01-01,2024,1,2300.044356097355,2429225.415000838,0.09468221194683002
2024-02-01,2024,2,2157.819028933333,2468399.545618039,0.0874177372445212
2024-03-01,2024,3,2188.8914913735453,2480295.335201747,0.08825124412837317
2024-04-01,2024,4,2075.001135506878,2369936.744663003,0.08755512737543282
2024-05-01,2024,5,1873.1255231047624,2317246.531540661,0.08083410623812144
2024-06-01,2024,6,1952.7192253544972,2326517.1839432255,0.08393315290475627
2024-07-01,2024,7,2065.945314031746,2278257.262712299,0.09068094933107808
2024-08-01,2024,8,2001.397258137566,2245906.9547042856,0.08911309767065066
2024-09-01,2024,9,2010.4964261206349,2255887.786753823,0.08912218231447135
2024-10-01,2024,10,2300.8298442116397,2302813.946359402,0.0999138401019805
2024-11-01,2024,11,2521.7761309671964,2301377.770855511,0.10957680059757226
2024-12-01,2024,12,2586.6928108084658,2318776.2918385006,0.11155422021145217
