date,year,month,tf_month,exports_annual,tf_pct_exports
2022-01-01,2022,1,23601.491007137927,107323.32,21.991018361282457
2022-02-01,2022,2,23741.246768609195,107323.32,22.121237740883522
2022-03-01,2022,3,23732.357642333332,107323.32,22.112955173519914
2022-04-01,2022,4,27647.537711268964,107323.32,25.760978798707455
2022-05-01,2022,5,27104.39149496552,107323.32,25.254894737663275
2022-06-01,2022,6,31530.800756144836,107323.32,29.379263291654446
2022-07-01,2022,7,32256.48854776782,107323.32,30.055433010987564
2022-08-01,2022,8,32465.401848862068,107323.32,30.250090892512517
2022-09-01,2022,9,35202.57355926206,107323.32,32.8004888026778
2022-10-01,2022,10,34284.409291629876,107323.32,31.944976442799078
2022-11-01,2022,11,32343.957849820687,107323.32,30.136933752907275
2022-12-01,2022,12,31807.593438043674,107323.32,29.637168732800728
2023-01-01,2023,1,32184.70951037193,105010.55,30.649024798338765
2023-02-01,2023,2,34642.073503560234,105010.55,32.98913633302581
2023-03-01,2023,3,34445.03397047018,105010.55,32.801498487980666
2023-04-01,2023,4,35452.9540420351,105010.55,33.761325925857065
2023-05-01,2023,5,36167.7336319883,105010.55,34.44200000094115
2023-06-01,2023,6,34885.66650083742,105010.55,33.22110635630174
2023-07-01,2023,7,35839.02261832514,105010.55,34.12897334441648
2023-08-01,2023,8,36878.78463707836,105010.55,35.11912339958067
2023-09-01,2023,9,36978.48914955557,105010.55,35.21407053820361
2023-10-01,2023,10,36335.63388114853,105010.55,34.60188893511036
2023-11-01,2023,11,37502.117975483045,105010.55,35.712714556283196
2023-12-01,2023,12,35659.57891359064,105010.55,33.958091747534546
2024-01-01,2024,1,34930.39424263068,110754.24,31.538651922157275
2024-02-01,2024,2,36163.52820265608,110754.24,32.65204853796666
2024-03-01,2024,3,36540.090009100524,110754.24,32.99204618179902
2024-04-01,2024,4,35880.08273918941,110754.24,32.39612563743782
2024-05-01,2024,5,35418.91488998306,110754.24,31.97973720011357
2024-06-01,2024,6,36062.44632879789,110754.24,32.560781717068245
2024-07-01,2024,7,35761.07196733122,110754.24,32.28867081506876
2024-08-01,2024,8,33696.889993326986,110754.24,30.424920972169538
2024-09-01,2024,9,32780.1855699746,110754.24,29.59722857560541
2024-10-01,2024,10,34721.057773333334,110754.24,31.34964203025846
2024-11-01,2024,11,35794.55984490582,110754.24,32.318907018734286
2024-12-01,2024,12,37202.621793847626,110754.24,33.59024611053051
