date,year,month,tf_month,exports_annual,imports_annual,trade_annual,tf_pct_trade
2022-01-01,2022,1,23601.491007137927,107323.32,119179.23,226502.55,10.419967018975251
2022-02-01,2022,2,23741.246768609195,107323.32,119179.23,226502.55,10.481668647266531
2022-03-01,2022,3,23732.357642333332,107323.32,119179.23,226502.55,10.477744132387619
2022-04-01,2022,4,27647.537711268964,107323.32,119179.23,226502.55,12.206280993864734
2022-05-01,2022,5,27104.39149496552,107323.32,119179.23,226502.55,11.966484039568439
2022-06-01,2022,6,31530.800756144836,107323.32,119179.23,226502.55,13.920726612634091
2022-07-01,2022,7,32256.48854776782,107323.32,119179.23,226502.55,14.241114966594337
2022-08-01,2022,8,32465.401848862068,107323.32,119179.23,226502.55,14.333349381215385
2022-09-01,2022,9,35202.57355926206,107323.32,119179.23,226502.55,15.54180010744341
2022-10-01,2022,10,34284.409291629876,107323.32,119179.23,226502.55,15.13643413358034
2022-11-01,2022,11,32343.957849820687,107323.32,119179.23,226502.55,14.279732325230196
2022-12-01,2022,12,31807.593438043674,107323.32,119179.23,226502.55,14.04292951140889
2023-01-01,2023,1,32184.70951037193,105010.55,100597.98,205608.53,15.653392157597706
2023-02-01,2023,2,34642.073503560234,105010.55,100597.98,205608.53,16.84855852213925
2023-03-01,2023,3,34445.03397047018,105010.55,100597.98,205608.53,16.752726149284847
2023-04-01,2023,4,35452.9540420351,105010.55,100597.98,205608.53,17.24293930900391
2023-05-01,2023,5,36167.7336319883,105010.55,100597.98,205608.53,17.590580328543908
2023-06-01,2023,6,34885.66650083742,105010.55,100597.98,205608.53,16.967032691122988
2023-07-01,2023,7,35839.02261832514,105010.55,100597.98,205608.53,17.4307080636806
2023-08-01,2023,8,36878.78463707836,105010.55,100597.98,205608.53,17.936407909281954
2023-09-01,2023,9,36978.48914955557,105010.55,100597.98,205608.53,17.984900310096847
2023-10-01,2023,10,36335.63388114853,105010.55,100597.98,205608.53,17.672240485912006
2023-11-01,2023,11,37502.117975483045,105010.55,100597.98,205608.53,18.239573025245132
2023-12-01,2023,12,35659.57891359064,105010.55,100597.98,205608.53,17.343433618046216
2024-01-01,2024,1,34930.39424263068,110754.24,97639.094,208393.334,16.761761795428008
2024-02-01,2024,2,36163.52820265608,110754.24,97639.094,208393.334,17.353495674989336
2024-03-01,2024,3,36540.090009100524,110754.24,97639.094,208393.334,17.534193300588264
2024-04-01,2024,4,35880.08273918941,110754.24,97639.094,208393.334,17.217481025179726
2024-05-01,2024,5,35418.91488998306,110754.24,97639.094,208393.334,16.996184191756853
2024-06-01,2024,6,36062.44632879789,110754.24,97639.094,208393.334,17.30499034522759
2024-07-01,2024,7,35761.07196733122,110754.24,97639.094,208393.334,17.160372302182765
2024-08-01,2024,8,33696.889993326986,110754.24,97639.094,208393.334,16.169850228187716
2024-09-01,2024,9,32780.1855699746,110754.24,97639.094,208393.334,15.729958795118945
2024-10-01,2024,10,34721.057773333334,110754.24,97639.094,208393.334,16.661309220828212
2024-11-01,2024,11,35794.55984490582,110754.24,97639.094,208393.334,17.176441855335845
2024-12-01,2024,12,37202.621793847626,110754.24,97639.094,208393.334,17.852116994225746
