date,categoria_label,tf_usd_millions
2022-01-01,Exports,10563.28377031724
2022-01-01,Guarantees,5691.371350728736
2022-01-01,Imports,7127.1801154
2022-01-01,Interbank Foreign,111.16070657471263
2022-01-01,Letters of Credit,14.871727091954025
2022-01-01,Third Countries,93.62333702528736
2022-02-01,Exports,10088.080296154021
2022-02-01,Guarantees,5864.454984133334
2022-02-01,Imports,7222.687086689655
2022-02-01,Interbank Foreign,456.88943950574713
2022-02-01,Letters of Credit,11.937044606896553
2022-02-01,Third Countries,97.19791751954023
2022-03-01,Exports,10287.204456326439
2022-03-01,Guarantees,5526.470733289654
2022-03-01,Imports,7237.643574174713
2022-03-01,Interbank Foreign,539.3004307149425
2022-03-01,Letters of Credit,12.06160416321839
2022-03-01,Third Countries,129.67684366436782
2022-04-01,Exports,12409.698844154023
2022-04-01,Guarantees,6387.902307211494
2022-04-01,Imports,7853.3279456
2022-04-01,Interbank Foreign,757.2795174183908
2022-04-01,Letters of Credit,14.27964864137931
2022-04-01,Third Countries,225.04944824367817
2022-05-01,Exports,12247.15083436322
2022-05-01,Guarantees,6537.39218471954
2022-05-01,Imports,7753.287006156323
2022-05-01,Interbank Foreign,99.93340636551724
2022-05-01,Letters of Credit,13.018306597701152
2022-05-01,Third Countries,453.60975676321846
2022-06-01,Exports,13284.312311487356
2022-06-01,Guarantees,7702.521450816092
2022-06-01,Imports,9113.87158218161
2022-06-01,Interbank Foreign,596.2040829977012
2022-06-01,Letters of Credit,13.446136351724139
2022-06-01,Third Countries,820.4451923103449
2022-07-01,Exports,12782.679488275862
2022-07-01,Guarantees,8586.560523496551
2022-07-01,Imports,9307.482028740229
2022-07-01,Interbank Foreign,574.1240796873562
2022-07-01,Letters of Credit,12.724428866666667
2022-07-01,Third Countries,992.9179987011495
2022-08-01,Exports,12513.224607383909
2022-08-01,Guarantees,8782.792315565517
2022-08-01,Imports,9518.928602080461
2022-08-01,Interbank Foreign,553.7657208712643
2022-08-01,Letters of Credit,10.295528708045977
2022-08-01,Third Countries,1086.3950742528737
2022-09-01,Exports,13074.657757832185
2022-09-01,Guarantees,10348.498087995404
2022-09-01,Imports,10520.919588239083
2022-09-01,Interbank Foreign,102.51679165287356
2022-09-01,Letters of Credit,9.763115491954022
2022-09-01,Third Countries,1146.2182180505747
2022-10-01,Exports,13426.060519066668
2022-10-01,Guarantees,9367.922163937928
2022-10-01,Imports,10277.796756266667
2022-10-01,Interbank Foreign,131.27331349655174
2022-10-01,Letters of Credit,8.64308331724138
2022-10-01,Third Countries,1072.7134555448276
2022-11-01,Exports,12684.719139590801
2022-11-01,Guarantees,8461.585180871265
2022-11-01,Imports,9628.200120354024
2022-11-01,Interbank Foreign,401.1359321402299
2022-11-01,Letters of Credit,8.203759268965516
2022-11-01,Third Countries,1160.1137175954022
2022-12-01,Exports,12794.887071448276
2022-12-01,Guarantees,8833.400310832181
2022-12-01,Imports,9028.578362177012
2022-12-01,Interbank Foreign,229.01145984597701
2022-12-01,Letters of Credit,8.1668762091954
2022-12-01,Third Countries,913.5493575310345
2023-01-01,Exports,13186.253110921636
2023-01-01,Guarantees,9764.091998280703
2023-01-01,Imports,8418.888227338011
2023-01-01,Interbank Foreign,110.3931318877193
2023-01-01,Letters of Credit,6.8733182479532164
