date,year,month,lc_usd_millions,n_banks
2022-01-01,2022,1,272.0901754492896,49
2022-02-01,2022,2,442.9655655460601,49
2022-03-01,2022,3,315.567679933681,49
2022-04-01,2022,4,594.9707692954731,49
2022-05-01,2022,5,677.6151351930193,49
2022-06-01,2022,6,464.8386799761819,49
2022-07-01,2022,7,400.9812335011631,49
2022-08-01,2022,8,459.4307878981715,50
2022-09-01,2022,9,484.5896597233305,50
2022-10-01,2022,10,476.05415413555824,50
2022-11-01,2022,11,461.74526437774864,50
2022-12-01,2022,12,410.8518010050879,50
2023-01-01,2023,1,383.29782266383484,50
2023-02-01,2023,2,419.64089084570975,50
2023-03-01,2023,3,483.3352265697148,50
2023-04-01,2023,4,480.0583628542029,50
2023-05-01,2023,5,504.6329280789273,50
2023-06-01,2023,6,522.3653656952907,50
2023-07-01,2023,7,542.7640204681547,49
2023-08-01,2023,8,516.5889629078039,49
2023-09-01,2023,9,491.4890666528559,49
2023-10-01,2023,10,516.6250844494115,49
2023-11-01,2023,11,530.9642381425919,49
2023-12-01,2023,12,532.3418959244684,49
2024-01-01,2024,1,549.7060281437682,50
2024-02-01,2024,2,508.2868549292228,50
2024-03-01,2024,3,500.42715379841667,50
2024-04-01,2024,4,447.4035405049195,50
2024-05-01,2024,5,476.052590898525,50
2024-06-01,2024,6,451.9726096385208,50
2024-07-01,2024,7,455.35220310141386,50
2024-08-01,2024,8,466.1129027133544,50
2024-09-01,2024,9,474.08022593407685,50
2024-10-01,2024,10,487.1762676491448,50
2024-11-01,2024,11,504.3294910149726,51
2024-12-01,2024,12,518.7099901086918,51
2025-01-01,2025,1,483.4664174929625,51
2025-02-01,2025,2,441.0927819627278,52
2025-03-01,2025,3,491.42815549162833,52
2025-04-01,2025,4,523.690726715818,52
2025-05-01,2025,5,456.92379228839036,52
2025-06-01,2025,6,403.29532367621516,52
2025-07-01,2025,7,413.85327802730734,52
2025-08-01,2025,8,421.2580021354045,52
