bank_type_simple,date,year,month,lc_usd_millions,n_banks
Domestic,2022-01-01,2022,1,272.0901754492896,40
Domestic,2022-02-01,2022,2,442.9655655460601,40
Domestic,2022-03-01,2022,3,315.567679933681,40
Domestic,2022-04-01,2022,4,594.1016585841394,40
Domestic,2022-05-01,2022,5,676.6723648003472,40
Domestic,2022-06-01,2022,6,463.9142227664164,40
Domestic,2022-07-01,2022,7,400.0746096261619,40
Domestic,2022-08-01,2022,8,458.5067837970437,40
Domestic,2022-09-01,2022,9,483.0851014197916,40
Domestic,2022-10-01,2022,10,474.52358271418854,40
Domestic,2022-11-01,2022,11,458.46017449417815,40
Domestic,2022-12-01,2022,12,407.54872789608294,40
Domestic,2023-01-01,2023,1,379.9769000675991,40
Domestic,2023-02-01,2023,2,416.9130707362669,40
Domestic,2023-03-01,2023,3,480.591825281687,40
Domestic,2023-04-01,2023,4,477.99525173940293,40
Domestic,2023-05-01,2023,5,503.5796053944935,40
Domestic,2023-06-01,2023,6,521.3170005359656,40
Domestic,2023-07-01,2023,7,541.3888477040485,39
Domestic,2023-08-01,2023,8,515.1970982624908,39
Domestic,2023-09-01,2023,9,488.31069195436845,39
Domestic,2023-10-01,2023,10,512.4634932636984,39
Domestic,2023-11-01,2023,11,528.560155963282,39
Domestic,2023-12-01,2023,12,528.201378092166,39
Domestic,2024-01-01,2024,1,541.4173174499371,40
Domestic,2024-02-01,2024,2,491.8948300764928,40
Domestic,2024-03-01,2024,3,484.1131934314662,40
Domestic,2024-04-01,2024,4,434.5352617905938,40
Domestic,2024-05-01,2024,5,463.4432339663716,40
Domestic,2024-06-01,2024,6,439.82288454288647,40
Domestic,2024-07-01,2024,7,443.0802579462361,40
Domestic,2024-08-01,2024,8,455.0466028566671,40
Domestic,2024-09-01,2024,9,463.16810744154026,40
Domestic,2024-10-01,2024,10,476.3047441006352,40
Domestic,2024-11-01,2024,11,493.04272358245214,41
Domestic,2024-12-01,2024,12,490.5937564739026,41
Domestic,2025-01-01,2025,1,456.3921547008175,41
Domestic,2025-02-01,2025,2,413.41398419401185,42
Domestic,2025-03-01,2025,3,462.81460735301374,42
Domestic,2025-04-01,2025,4,494.57977026460884,42
Domestic,2025-05-01,2025,5,425.7969519857205,42
Domestic,2025-06-01,2025,6,371.57556437955185,42
Domestic,2025-07-01,2025,7,380.9592734179981,42
Domestic,2025-08-01,2025,8,391.16363844640273,42
Foreign,2022-01-01,2022,1,0,9
Foreign,2022-02-01,2022,2,0,9
Foreign,2022-03-01,2022,3,0,9
Foreign,2022-04-01,2022,4,0.86911071133369,9
Foreign,2022-05-01,2022,5,0.942770392672161,9
Foreign,2022-06-01,2022,6,0.9244572097654711,9
Foreign,2022-07-01,2022,7,0.906623875001227,9
Foreign,2022-08-01,2022,8,0.92400410112781,10
Foreign,2022-09-01,2022,9,1.50455830353889,10
Foreign,2022-10-01,2022,10,1.5305714213697,10
Foreign,2022-11-01,2022,11,3.28508988357051,10
Foreign,2022-12-01,2022,12,3.30307310900498,10
Foreign,2023-01-01,2023,1,3.32092259623574,10
Foreign,2023-02-01,2023,2,2.72782010944284,10
Foreign,2023-03-01,2023,3,2.74340128802775,10
Foreign,2023-04-01,2023,4,2.0631111148000003,10
Foreign,2023-05-01,2023,5,1.05332268443381,10
Foreign,2023-06-01,2023,6,1.0483651593252101,10
Foreign,2023-07-01,2023,7,1.37517276410618,10
Foreign,2023-08-01,2023,8,1.3918646453130001,10
Foreign,2023-09-01,2023,9,3.17837469848747,10
Foreign,2023-10-01,2023,10,4.161591185713021,10
Foreign,2023-11-01,2023,11,2.4040821793098597,10
Foreign,2023-12-01,2023,12,4.14051783230237,10
Foreign,2024-01-01,2024,1,8.28871069383113,10
Foreign,2024-02-01,2024,2,16.39202485273,10
Foreign,2024-03-01,2024,3,16.3139603669505,10
Foreign,2024-04-01,2024,4,12.8682787143257,10
Foreign,2024-05-01,2024,5,12.6093569321534,10
Foreign,2024-06-01,2024,6,12.1497250956343,10
Foreign,2024-07-01,2024,7,12.2719451551778,10
Foreign,2024-08-01,2024,8,11.0662998566873,10
Foreign,2024-09-01,2024,9,10.91211849253658,10
Foreign,2024-10-01,2024,10,10.871523548509552,10
Foreign,2024-11-01,2024,11,11.28676743252044,10
Foreign,2024-12-01,2024,12,28.1162336347893,10
Foreign,2025-01-01,2025,1,27.074262792145,10
Foreign,2025-02-01,2025,2,27.678797768716002,10
Foreign,2025-03-01,2025,3,28.6135481386146,10
Foreign,2025-04-01,2025,4,29.1109564512091,10
Foreign,2025-05-01,2025,5,31.126840302669798,10
Foreign,2025-06-01,2025,6,31.719759296663298,10
Foreign,2025-07-01,2025,7,32.894004609309306,10
Foreign,2025-08-01,2025,8,30.094363689001803,10
