date,year,month,lc_month,exports_annual,lc_pct_exports
2022-01-01,2022,1,272.0901754492896,626158.63,0.04345387293460917
2022-02-01,2022,2,442.9655655460601,626158.63,0.07074334590678086
2022-03-01,2022,3,315.567679933681,626158.63,0.050397401682969856
2022-04-01,2022,4,594.9707692954731,626158.63,0.09501917577906306
2022-05-01,2022,5,677.6151351930193,626158.63,0.10821780659527433
2022-06-01,2022,6,464.8386799761819,626158.63,0.07423656845170079
2022-07-01,2022,7,400.9812335011631,626158.63,0.06403828267944867
2022-08-01,2022,8,459.4307878981715,626158.63,0.07337290678213147
2022-09-01,2022,9,484.5896597233305,626158.63,0.07739087772747466
2022-10-01,2022,10,476.05415413555824,626158.63,0.07602772385897776
2022-11-01,2022,11,461.74526437774864,626158.63,0.07374253779393708
2022-12-01,2022,12,410.8518010050879,626158.63,0.06561465119551062
2023-01-01,2023,1,383.29782266383484,644216.13,0.05949832747339543
2023-02-01,2023,2,419.64089084570975,644216.13,0.06513976774311903
2023-03-01,2023,3,483.3352265697148,644216.13,0.07502687437672739
2023-04-01,2023,4,480.0583628542029,644216.13,0.07451821531606216
2023-05-01,2023,5,504.6329280789273,644216.13,0.07833286137665124
2023-06-01,2023,6,522.3653656952907,644216.13,0.0810854217039382
2023-07-01,2023,7,542.7640204681547,644216.13,0.08425185200937996
2023-08-01,2023,8,516.5889629078039,644216.13,0.08018876567213613
2023-09-01,2023,9,491.4890666528559,644216.13,0.07629257383742563
2023-10-01,2023,10,516.6250844494115,644216.13,0.08019437272540994
2023-11-01,2023,11,530.9642381425919,644216.13,0.0824202023849654
2023-12-01,2023,12,532.3418959244684,644216.13,0.08263405263144659
2024-01-01,2024,1,549.7060281437682,628564,0.08745426530055303
2024-02-01,2024,2,508.2868549292228,628564,0.08086477350424504
2024-03-01,2024,3,500.42715379841667,628564,0.07961435172845036
2024-04-01,2024,4,447.4035405049195,628564,0.07117867719196763
2024-05-01,2024,5,476.052590898525,628564,0.07573653452926433
2024-06-01,2024,6,451.9726096385208,628564,0.0719055831448382
2024-07-01,2024,7,455.35220310141386,628564,0.07244325209547697
2024-08-01,2024,8,466.1129027133544,628564,0.07415520181132779
2024-09-01,2024,9,474.08022593407685,628564,0.07542274548559524
2024-10-01,2024,10,487.1762676491448,628564,0.07750623129055192
2024-11-01,2024,11,504.3294910149726,628564,0.08023518544093722
2024-12-01,2024,12,518.7099901086918,628564,0.08252301915297278
2025-01-01,2025,1,483.4664174929625,607813.25,0.07954193454864014
2025-02-01,2025,2,441.0927819627278,607813.25,0.07257044527455231
2025-03-01,2025,3,491.42815549162833,607813.25,0.08085183327142478
2025-04-01,2025,4,523.690726715818,607813.25,0.0861598075915288
2025-05-01,2025,5,456.92379228839036,607813.25,0.07517502987774459
2025-06-01,2025,6,403.29532367621516,607813.25,0.0663518479855803
2025-07-01,2025,7,413.85327802730734,607813.25,0.06808888717501754
2025-08-01,2025,8,421.2580021354045,607813.25,0.0693071436227171
