date,year,month,lc_month,exports_annual,imports_annual,trade_annual,lc_pct_trade
2022-01-01,2022,1,272.0901754492896,626158.63,668987.06,1295145.69,0.021008460866614134
2022-02-01,2022,2,442.9655655460601,626158.63,668987.06,1295145.69,0.03420198738769382
2022-03-01,2022,3,315.567679933681,626158.63,668987.06,1295145.69,0.02436541945591318
2022-04-01,2022,4,594.9707692954731,626158.63,668987.06,1295145.69,0.04593852057643594
2022-05-01,2022,5,677.6151351930193,626158.63,668987.06,1295145.69,0.052319607008306485
2022-06-01,2022,6,464.8386799761819,626158.63,668987.06,1295145.69,0.03589084097374264
2022-07-01,2022,7,400.9812335011631,626158.63,668987.06,1295145.69,0.030960318719136775
2022-08-01,2022,8,459.4307878981715,626158.63,668987.06,1295145.69,0.035473290105159636
2022-09-01,2022,9,484.5896597233305,626158.63,668987.06,1295145.69,0.037415841589476355
2022-10-01,2022,10,476.05415413555824,626158.63,668987.06,1295145.69,0.03675680333195243
2022-11-01,2022,11,461.74526437774864,626158.63,668987.06,1295145.69,0.035651994053097505
2022-12-01,2022,12,410.8518010050879,626158.63,668987.06,1295145.69,0.03172243896399701
2023-01-01,2023,1,383.29782266383484,644216.13,665599.13,1309815.26,0.02926350259988839
2023-02-01,2023,2,419.64089084570975,644216.13,665599.13,1309815.26,0.03203817390596822
2023-03-01,2023,3,483.3352265697148,644216.13,665599.13,1309815.26,0.03690102271137952
2023-04-01,2023,4,480.0583628542029,644216.13,665599.13,1309815.26,0.03665084516225616
2023-05-01,2023,5,504.6329280789273,644216.13,665599.13,1309815.26,0.03852703075691204
2023-06-01,2023,6,522.3653656952907,644216.13,665599.13,1309815.26,0.03988084286751177
2023-07-01,2023,7,542.7640204681547,644216.13,665599.13,1309815.26,0.041438211711486296
2023-08-01,2023,8,516.5889629078039,644216.13,665599.13,1309815.26,0.039439833897476795
2023-09-01,2023,9,491.4890666528559,644216.13,665599.13,1309815.26,0.037523541041418
2023-10-01,2023,10,516.6250844494115,644216.13,665599.13,1309815.26,0.03944259165597227
2023-11-01,2023,11,530.9642381425919,644216.13,665599.13,1309815.26,0.04053733792524236
2023-12-01,2023,12,532.3418959244684,644216.13,665599.13,1309815.26,0.040642517474141236
2024-01-01,2024,1,549.7060281437682,628564,656436.94,1285000.94,0.042778647939648064
2024-02-01,2024,2,508.2868549292228,628564,656436.94,1285000.94,0.0395553683353121
2024-03-01,2024,3,500.42715379841667,628564,656436.94,1285000.94,0.03894371888929643
2024-04-01,2024,4,447.4035405049195,628564,656436.94,1285000.94,0.03481737067872647
2024-05-01,2024,5,476.052590898525,628564,656436.94,1285000.94,0.03704686713291626
2024-06-01,2024,6,451.9726096385208,628564,656436.94,1285000.94,0.035172940001002705
2024-07-01,2024,7,455.35220310141386,628564,656436.94,1285000.94,0.035435943190937576
2024-08-01,2024,8,466.1129027133544,628564,656436.94,1285000.94,0.03627335110847113
2024-09-01,2024,9,474.08022593407685,628564,656436.94,1285000.94,0.03689337580827582
2024-10-01,2024,10,487.1762676491448,628564,656436.94,1285000.94,0.037912522277932716
2024-11-01,2024,11,504.3294910149726,628564,656436.94,1285000.94,0.039247402497228724
2024-12-01,2024,12,518.7099901086918,628564,656436.94,1285000.94,0.04036650666642251
2025-01-01,2025,1,483.4664174929625,607813.25,627627.63,1235440.88,0.039133108295150675
2025-02-01,2025,2,441.0927819627278,607813.25,627627.63,1235440.88,0.03570326910039822
2025-03-01,2025,3,491.42815549162833,607813.25,627627.63,1235440.88,0.039777553377675856
2025-04-01,2025,4,523.690726715818,607813.25,627627.63,1235440.88,0.04238897507712534
2025-05-01,2025,5,456.92379228839036,607813.25,627627.63,1235440.88,0.03698467483837757
2025-06-01,2025,6,403.29532367621516,607813.25,627627.63,1235440.88,0.032643838341840786
2025-07-01,2025,7,413.85327802730734,607813.25,627627.63,1235440.88,0.03349842835274379
2025-08-01,2025,8,421.2580021354045,607813.25,627627.63,1235440.88,0.0340977871911932
