"date","bank_type","tf_usd_millions"
2010-10-01,"Consumer/Retail",0
2010-10-01,"Foreign",776.423931702348
2010-10-01,"Large Domestic",1139.25004744987
2010-10-01,"Other Domestic",1118.04799219772
2010-11-01,"Consumer/Retail",0
2010-11-01,"Foreign",762.883374292469
2010-11-01,"Large Domestic",1223.23353322394
2010-11-01,"Other Domestic",1116.24833847837
2010-12-01,"Consumer/Retail",0
2010-12-01,"Foreign",756.590113002456
2010-12-01,"Large Domestic",1263.23865739666
2010-12-01,"Other Domestic",1079.32052983943
2011-01-01,"Consumer/Retail",0
2011-01-01,"Foreign",743.069714659308
2011-01-01,"Large Domestic",1189.10203555171
2011-01-01,"Other Domestic",1086.7771664791
2011-02-01,"Consumer/Retail",0
2011-02-01,"Foreign",723.115108926447
2011-02-01,"Large Domestic",1194.65381634654
2011-02-01,"Other Domestic",1085.44173768785
2011-03-01,"Consumer/Retail",0
2011-03-01,"Foreign",798.051823810883
2011-03-01,"Large Domestic",1255.57947529416
2011-03-01,"Other Domestic",1096.45437307281
2011-04-01,"Consumer/Retail",0
2011-04-01,"Foreign",827.00735277128
2011-04-01,"Large Domestic",1256.0603114714
2011-04-01,"Other Domestic",1270.6033181976
2011-05-01,"Consumer/Retail",0
2011-05-01,"Foreign",832.574355647055
2011-05-01,"Large Domestic",1417.60904706541
2011-05-01,"Other Domestic",1449.30248782822
2011-06-01,"Consumer/Retail",0
2011-06-01,"Foreign",739.525360195693
2011-06-01,"Large Domestic",1413.19897469082
2011-06-01,"Other Domestic",1379.55555406664
2011-07-01,"Consumer/Retail",0
2011-07-01,"Foreign",850.678239774386
2011-07-01,"Large Domestic",1450.78808576227
2011-07-01,"Other Domestic",1320.97704583455
2011-08-01,"Consumer/Retail",0
2011-08-01,"Foreign",842.11080509003
2011-08-01,"Large Domestic",1442.7113765888
2011-08-01,"Other Domestic",1241.61722778246
2011-09-01,"Consumer/Retail",0
2011-09-01,"Foreign",800.818505393518
2011-09-01,"Large Domestic",1340.87084554206
2011-09-01,"Other Domestic",1165.43595410102
2011-10-01,"Consumer/Retail",0
2011-10-01,"Foreign",724.747741114108
2011-10-01,"Large Domestic",1305.24047004174
2011-10-01,"Other Domestic",1164.39585282036
2011-11-01,"Consumer/Retail",0
2011-11-01,"Foreign",673.50805911144
2011-11-01,"Large Domestic",1275.0270200037
2011-11-01,"Other Domestic",1153.17274478341
2011-12-01,"Consumer/Retail",0
2011-12-01,"Foreign",691.70921577796
2011-12-01,"Large Domestic",1361.00997332394
2011-12-01,"Other Domestic",1169.73473497849
2012-01-01,"Consumer/Retail",0
2012-01-01,"Foreign",698.784166838935
2012-01-01,"Large Domestic",1251.51535836184
2012-01-01,"Other Domestic",1182.02249864664
2012-02-01,"Consumer/Retail",0
2012-02-01,"Foreign",689.91100261162
2012-02-01,"Large Domestic",1224.38087484775
2012-02-01,"Other Domestic",1116.20768570148
2012-03-01,"Consumer/Retail",0
2012-03-01,"Foreign",674.037303051203
2012-03-01,"Large Domestic",1195.10734101507
2012-03-01,"Other Domestic",1043.85908160657
2012-04-01,"Consumer/Retail",0
2012-04-01,"Foreign",692.663323685906
2012-04-01,"Large Domestic",1252.19049824914
2012-04-01,"Other Domestic",1043.75966553227
2012-05-01,"Consumer/Retail",0
2012-05-01,"Foreign",726.520552009151
2012-05-01,"Large Domestic",1245.72776103096
2012-05-01,"Other Domestic",1203.04502363012
2012-06-01,"Consumer/Retail",0
2012-06-01,"Foreign",738.696479585876
2012-06-01,"Large Domestic",1254.08392097578
2012-06-01,"Other Domestic",1318.89714390984
2012-07-01,"Consumer/Retail",0
2012-07-01,"Foreign",754.404723068731
2012-07-01,"Large Domestic",1404.91176065193
2012-07-01,"Other Domestic",1531.04663281731
2012-08-01,"Consumer/Retail",0
2012-08-01,"Foreign",721.014416894609
2012-08-01,"Large Domestic",1547.27111830058
2012-08-01,"Other Domestic",1633.47539593916
2012-09-01,"Consumer/Retail",0
2012-09-01,"Foreign",645.895932544356
2012-09-01,"Large Domestic",1450.4727939114
2012-09-01,"Other Domestic",1549.36975473194
2012-10-01,"Consumer/Retail",0
2012-10-01,"Foreign",682.877599760868
2012-10-01,"Large Domestic",1501.84130990088
2012-10-01,"Other Domestic",1460.00289899718
2012-11-01,"Consumer/Retail",0
2012-11-01,"Foreign",644.944497971768
2012-11-01,"Large Domestic",1451.74114805321
2012-11-01,"Other Domestic",1470.22360423098
2012-12-01,"Consumer/Retail",0
2012-12-01,"Foreign",786.114192988713
2012-12-01,"Large Domestic",1439.00870522809
2012-12-01,"Other Domestic",1403.83333196426
2013-01-01,"Consumer/Retail",0
2013-01-01,"Foreign",804.833152851167
2013-01-01,"Large Domestic",1368.58045179747
2013-01-01,"Other Domestic",1489.38057941427
2013-02-01,"Consumer/Retail",0
2013-02-01,"Foreign",774.919809532826
2013-02-01,"Large Domestic",1404.13233401986
2013-02-01,"Other Domestic",1542.09264526064
2013-03-01,"Consumer/Retail",0
2013-03-01,"Foreign",758.339832472495
2013-03-01,"Large Domestic",1429.33916519977
2013-03-01,"Other Domestic",1461.05006554333
2013-04-01,"Consumer/Retail",0
2013-04-01,"Foreign",782.621741175581
2013-04-01,"Large Domestic",1422.93345685882
2013-04-01,"Other Domestic",1430.26956682291
2013-05-01,"Consumer/Retail",0
2013-05-01,"Foreign",784.799763730362
2013-05-01,"Large Domestic",1513.30077234198
2013-05-01,"Other Domestic",1421.10284934965
2013-06-01,"Consumer/Retail",0
2013-06-01,"Foreign",784.005295073484
2013-06-01,"Large Domestic",1519.21417454813
2013-06-01,"Other Domestic",1571.28171808904
