date,year,month,tf_month,exports_annual,tf_pct_exports
2010-10-01,2010,10,3033.7219713499417,40952.285,7.407943100977006
2010-11-01,2010,11,3102.3652459947757,40952.285,7.575560792260494
2010-12-01,2010,12,3099.149300238544,40952.285,7.567707883060845
2011-01-01,2011,1,3018.9489166901126,52290.063,5.773465824070842
2011-02-01,2011,2,3003.210662960828,52290.063,5.743367842109557
2011-03-01,2011,3,3150.085672177851,52290.063,6.0242529678685814
2011-04-01,2011,4,3353.6709824402856,52290.063,6.413591397738966
2011-05-01,2011,5,3699.4858905406854,52290.063,7.074931025691603
2011-06-01,2011,6,3532.279888953152,52290.063,6.755164722125409
2011-07-01,2011,7,3622.443371371204,52290.063,6.927594199630634
2011-08-01,2011,8,3526.439409461293,52290.063,6.743995335139092
2011-09-01,2011,9,3307.1253050365954,52290.063,6.324577013870868
2011-10-01,2011,10,3194.3840639762125,52290.063,6.108969621964717
2011-11-01,2011,11,3101.7078238985555,52290.063,5.9317347234761515
2011-12-01,2011,12,3222.453924080393,52290.063,6.162650681985969
2012-01-01,2012,1,3132.3220238474137,52942.531,5.916456891430849
2012-02-01,2012,2,3030.499563160845,52942.531,5.724130497578298
2012-03-01,2012,3,2913.0037256728397,52942.531,5.5021995938819765
2012-04-01,2012,4,2988.613487467313,52942.531,5.645014378831478
2012-05-01,2012,5,3175.2933366702337,52942.531,5.997622850086698
2012-06-01,2012,6,3311.6775444714867,52942.531,6.255230873777997
2012-07-01,2012,7,3690.3631165379793,52942.531,6.970507542485982
2012-08-01,2012,8,3901.760931134352,52942.531,7.369804309382852
2012-09-01,2012,9,3645.7384811876996,52942.531,6.88621872117844
2012-10-01,2012,10,3644.7218086589264,52942.531,6.884298388867971
2012-11-01,2012,11,3566.9092502559556,52942.531,6.737322872334825
2012-12-01,2012,12,3628.956230181063,52942.531,6.854519724757894
2013-01-01,2013,1,3662.7941840629123,49812.273,7.35319623752747
2013-02-01,2013,2,3721.144788813323,49812.273,7.470337257674073
2013-03-01,2013,3,3648.729063215595,49812.273,7.324959981680809
2013-04-01,2013,4,3635.824764857305,49812.273,7.299054120371711
2013-05-01,2013,5,3719.203385421994,49812.273,7.466439817797502
2013-06-01,2013,6,3874.5011877106613,49812.273,7.778205960829496
2013-07-01,2013,7,3951.5573711943866,49812.273,7.932899129486396
2013-08-01,2013,8,4190.256261331339,49812.273,8.412096073855812
2013-09-01,2013,9,4195.497667301269,49812.273,8.422618392261018
2013-10-01,2013,10,4219.948623281204,49812.273,8.471704600352616
2013-11-01,2013,11,4469.469249742932,49812.273,8.97262658490395
2013-12-01,2013,12,4577.9230251921745,49812.273,9.190351593054535
2014-01-01,2014,1,4607.6611632321155,45389.773,10.15132012938711
2014-02-01,2014,2,4491.912849678618,45389.773,9.896310452309638
2014-03-01,2014,3,4441.211263006728,45389.773,9.784607786002207
2014-04-01,2014,4,4376.526411681977,45389.773,9.642098037551271
2014-05-01,2014,5,4625.84346117175,45389.773,10.191378267460713
2014-06-01,2014,6,4882.03470428643,45389.773,10.755803304604386
2014-07-01,2014,7,5080.995864836656,45389.773,11.194142488521933
2014-08-01,2014,8,5343.985328722621,45389.773,11.773544954108099
2014-09-01,2014,9,5273.856220066407,45389.773,11.619040747497035
2014-10-01,2014,10,5043.711664590814,45389.773,11.11200019570667
2014-11-01,2014,11,5120.0285659797355,45389.773,11.280136972660637
2014-12-01,2014,12,5145.286367940289,45389.773,11.33578343284574
2015-01-01,2015,1,5164.531459856186,40289.52,12.818547999222096
2015-02-01,2015,2,5234.874118197092,40289.52,12.993140941359172
2015-03-01,2015,3,5215.825585577359,40289.52,12.945861816118335
2015-04-01,2015,4,5445.812064727508,40289.52,13.516696313898771
