year,tf_usd_millions,imports_usd_millions,tf_pct_imports
2010,9235.236517583264,35126.117,26.29165221303358
2011,39732.23591158719,43786.746,90.74032564919801
2012,40629.859499246086,48455.125,83.85048949774887
2013,47866.8495721251,50227.402,95.30026970561826
2014,58433.05386519413,48712.707,119.95443789480665
2015,67304.84378109133,45275.867,148.65500815498757
2016,61224.29414782183,43702.168,140.0944093844997
2017,63080.34726115901,48043.633,131.29803747597316
2018,75231.99192467323,52153.469,144.2511751704824
2019,69108.61977546941,52279.125,132.19161524885777
2020,57545.71444830002,42715.199,134.7195279326687
2021,55529.69724291423,59055.574,94.02956144819494
2022,72062.4582874198,69943.5,103.02952853005611
2023,73915.78275332502,63153.125,117.04216181435999
2024,68458.38495787299,65663.719,104.25602753001696
