date,year,month,tf_month,exports_annual,imports_annual,trade_annual,tf_pct_trade
2010-10-01,2010,10,3033.7219713499417,40952.285,35126.117,76078.402,3.987625780244361
2010-11-01,2010,11,3102.3652459947757,40952.285,35126.117,76078.402,4.0778527997930025
2010-12-01,2010,12,3099.149300238544,40952.285,35126.117,76078.402,4.073625652965928
2011-01-01,2011,1,3018.9489166901126,52290.063,43786.746,96076.80900000001,3.14222438079736
2011-02-01,2011,2,3003.210662960828,52290.063,43786.746,96076.80900000001,3.1258434727581634
2011-03-01,2011,3,3150.085672177851,52290.063,43786.746,96076.80900000001,3.278715961702944
2011-04-01,2011,4,3353.6709824402856,52290.063,43786.746,96076.80900000001,3.490614454566539
2011-05-01,2011,5,3699.4858905406854,52290.063,43786.746,96076.80900000001,3.850550334723008
2011-06-01,2011,6,3532.279888953152,52290.063,43786.746,96076.80900000001,3.6765166596583696
2011-07-01,2011,7,3622.443371371204,52290.063,43786.746,96076.80900000001,3.770361868878476
2011-08-01,2011,8,3526.439409461293,52290.063,43786.746,96076.80900000001,3.6704376905995004
2011-09-01,2011,9,3307.1253050365954,52290.063,43786.746,96076.80900000001,3.442168135534763
2011-10-01,2011,10,3194.3840639762125,52290.063,43786.746,96076.80900000001,3.3248232296892914
2011-11-01,2011,11,3101.7078238985555,52290.063,43786.746,96076.80900000001,3.2283626571096415
2011-12-01,2011,12,3222.453924080393,52290.063,43786.746,96076.80900000001,3.3540392917091912
2012-01-01,2012,1,3132.3220238474137,52942.531,48455.125,101397.656,3.0891463840617908
2012-02-01,2012,2,3030.499563160845,52942.531,48455.125,101397.656,2.9887274348441
2012-03-01,2012,3,2913.0037256728397,52942.531,48455.125,101397.656,2.87285114921477
2012-04-01,2012,4,2988.613487467313,52942.531,48455.125,101397.656,2.947418712980222
2012-05-01,2012,5,3175.2933366702337,52942.531,48455.125,101397.656,3.1315253842457995
2012-06-01,2012,6,3311.6775444714867,52942.531,48455.125,101397.656,3.2660296846225783
2012-07-01,2012,7,3690.3631165379793,52942.531,48455.125,101397.656,3.6394954894598146
2012-08-01,2012,8,3901.760931134352,52942.531,48455.125,101397.656,3.847979415948582
2012-09-01,2012,9,3645.7384811876996,52942.531,48455.125,101397.656,3.595485955994584
2012-10-01,2012,10,3644.7218086589264,52942.531,48455.125,101397.656,3.5944832971867973
2012-11-01,2012,11,3566.9092502559556,52942.531,48455.125,101397.656,3.517743299959474
2012-12-01,2012,12,3628.956230181063,52942.531,48455.125,101397.656,3.578935029998191
2013-01-01,2013,1,3662.7941840629123,49812.273,50227.402,100039.675,3.6613415468042176
2013-02-01,2013,2,3721.144788813323,49812.273,50227.402,100039.675,3.719669010133552
2013-03-01,2013,3,3648.729063215595,49812.273,50227.402,100039.675,3.6472820040804756
2013-04-01,2013,4,3635.824764857305,49812.273,50227.402,100039.675,3.6343828234720923
2013-05-01,2013,5,3719.203385421994,49812.273,50227.402,100039.675,3.7177283766885427
2013-06-01,2013,6,3874.5011877106613,49812.273,50227.402,100039.675,3.8729645890099715
2013-07-01,2013,7,3951.5573711943866,49812.273,50227.402,100039.675,3.9499902125775463
2013-08-01,2013,8,4190.256261331339,49812.273,50227.402,100039.675,4.188594436488662
2013-09-01,2013,9,4195.497667301269,49812.273,50227.402,100039.675,4.1938337637554985
2013-10-01,2013,10,4219.948623281204,49812.273,50227.402,100039.675,4.218275022665961
2013-11-01,2013,11,4469.469249742932,49812.273,50227.402,100039.675,4.467696691080746
2013-12-01,2013,12,4577.9230251921745,49812.273,50227.402,100039.675,4.576107454559578
2014-01-01,2014,1,4607.6611632321155,45389.773,48712.707,94102.48000000001,4.8964290454748
2014-02-01,2014,2,4491.912849678618,45389.773,48712.707,94102.48000000001,4.773426640486646
2014-03-01,2014,3,4441.211263006728,45389.773,48712.707,94102.48000000001,4.719547522027822
2014-04-01,2014,4,4376.526411681977,45389.773,48712.707,94102.48000000001,4.650808790248648
2014-05-01,2014,5,4625.84346117175,45389.773,48712.707,94102.48000000001,4.9157508507445815
2014-06-01,2014,6,4882.03470428643,45389.773,48712.707,94102.48000000001,5.187997919169005
2014-07-01,2014,7,5080.995864836656,45389.773,48712.707,94102.48000000001,5.399428224247284
2014-08-01,2014,8,5343.985328722621,45389.773,48712.707,94102.48000000001,5.678899566432914
2014-09-01,2014,9,5273.856220066407,45389.773,48712.707,94102.48000000001,5.604375378912869
2014-10-01,2014,10,5043.711664590814,45389.773,48712.707,94102.48000000001,5.359807376586476
2014-11-01,2014,11,5120.0285659797355,45389.773,48712.707,94102.48000000001,5.440907153541262
2014-12-01,2014,12,5145.286367940289,45389.773,48712.707,94102.48000000001,5.467747893509595
2015-01-01,2015,1,5164.531459856186,40289.52,45275.867,85565.38699999999,6.035771754127854
2015-02-01,2015,2,5234.874118197092,40289.52,45275.867,85565.38699999999,6.117980998785283
2015-03-01,2015,3,5215.825585577359,40289.52,45275.867,85565.38699999999,6.095719038327214
2015-04-01,2015,4,5445.812064727508,40289.52,45275.867,85565.38699999999,6.364503516740372
2015-05-01,2015,5,5776.698572977423,40289.52,45275.867,85565.38699999999,6.7512095433839665
2015-06-01,2015,6,5962.448949770381,40289.52,45275.867,85565.38699999999,6.968295427414336
2015-07-01,2015,7,6070.450730621257,40289.52,45275.867,85565.38699999999,7.094516770690534
2015-08-01,2015,8,5972.229397640665,40289.52,45275.867,85565.38699999999,6.979725806231282
2015-09-01,2015,9,6010.244936521526,40289.52,45275.867,85565.38699999999,7.024154447547263
2015-10-01,2015,10,5677.200821383379,40289.52,45275.867,85565.38699999999,6.634926832485874
2015-11-01,2015,11,5475.935649346994,40289.52,45275.867,85565.38699999999,6.3997088558098785
2015-12-01,2015,12,5298.591494471625,40289.52,45275.867,85565.38699999999,6.192447297026338
2016-01-01,2016,1,5331.6513533590705,43205.969,43702.168,86908.13699999999,6.134812616405609
2016-02-01,2016,2,5314.805873866054,43205.969,43702.168,86908.13699999999,6.115429529764347
2016-03-01,2016,3,5081.730116807001,43205.969,43702.168,86908.13699999999,5.847243183692917
2016-04-01,2016,4,4977.916622580549,43205.969,43702.168,86908.13699999999,5.727791199321819
2016-05-01,2016,5,4864.993571219398,43205.969,43702.168,86908.13699999999,5.59785739190267
2016-06-01,2016,6,4963.4310257451925,43205.969,43702.168,86908.13699999999,5.711123488638576
2016-07-01,2016,7,5269.605312122025,43205.969,43702.168,86908.13699999999,6.063419944351154
2016-08-01,2016,8,5342.030278326559,43205.969,43702.168,86908.13699999999,6.146755025167044
2016-09-01,2016,9,5152.1921017189625,43205.969,43702.168,86908.13699999999,5.928319579234524
2016-10-01,2016,10,5014.958103712842,43205.969,43702.168,86908.13699999999,5.7704126182256585
2016-11-01,2016,11,4906.216337384272,43205.969,43702.168,86908.13699999999,5.645289965638399
2016-12-01,2016,12,5004.763450979865,43205.969,43702.168,86908.13699999999,5.758682240513183
2017-01-01,2017,1,5241.125101065998,52116.125,48043.633,100159.758,5.232765339814417
2017-02-01,2017,2,5254.649612274358,52116.125,48043.633,100159.758,5.246268278997198
2017-03-01,2017,3,5252.419732582751,52116.125,48043.633,100159.758,5.244041956034629
2017-04-01,2017,4,5218.45461357557,52116.125,48043.633,100159.758,5.210131012472663
2017-05-01,2017,5,5348.891973744653,52116.125,48043.633,100159.758,5.3403603209031845
2017-06-01,2017,6,5193.2491633588525,52116.125,48043.633,100159.758,5.184965765750804
2017-07-01,2017,7,5085.534529469301,52116.125,48043.633,100159.758,5.07742294012861
2017-08-01,2017,8,5014.632000789343,52116.125,48043.633,100159.758,5.006633503237241
2017-09-01,2017,9,5303.615041558762,52116.125,48043.633,100159.758,5.295155606864347
2017-10-01,2017,10,5284.503779427061,52116.125,48043.633,100159.758,5.276074827803658
2017-11-01,2017,11,5574.489937687559,52116.125,48043.633,100159.758,5.565598448917537
2017-12-01,2017,12,5308.781775624808,52116.125,48043.633,100159.758,5.300314099825209
2018-01-01,2018,1,5513.775660892411,56170.164,52153.469,108323.633,5.090094846516467
2018-02-01,2018,2,5749.181495966528,56170.164,52153.469,108323.633,5.307411999343235
2018-03-01,2018,3,5938.186723814389,56170.164,52153.469,108323.633,5.48189398689609
2018-04-01,2018,4,6083.0096765791795,56170.164,52153.469,108323.633,5.615588683753969
2018-05-01,2018,5,6605.730576127059,56170.164,52153.469,108323.633,6.098143492036552
2018-06-01,2018,6,6728.163138900943,56170.164,52153.469,108323.633,6.211168285780206
2018-07-01,2018,7,6665.979085564619,56170.164,52153.469,108323.633,6.153762480957981
2018-08-01,2018,8,6426.338687604988,56170.164,52153.469,108323.633,5.932536150818527
2018-09-01,2018,9,6675.60636353636,56170.164,52153.469,108323.633,6.1626499948874125
2018-10-01,2018,10,6497.770324293348,56170.164,52153.469,108323.633,5.998478950842932
2018-11-01,2018,11,6230.3371746867215,56170.164,52153.469,108323.633,5.751595475649087
2018-12-01,2018,12,6117.913016706651,56170.164,52153.469,108323.633,5.647810036713458
2019-01-01,2019,1,6010.099624126652,54921.41,52279.125,107200.535,5.606408236793456
2019-02-01,2019,2,5909.3397343433135,54921.41,52279.125,107200.535,5.512416271377109
2019-03-01,2019,3,5720.762048314912,54921.41,52279.125,107200.535,5.336505128742979
2019-04-01,2019,4,5826.517444835297,54921.41,52279.125,107200.535,5.435157058530815
2019-05-01,2019,5,5854.39804718116,54921.41,52279.125,107200.535,5.461164953310317
2019-06-01,2019,6,5990.760728142863,54921.41,52279.125,107200.535,5.588368311914547
2019-07-01,2019,7,5775.0783627658275,54921.41,52279.125,107200.535,5.387173079654712
2019-08-01,2019,8,5844.678704531946,54921.41,52279.125,107200.535,5.452098447579525
2019-09-01,2019,9,5727.235715447806,54921.41,52279.125,107200.535,5.342543967199236
2019-10-01,2019,10,5617.740355621568,54921.41,52279.125,107200.535,5.240403283082093
2019-11-01,2019,11,5581.198572683688,54921.41,52279.125,107200.535,5.20631596911684
2019-12-01,2019,12,5250.810437474351,54921.41,52279.125,107200.535,4.898119619901477
2020-01-01,2020,1,5205.76792985437,46221.148,42715.199,88936.34700000001,5.853363788209527
2020-02-01,2020,2,5152.628601766,46221.148,42715.199,88936.34700000001,5.793613944775582
2020-03-01,2020,3,5605.615467736869,46221.148,42715.199,88936.34700000001,6.3029522313715765
2020-04-01,2020,4,5650.191803834898,46221.148,42715.199,88936.34700000001,6.353073849362058
2020-05-01,2020,5,5589.644786862654,46221.148,42715.199,88936.34700000001,6.284994802926472
2020-06-01,2020,6,5401.607012131815,46221.148,42715.199,88936.34700000001,6.073565189417792
2020-07-01,2020,7,5211.725287687951,46221.148,42715.199,88936.34700000001,5.860062239444072
2020-08-01,2020,8,4686.637893940165,46221.148,42715.199,88936.34700000001,5.269654142574761
2020-09-01,2020,9,4104.439758796077,46221.148,42715.199,88936.34700000001,4.615030746423705
2020-10-01,2020,10,3811.026854524074,46221.148,42715.199,88936.34700000001,4.285117371105959
2020-11-01,2020,11,3588.4745471167175,46221.148,42715.199,88936.34700000001,4.034879628142043
2020-12-01,2020,12,3537.9545040484613,46221.148,42715.199,88936.34700000001,3.9780749079433866
2021-01-01,2021,1,3849.2025465765482,66017.578,59055.574,125073.152,3.0775609993234583
2021-02-01,2021,2,3993.091852830961,66017.578,59055.574,125073.152,3.1926051186676427
2021-03-01,2021,3,4096.866563693709,66017.578,59055.574,125073.152,3.2755763312766835
2021-04-01,2021,4,4249.922113986864,66017.578,59055.574,125073.152,3.3979491569756424
2021-05-01,2021,5,4628.391803157561,66017.578,59055.574,125073.152,3.700547822731421
2021-06-01,2021,6,4769.053470340433,66017.578,59055.574,125073.152,3.8130113410273956
2021-07-01,2021,7,5040.91247326252,66017.578,59055.574,125073.152,4.030371340815429
2021-08-01,2021,8,5034.333329060351,66017.578,59055.574,125073.152,4.025111103828543
2021-09-01,2021,9,4916.638917404024,66017.578,59055.574,125073.152,3.931010643598415
2021-10-01,2021,10,4932.71472505762,66017.578,59055.574,125073.152,3.94386376786732
2021-11-01,2021,11,4932.540714668996,66017.578,59055.574,125073.152,3.9437246409757036
2021-12-01,2021,12,5086.028732874619,66017.578,59055.574,125073.152,4.066443238653343
2022-01-01,2022,1,5293.215415947345,71094.258,69943.5,141037.758,3.7530484680190006
2022-02-01,2022,2,5323.274918770449,71094.258,69943.5,141037.758,3.774361556974303
2022-03-01,2022,3,5659.4877833789105,71094.258,69943.5,141037.758,4.012746560661373
2022-04-01,2022,4,5838.248619874367,71094.258,69943.5,141037.758,4.139493354591163
2022-05-01,2022,5,6052.420615973983,71094.258,69943.5,141037.758,4.291347722624734
2022-06-01,2022,6,6278.660470062481,71094.258,69943.5,141037.758,4.45175856387513
2022-07-01,2022,7,6632.229951802467,71094.258,69943.5,141037.758,4.702449929615633
2022-08-01,2022,8,6520.020920959986,71094.258,69943.5,141037.758,4.622890361714333
2022-09-01,2022,9,6206.896680850903,71094.258,69943.5,141037.758,4.400875885201538
2022-10-01,2022,10,6056.751815361678,71094.258,69943.5,141037.758,4.294418672878846
2022-11-01,2022,11,6143.665568276043,71094.258,69943.5,141037.758,4.356043130149618
2022-12-01,2022,12,6057.585526161146,71094.258,69943.5,141037.758,4.2950097988378015
2023-01-01,2023,1,6258.379069289928,72464.711,63153.125,135617.836,4.614716805605074
2023-02-01,2023,2,6412.730807852978,72464.711,63153.125,135617.836,4.728530550991079
2023-03-01,2023,3,6359.903075853091,72464.711,63153.125,135617.836,4.689577170257377
2023-04-01,2023,4,6273.72251898707,72464.711,63153.125,135617.836,4.626030545854654
2023-05-01,2023,5,6118.781874071358,72464.711,63153.125,135617.836,4.511782560865636
2023-06-01,2023,6,6171.676833727464,72464.711,63153.125,135617.836,4.550785512996582
2023-07-01,2023,7,6115.451455097183,72464.711,63153.125,135617.836,4.509326822688118
2023-08-01,2023,8,6059.165774329627,72464.711,63153.125,135617.836,4.467823667625567
2023-09-01,2023,9,6107.167863924835,72464.711,63153.125,135617.836,4.503218783055081
2023-10-01,2023,10,5956.4172783371105,72464.711,63153.125,135617.836,4.392060405931495
2023-11-01,2023,11,6093.046398411042,72464.711,63153.125,135617.836,4.492806092563696
2023-12-01,2023,12,5989.339803443357,72464.711,63153.125,135617.836,4.416336361128308
2024-01-01,2024,1,5794.22863590519,83660.156,65663.719,149323.875,3.880309586062637
2024-02-01,2024,2,5637.843765550707,83660.156,65663.719,149323.875,3.7755809414607726
2024-03-01,2024,3,5422.48377466792,83660.156,65663.719,149323.875,3.631357527165646
2024-04-01,2024,4,5385.6136513440815,83660.156,65663.719,149323.875,3.6066661485606915
2024-05-01,2024,5,5835.379539685851,83660.156,65663.719,149323.875,3.9078677402966213
2024-06-01,2024,6,6009.788695914535,83660.156,65663.719,149323.875,4.024666983705409
2024-07-01,2024,7,6083.567461563085,83660.156,65663.719,149323.875,4.074075536522933
2024-08-01,2024,8,5946.997534313464,83660.156,65663.719,149323.875,3.982616667504419
2024-09-01,2024,9,5818.279593900893,83660.156,65663.719,149323.875,3.8964161584347403
2024-10-01,2024,10,5575.9630473082325,83660.156,65663.719,149323.875,3.7341403357689673
2024-11-01,2024,11,5530.749451324506,83660.156,65663.719,149323.875,3.703861456397716
2024-12-01,2024,12,5417.489806394606,83660.156,65663.719,149323.875,3.628013140159004
