country,quarter,total_usd_billions
Brazil,1983-Q4,860.126
Brazil,1984-Q2,911.765
Brazil,1984-Q4,1025.346
Brazil,1985-Q2,1275.1680000000001
Brazil,1985-Q4,1301.425
Brazil,1986-Q2,1337.126
Brazil,1986-Q4,1393.6000000000001
Brazil,1987-Q2,1390.339
Brazil,1987-Q4,1404.963
Brazil,1988-Q2,1332.371
Brazil,1988-Q4,1294.315
Brazil,1989-Q2,1314.131
Brazil,1989-Q4,1247.613
Brazil,1990-Q2,1160.149
Brazil,1990-Q4,1135.041
Brazil,1991-Q2,998.005
Brazil,1991-Q4,1008.522
Brazil,1992-Q2,1018.881
Brazil,1992-Q4,1027.711
Brazil,1993-Q2,1086.152
Brazil,1993-Q4,1144.688
Brazil,1994-Q2,1175.9850000000001
Brazil,1994-Q4,1086.905
Brazil,1995-Q2,1144.176
Brazil,1995-Q4,1362.291
Brazil,1996-Q2,1500.922
Brazil,1996-Q4,1731.0339999999999
Brazil,1997-Q2,1954.655
Brazil,1997-Q4,2164.87
Brazil,1998-Q2,2449.4719999999998
Brazil,1998-Q4,2211.979
Brazil,1999-Q2,1957.265
Brazil,1999-Q4,2014.835
Brazil,2000-Q1,2079.731
Brazil,2000-Q2,2175.552
Brazil,2000-Q3,2087.191
Brazil,2000-Q4,2378.768
Brazil,2001-Q1,2329.995
Brazil,2001-Q2,2390.598
Brazil,2001-Q3,2373.369
Brazil,2001-Q4,2357.1
Brazil,2002-Q1,2222.199
Brazil,2002-Q2,2059.665
Brazil,2002-Q3,1760.567
Brazil,2002-Q4,1747.298
Brazil,2003-Q1,1651.066
Brazil,2003-Q2,1702.897
Brazil,2003-Q3,1749.887
Brazil,2003-Q4,1798.498
Brazil,2004-Q1,1814.489
Brazil,2004-Q2,1818.891
Brazil,2004-Q3,1898.95
Brazil,2004-Q4,1999.743
Brazil,2005-Q1,3032.554
Brazil,2005-Q2,3787.964
Brazil,2005-Q3,4150.532
Brazil,2005-Q4,4076.551
Brazil,2006-Q1,4653.115
Brazil,2006-Q2,4666.858
Brazil,2006-Q3,4687.899
Brazil,2006-Q4,5601.235000000001
Brazil,2007-Q1,5950.968
Brazil,2007-Q2,6711.566
Brazil,2007-Q3,7263.864
Brazil,2007-Q4,8046.755999999999
Brazil,2008-Q1,8627.573
Brazil,2008-Q2,10005.82
Brazil,2008-Q3,9793.925
Brazil,2008-Q4,7777.741
Brazil,2009-Q1,8413.297
Brazil,2009-Q2,9503.474
Brazil,2009-Q3,10728.335
Brazil,2009-Q4,11133.727
